,name,resource,category,homepage,description,projectrank,show,labels,license,github_id,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,pypi_id,conda_id,closed_issue_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,github_release_downloads,npm_id,npm_url,npm_monthly_downloads,docs_url,label,gitlab_id,gitlab_url,ignore
20,JARVIS-Leaderboard,True,datasets,https://pages.nist.gov/jarvis_leaderboard/,This project provides benchmark-performances for materials science applications including Artificial Intelligence..,0,True,['benchmarking'],https://github.com/usnistgov/jarvis_leaderboard/blob/main/LICENSE.rst,usnistgov/jarvis_leaderboard,https://github.com/usnistgov/jarvis_leaderboard,2022-07-15 16:48:33,2023-06-13 02:34:32.000000,2023-06-12 13:59:36,552.0,504.0,22.0,3.0,201.0,3.0,20.0,2023-06-05 20:52:30,2023.05.30,16.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Catalysis Hub,True,datasets,https://www.catalysis-hub.org/,A web-platform for sharing data and software for computational catalysis research!.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,matterverse.ai,True,datasets,https://matterverse.ai/,Database of yet-to-be-sythesized materials predicted using state-of-the-art machine learning algorithms.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,DeepChem Models,True,datasets,https://huggingface.co/DeepChem,,0,True,"['pretrained', 'nlp']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,PyG Models,True,representation-learning,https://github.com/pyg-team/pytorch_geometric/tree/master/torch_geometric/nn/models,Representation learning models implemented in PyTorch Geometric.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Quantum Chemistry in the Age of Machine Learning,True,educational,https://www.elsevier.com/books-and-journals/book-companion/9780323900492,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Deep Graph Library (DGL),,representation-learning,https://github.com/dmlc/dgl,"Python package built to ease deep learning on graph, on top of existing DL frameworks.",37,True,,Apache-2.0,dmlc/dgl,https://github.com/dmlc/dgl,2018-04-20 14:49:09,2023-06-13 14:09:50.000000,2023-06-13 10:06:25,3117.0,184.0,2747.0,169.0,3604.0,319.0,11865.0,2023-05-05 08:50:34,1.1.0,59.0,267.0,dgl,dglteam/dgl,1938.0,99.0,99.0,https://pypi.org/project/dgl,62233.0,67022.0,https://anaconda.org/dglteam/dgl,2023-05-09 09:54:35.673,258615.0,1.0,,,,,,,,,,,,,,
27,DeepChem,,general-tools,https://github.com/deepchem/deepchem,"Democratizing Deep-Learning for Drug Discovery, Quantum Chemistry, Materials Science and Biology.",36,True,,MIT,deepchem/deepchem,https://github.com/deepchem/deepchem,2015-09-24 23:20:28,2023-06-13 16:39:19.000000,2023-06-09 15:32:13,8880.0,691.0,1438.0,147.0,1846.0,387.0,4379.0,2022-12-01 13:22:37,2.7.1,18.0,216.0,deepchem,conda-forge/deepchem,1194.0,209.0,209.0,https://pypi.org/project/deepchem,23508.0,26095.0,https://anaconda.org/conda-forge/deepchem,2022-12-02 15:08:43.839,100525.0,1.0,deepchemio/deepchem,https://hub.docker.com/r/deepchemio/deepchem,2022-03-11 05:24:00.723691,4.0,6893.0,,,,,,,,,
28,RDKit,,general-tools,https://github.com/rdkit/rdkit,,30,True,['C++'],BSD-3-Clause,rdkit/rdkit,https://github.com/rdkit/rdkit,2013-05-12 06:19:15,2023-06-13 14:04:47.000000,2023-06-12 13:24:17,7400.0,82.0,741.0,85.0,2725.0,814.0,2076.0,2023-04-30 12:47:35,Release_2023_03_1,93.0,199.0,rdkit,rdkit/rdkit,1992.0,,,https://pypi.org/project/rdkit,140400.0,163670.0,https://anaconda.org/rdkit/rdkit,2022-03-18 12:24:42.882,2511982.0,1.0,,,,,,1395.0,,,,,,,,
29,DeePMD-kit,,mlp,https://github.com/deepmodeling/deepmd-kit,A deep learning package for many-body potential energy representation and molecular dynamics.,28,True,['C++'],LGPL-3.0,deepmodeling/deepmd-kit,https://github.com/deepmodeling/deepmd-kit,2017-12-12 15:23:44,2023-06-13 14:00:25.000000,2023-05-24 05:45:03,2138.0,83.0,413.0,49.0,1157.0,41.0,1142.0,2023-05-24 05:58:32,2.2.2,36.0,57.0,deepmd-kit,deepmodeling/deepmd-kit,378.0,11.0,11.0,https://pypi.org/project/deepmd-kit,1086.0,1663.0,https://anaconda.org/deepmodeling/deepmd-kit,2023-05-24 15:20:15.726,836.0,1.0,deepmodeling/deepmd-kit,https://hub.docker.com/r/deepmodeling/deepmd-kit,2023-05-24 20:29:23.164960,1.0,1856.0,22822.0,,,,,,,,
30,Matminer,,general-tools,https://github.com/hackingmaterials/matminer,Data mining for materials science.,28,True,,https://github.com/hackingmaterials/matminer/blob/main/LICENSE,hackingmaterials/matminer,https://github.com/hackingmaterials/matminer,2015-09-24 20:37:00,2023-06-12 08:06:18.000000,2023-05-30 13:02:19,4106.0,18.0,174.0,27.0,695.0,24.0,386.0,2022-11-11 00:12:35,0.8.0,65.0,48.0,matminer,conda-forge/matminer,186.0,202.0,202.0,https://pypi.org/project/matminer,9347.0,10292.0,https://anaconda.org/conda-forge/matminer,2022-11-11 05:26:58.487,41615.0,1.0,,,,,,,,,,,,,,
31,SchNetPack,,representation-learning,https://github.com/atomistic-machine-learning/schnetpack,SchNetPack - Deep Neural Networks for Atomistic Systems.,27,True,,MIT,atomistic-machine-learning/schnetpack,https://github.com/atomistic-machine-learning/schnetpack,2018-09-03 15:44:35,2023-06-13 17:39:53.000000,2023-06-07 14:17:32,1546.0,27.0,168.0,30.0,349.0,2.0,601.0,2023-04-25 11:23:00,2.0.3,7.0,31.0,schnetpack,,196.0,53.0,53.0,https://pypi.org/project/schnetpack,449.0,449.0,,,,1.0,,,,,,,,,,,,,,
32,QUIP,,general-tools,https://github.com/libAtoms/QUIP,libAtoms/QUIP molecular dynamics framework: https://libatoms.github.io.,26,True,,GPL-2.0,libAtoms/QUIP,https://github.com/libAtoms/QUIP,2013-07-02 15:21:59,2023-06-13 14:28:45.000000,2023-06-13 14:13:04,10827.0,82.0,114.0,25.0,161.0,83.0,290.0,2023-06-08 08:21:38,0.9.13,14.0,79.0,quippy-ase,,331.0,18.0,18.0,https://pypi.org/project/quippy-ase,895.0,983.0,,,,2.0,libatomsquip/quip,https://hub.docker.com/r/libatomsquip/quip,2023-04-24 21:25:17.345957,4.0,9824.0,304.0,,,,,,,,
33,e3nn,,representation-learning,https://github.com/e3nn/e3nn,A modular framework for neural networks with Euclidean symmetry.,25,True,,MIT,e3nn/e3nn,https://github.com/e3nn/e3nn,2020-01-31 13:06:42,2023-06-04 03:37:43.000000,2023-06-04 03:37:43,2153.0,18.0,99.0,18.0,198.0,15.0,684.0,2022-12-12 21:42:03,0.5.1,28.0,27.0,e3nn,conda-forge/e3nn,128.0,81.0,81.0,https://pypi.org/project/e3nn,24175.0,24727.0,https://anaconda.org/conda-forge/e3nn,2022-12-13 05:59:54.340,7182.0,1.0,,,,,,,,,,,,,,
34,DScribe,,representations,https://github.com/SINGROUP/dscribe,DScribe is a python package for creating machine learning descriptors for atomistic systems.,25,True,,Apache-2.0,SINGROUP/dscribe,https://github.com/SINGROUP/dscribe,2017-05-08 08:29:51,2023-05-26 07:05:46.000000,2023-05-17 06:22:40,1275.0,58.0,73.0,21.0,17.0,6.0,324.0,,,12.0,18.0,dscribe,conda-forge/dscribe,74.0,140.0,140.0,https://pypi.org/project/dscribe,13203.0,14746.0,https://anaconda.org/conda-forge/dscribe,2023-05-17 00:51:44.635,70980.0,1.0,,,,,,,,,,,,,,
35,AlphaFold,,biomolecules,https://github.com/deepmind/alphafold,Open source code for AlphaFold.,24,True,,Apache-2.0,deepmind/alphafold,https://github.com/deepmind/alphafold,2021-06-17 14:06:06,2023-06-01 12:33:57.000000,2023-06-01 10:34:10,121.0,11.0,1794.0,202.0,79.0,133.0,10427.0,2023-04-05 09:45:53,2.3.2,13.0,17.0,,,554.0,4.0,4.0,,,,,,,1.0,,,,,,,,,,,,,,
36,paper-qa,,nlp,https://github.com/whitead/paper-qa,LLM Chain for answering questions from documents with citations.,23,True,,Apache-2.0,whitead/paper-qa,https://github.com/whitead/paper-qa,2023-02-05 01:07:25,2023-06-13 16:46:57.000000,2023-06-13 16:46:17,136.0,46.0,224.0,38.0,52.0,24.0,2624.0,2023-06-13 16:46:57,3.0.0.de2,46.0,9.0,paper-qa,,54.0,13.0,13.0,https://pypi.org/project/paper-qa,6874.0,6874.0,,,,1.0,,,,,,,,,,,,,,
37,dgl-lifesci,,representation-learning,https://github.com/awslabs/dgl-lifesci,Python package for graph neural networks in chemistry and biology.,23,True,,Apache-2.0,awslabs/dgl-lifesci,https://github.com/awslabs/dgl-lifesci,2020-04-23 07:14:21,2023-06-12 18:56:16.000000,2023-04-16 03:55:52,236.0,1.0,128.0,17.0,139.0,23.0,580.0,2023-02-13 08:45:17,0.3.2,8.0,22.0,dgllife,,54.0,91.0,91.0,https://pypi.org/project/dgllife,11331.0,11331.0,,,,1.0,,,,,,,,,,,,,,
38,NVIDIA Deep Learning Examples for Tensor Cores,,educational,https://github.com/NVIDIA/DeepLearningExamples,State-of-the-Art Deep Learning scripts organized by models - easy to train and deploy with reproducible accuracy and..,22,True,['drug-discovery'],https://github.com/NVIDIA/DeepLearningExamples/blob/master/DGLPyTorch/DrugDiscovery/SE3Transformer/LICENSE,NVIDIA/DeepLearningExamples,https://github.com/NVIDIA/DeepLearningExamples,2018-05-02 17:04:05,2023-06-02 09:10:44.000000,2023-05-29 18:39:01,1416.0,25.0,2705.0,289.0,522.0,185.0,11073.0,,,,116.0,,,553.0,,,,,,,,,1.0,,,,,,,,,,,,,,
39,JAX-MD,,md,https://github.com/jax-md/jax-md,"Differentiable, Hardware Accelerated, Molecular Dynamics.",22,True,,Apache-2.0,jax-md/jax-md,https://github.com/jax-md/jax-md,2019-05-13 21:03:37,2023-06-05 13:32:29.000000,2023-05-25 02:07:13,793.0,7.0,150.0,49.0,143.0,51.0,941.0,2022-11-27 12:42:00,jax-md-v0.2.24,7.0,21.0,jax-md,,71.0,25.0,25.0,https://pypi.org/project/jax-md,1461.0,1461.0,,,,1.0,,,,,,,,,,,,,,
40,MEGNet,,mlp,https://github.com/materialsvirtuallab/megnet,Graph Networks as a Universal Machine Learning Framework for Molecules and Crystals.,22,True,,BSD-3-Clause,materialsvirtuallab/megnet,https://github.com/materialsvirtuallab/megnet,2018-12-12 21:31:28,2023-04-27 02:39:17.000000,2023-04-27 02:39:17,1146.0,9.0,137.0,24.0,314.0,17.0,447.0,2022-11-16 21:24:36,1.3.2,34.0,13.0,megnet,,57.0,64.0,64.0,https://pypi.org/project/megnet,337.0,337.0,,,,1.0,,,,,,,,,,,,,,
41,DP-GEN,,mlp,https://github.com/deepmodeling/dpgen,The deep potential generator to generate a deep-learning based model of interatomic potential energy and force field.,22,True,['workflows'],LGPL-3.0,deepmodeling/dpgen,https://github.com/deepmodeling/dpgen,2019-06-13 11:43:56,2023-06-13 14:02:07.000000,2023-03-21 14:37:04,1958.0,6.0,150.0,13.0,695.0,35.0,220.0,2023-03-22 17:49:22,0.11.1,16.0,59.0,dpgen,deepmodeling/dpgen,184.0,4.0,4.0,https://pypi.org/project/dpgen,263.0,299.0,https://anaconda.org/deepmodeling/dpgen,2022-07-11 16:29:14.529,145.0,1.0,,,,,,1314.0,,,,,,,,
42,dpdata,,data-structures,https://github.com/deepmodeling/dpdata,"Manipulating multiple atomic simulation data formats, including DeePMD-kit, VASP, LAMMPS, ABACUS, etc.",22,True,,LGPL-3.0,deepmodeling/dpdata,https://github.com/deepmodeling/dpdata,2019-04-12 13:24:23,2023-06-13 14:02:03.000000,2023-05-04 01:19:46,604.0,13.0,93.0,8.0,342.0,19.0,134.0,2023-05-04 01:23:26,0.2.15,22.0,45.0,dpdata,deepmodeling/dpdata,42.0,93.0,93.0,https://pypi.org/project/dpdata,3129.0,3148.0,https://anaconda.org/deepmodeling/dpdata,2023-05-24 14:54:37.302,435.0,1.0,,,,,,,,,,,,,,
43,kgcnn,,representation-learning,https://github.com/aimat-lab/gcnn_keras,Graph convolution with tf.keras.,22,True,,MIT,aimat-lab/gcnn_keras,https://github.com/aimat-lab/gcnn_keras,2020-07-17 11:12:46,2023-05-30 12:03:21.000000,2023-05-30 12:00:15,2683.0,135.0,23.0,7.0,30.0,4.0,76.0,2023-05-22 14:09:41,3.0.1,22.0,7.0,kgcnn,,72.0,14.0,14.0,https://pypi.org/project/kgcnn,383.0,383.0,,,,1.0,,,,,,,,,,,,,,
44,DM21,,ml-dft,https://github.com/deepmind/deepmind-research/tree/master/density_functional_approximation_dm21,This package provides a PySCF interface to the DM21 (DeepMind 21) family of exchange-correlation functionals described..,21,True,,Apache-2.0,deepmind/deepmind-research,https://github.com/deepmind/deepmind-research,2019-01-15 09:54:13,2023-06-02 17:04:55.000000,2023-06-02 17:04:50,369.0,13.0,2383.0,336.0,140.0,148.0,11891.0,,,,92.0,,,134.0,,,,,,,,,1.0,,,,,,,,,,,,,,
45,TorchANI,,mlp,https://github.com/aiqm/torchani,Accurate Neural Network Potential on PyTorch.,21,True,,MIT,aiqm/torchani,https://github.com/aiqm/torchani,2018-04-02 15:43:04,2023-04-13 20:44:43.403000,2023-03-21 14:30:59,433.0,1.0,107.0,27.0,478.0,16.0,390.0,2023-04-13 18:10:53,2.2.3,23.0,16.0,torchani,conda-forge/torchani,137.0,24.0,24.0,https://pypi.org/project/torchani,1547.0,6957.0,https://anaconda.org/conda-forge/torchani,2023-04-13 20:44:43.403,183946.0,1.0,,,,,,,,,,,,,,
46,MAML,,general-tools,https://github.com/materialsvirtuallab/maml,"Python for Materials Machine Learning, Materials Descriptors, Machine Learning Force Fields, Deep Learning, etc.",21,True,,BSD-3-Clause,materialsvirtuallab/maml,https://github.com/materialsvirtuallab/maml,2020-01-25 15:04:21,2023-06-12 13:59:21.000000,2023-05-30 17:38:58,1425.0,38.0,55.0,20.0,469.0,5.0,244.0,2022-09-20 18:44:37,2022.9.20,12.0,24.0,maml,,54.0,4.0,4.0,https://pypi.org/project/maml,155.0,155.0,,,,2.0,,,,,,,,,,,,,,
47,JARVIS-Tools,,general-tools,https://github.com/usnistgov/jarvis,JARVIS-Tools: an open-source software package for data-driven atomistic materials design. Publications:..,21,True,,https://github.com/usnistgov/jarvis/blob/master/LICENSE.rst,usnistgov/jarvis,https://github.com/usnistgov/jarvis,2017-06-22 19:34:02,2023-05-29 14:32:15.483000,2023-05-29 13:56:02,2088.0,2.0,103.0,26.0,210.0,36.0,223.0,2023-05-29 14:28:38,2023.05.26,68.0,15.0,jarvis-tools,conda-forge/jarvis-tools,42.0,55.0,55.0,https://pypi.org/project/jarvis-tools,3667.0,5208.0,https://anaconda.org/conda-forge/jarvis-tools,2023-05-29 14:32:15.483,49323.0,2.0,,,,,,,,,,,,,,
48,NequIP,,mlp,https://github.com/mir-group/nequip,NequIP is a code for building E(3)-equivariant interatomic potentials.,20,True,,MIT,mir-group/nequip,https://github.com/mir-group/nequip,2021-03-15 23:44:39,2023-06-05 20:02:19.000000,2023-03-26 21:37:08,1670.0,3.0,82.0,18.0,149.0,9.0,386.0,2022-12-20 18:52:46,0.5.6,14.0,8.0,nequip,conda-forge/nequip,46.0,12.0,12.0,https://pypi.org/project/nequip,359.0,576.0,https://anaconda.org/conda-forge/nequip,2022-12-21 09:24:53.446,2831.0,1.0,,,,,,,,,,,,,,
49,DeepQMC,,ml-wft,https://github.com/deepqmc/deepqmc,Deep learning quantum Monte Carlo for electrons in real space.,20,True,,MIT,deepqmc/deepqmc,https://github.com/deepqmc/deepqmc,2019-12-06 14:50:59,2023-06-12 15:51:02.000000,2023-06-12 13:49:55,1228.0,64.0,56.0,19.0,94.0,4.0,280.0,2023-01-04 09:38:38,1.0.1,7.0,13.0,deepqmc,,30.0,1.0,1.0,https://pypi.org/project/deepqmc,59.0,59.0,,,,1.0,,,,,,,,,,,,,,
50,ocp,,representation-learning,https://github.com/Open-Catalyst-Project/ocp,ocp is the Open Catalyst Projects library of state-of-the-art machine learning algorithms for catalysis.,19,True,,MIT,Open-Catalyst-Project/ocp,https://github.com/Open-Catalyst-Project/ocp,2019-09-26 04:47:27,2023-06-09 18:36:40.000000,2023-06-06 17:16:41,677.0,11.0,156.0,24.0,408.0,13.0,411.0,2022-10-01 03:00:41,0.1.0,4.0,30.0,,,93.0,,,,,,,,,2.0,,,,,,,,,,,,,,
51,exmol,,xai,https://github.com/ur-whitelab/exmol,Explainer for black box models that predict molecule properties.,19,True,,MIT,ur-whitelab/exmol,https://github.com/ur-whitelab/exmol,2021-08-03 17:56:06,2023-03-13 11:01:44.000000,2023-03-10 03:47:01,187.0,,35.0,8.0,72.0,8.0,235.0,2023-03-13 11:01:44,3.0.2,26.0,7.0,exmol,,57.0,10.0,10.0,https://pypi.org/project/exmol,870.0,870.0,,,,1.0,,,,,,,,,,,,,,
52,FitSNAP,,md,https://github.com/FitSNAP/FitSNAP,Software for generating SNAP machine-learning interatomic potentials.,19,True,,GPL-2.0,FitSNAP/FitSNAP,https://github.com/FitSNAP/FitSNAP,2019-09-12 14:46:18,2023-06-07 00:00:19.000000,2023-06-07 00:00:18,1242.0,159.0,41.0,8.0,155.0,9.0,105.0,2023-04-05 15:49:44,3.0.1,6.0,24.0,,conda-forge/fitsnap3,48.0,,,,,108.0,https://anaconda.org/conda-forge/fitsnap3,2023-05-23 21:35:23.722,3322.0,2.0,,,,,,2.0,,,,,,,,
53,FLARE,,general-tools,https://github.com/mir-group/flare,An open-source Python package for creating fast and accurate interatomic potentials.,18,True,,MIT,mir-group/flare,https://github.com/mir-group/flare,2018-08-30 23:40:56,2023-06-12 13:09:39.000000,2023-05-26 02:06:09,4382.0,8.0,48.0,17.0,180.0,12.0,216.0,2022-04-21 18:33:10,0.2.4,5.0,36.0,,,155.0,9.0,9.0,,,0.0,,,,2.0,,,,,,1.0,,,,,,,,
54,e3nn-jax,,representation-learning,https://github.com/e3nn/e3nn-jax,jax library for E3 Equivariant Neural Networks.,18,True,,Apache-2.0,e3nn/e3nn-jax,https://github.com/e3nn/e3nn-jax,2021-06-08 13:21:51,2023-06-10 17:50:25.000000,2023-06-10 17:50:23,836.0,80.0,10.0,8.0,20.0,,110.0,2023-05-10 22:45:20,0.17.5,30.0,4.0,e3nn-jax,,7.0,,,https://pypi.org/project/e3nn-jax,1804.0,1804.0,,,,2.0,,,,,,,,,,,,,,
55,MatGL (Materials Graph Library),,representation-learning,https://github.com/materialsvirtuallab/matgl,Graph deep learning library for materials.,18,True,,BSD-3-Clause,materialsvirtuallab/matgl,https://github.com/materialsvirtuallab/matgl,2022-08-29 18:36:05,2023-06-13 18:10:07.000000,2023-06-13 15:51:10,546.0,373.0,14.0,5.0,61.0,4.0,70.0,2023-06-11 15:35:19,0.5.3,9.0,9.0,m3gnet,,13.0,1.0,1.0,https://pypi.org/project/m3gnet,471.0,471.0,,,,2.0,,,,,,,,,,,,,,
56,Scikit-Matter,,general-tools,https://github.com/scikit-learn-contrib/scikit-matter,,18,True,['scikit-learn'],BSD-3-Clause,scikit-learn-contrib/scikit-matter,https://github.com/scikit-learn-contrib/scikit-matter,2020-10-12 19:23:26,2023-06-01 19:55:13.000000,2023-06-01 19:55:12,329.0,25.0,14.0,16.0,131.0,11.0,59.0,2023-03-14 17:41:48,0.1.4,6.0,11.0,skmatter,conda-forge/skmatter,54.0,5.0,5.0,https://pypi.org/project/skmatter,441.0,522.0,https://anaconda.org/conda-forge/skmatter,2023-03-28 22:23:04.774,243.0,2.0,,,,,,,,,,,,,,
57,MALA,,ml-dft,https://github.com/mala-project/mala,Materials Learning Algorithms. A framework for machine learning materials properties from first-principles data.,18,True,,BSD-3-Clause,mala-project/mala,https://github.com/mala-project/mala,2021-03-31 11:40:38,2023-06-07 18:44:14.000000,2023-06-07 18:43:07,2014.0,122.0,17.0,8.0,239.0,22.0,34.0,2022-10-18 07:04:37,1.1.0,7.0,41.0,,,200.0,,,,,,,,,1.0,,,,,,,,,,,,,,
58,M3GNet,,mlp,https://github.com/materialsvirtuallab/m3gnet,Materials graph network with 3-body interactions featuring a DFT surrogate crystal relaxer and a state-of-the-art..,17,True,,BSD-3-Clause,materialsvirtuallab/m3gnet,https://github.com/materialsvirtuallab/m3gnet,2022-01-18 18:10:58,2023-06-06 23:56:08.000000,2023-06-06 23:56:03,261.0,7.0,46.0,10.0,33.0,15.0,163.0,2022-11-17 23:25:35,0.2.4,16.0,14.0,m3gnet,,20.0,9.0,9.0,https://pypi.org/project/m3gnet,471.0,471.0,,,,2.0,,,,,,,,,,,,,,
59,ALIGNN,,representation-learning,https://github.com/usnistgov/alignn,Atomistic Line Graph Neural Network.,17,True,,https://github.com/usnistgov/alignn/blob/main/LICENSE.rst,usnistgov/alignn,https://github.com/usnistgov/alignn,2021-04-19 20:08:09,2023-06-04 03:27:44.000000,2023-06-04 03:26:22,536.0,82.0,58.0,10.0,75.0,24.0,129.0,2023-06-04 03:27:44,2023.05.31,36.0,6.0,alignn,,14.0,3.0,3.0,https://pypi.org/project/alignn,798.0,798.0,,,,2.0,,,,,,,,,,,,,,
60,XenonPy,,general-tools,https://github.com/yoshida-lab/XenonPy,XenonPy is a Python Software for Materials Informatics.,17,True,,BSD-3-Clause,yoshida-lab/XenonPy,https://github.com/yoshida-lab/XenonPy,2018-01-17 10:13:29,2023-05-21 15:54:32.000000,2023-05-21 15:53:00,682.0,4.0,58.0,12.0,182.0,16.0,107.0,2023-05-21 15:54:32,0.6.8,45.0,10.0,xenonpy,,66.0,,,https://pypi.org/project/xenonpy,329.0,346.0,,,,2.0,,,,,,1088.0,,,,,,,,
