,name,resource,category,homepage,description,projectrank,show,license,labels,github_id,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,pypi_id,conda_id,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,github_release_downloads,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,gitlab_id,gitlab_url,updated_github_id,docs_url,ignore
10,Citrination Datasets,True,datasets,https://citrination.com/,AI-Powered Materials Data Platform. Open Citrination has been decommissioned.,0,True,MIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,crystals.ai,True,datasets,https://crystals.ai/,Curated datasets for reproducible AI in materials science.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,DeepChem Models,True,datasets,https://huggingface.co/DeepChem,DeepChem models on HuggingFace.,0,True,,"['model-repository', 'pretrained', 'language-models']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Graphs of Materials Project 20190401,True,datasets,https://figshare.com/articles/dataset/Graphs_of_Materials_Project_20190401/8097992,The dataset used to train the MEGNet interatomic potential.,0,True,MIT,['ml-iap'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,HME21 Dataset,True,datasets,https://doi.org/10.6084/m9.figshare.19658538,High-temperature multi-element 2021 dataset for the PreFerred Potential (PFP)..,0,True,,['uip'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,JARVIS-Leaderboard,True,datasets,https://pages.nist.gov/jarvis_leaderboard/,A large scale benchmark of materials design methods: https://www.nature.com/articles/s41524-024-01259-w.,0,True,https://github.com/usnistgov/jarvis_leaderboard/blob/main/LICENSE.rst,"['model-repository', 'benchmarking', 'community', 'educational']",usnistgov/jarvis_leaderboard,https://github.com/usnistgov/jarvis_leaderboard,2022-07-15 16:48:33,2025-03-13 22:14:51.000000,2025-03-13 22:03:19,923.0,19.0,47.0,3.0,353.0,18.0,2.0,68.0,2024-11-24 16:35:14.000,2024.10.30,30.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Materials Project - Charge Densities,True,datasets,https://materialsproject.org/ml/charge_densities,Materials Project has started offering charge density information available for download via their public API.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Materials Project Trajectory (MPtrj) Dataset,True,datasets,https://figshare.com/articles/dataset/Materials_Project_Trjectory_MPtrj_Dataset/23713842,The dataset used to train the CHGNet universal potential.,0,True,MIT,['uip'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,matterverse.ai,True,datasets,https://matterverse.ai/,Database of yet-to-be-sythesized materials predicted using state-of-the-art machine learning algorithms.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,MPF.2021.2.8,True,datasets,https://figshare.com/articles/dataset/MPF_2021_2_8/19470599,The dataset used to train the M3GNet universal potential.,0,True,,['uip'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,NRELMatDB,True,datasets,https://materials.nrel.gov/,"Computational materials database with the specific focus on materials for renewable energy applications including, but..",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,QM9 Charge Densities and Energies,True,datasets,https://data.dtu.dk/articles/dataset/QM9_Charge_Densities_and_Energies_Calculated_with_VASP/16794500,QM9 molecules calculated with VASP using Atomic Simulation Environment.,0,True,CC-BY-4.0,['ml-dft'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Quantum-Machine.org Datasets,True,datasets,http://quantum-machine.org/datasets/,"Collection of datasets, including QM7, QM9, etc. MD, DFT. Small organic molecules, mostly.",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,sGDML Datasets,True,datasets,http://sgdml.org/#datasets,"MD17, MD22, DFT datasets.",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,MoleculeNet,True,datasets,https://moleculenet.org/,A Benchmark for Molecular Machine Learning.,0,True,,['benchmarking'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,ZINC15,True,datasets,https://zinc15.docking.org/,A free database of commercially-available compounds for virtual screening. ZINC contains over 230 million purchasable..,0,True,,"['graph', 'biomolecules']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,ZINC20,True,datasets,https://zinc.docking.org/,A free database of commercially-available compounds for virtual screening. ZINC contains over 230 million purchasable..,0,True,,"['graph', 'biomolecules']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,AI for Science 101,True,educational,https://ai4science101.github.io/,,0,True,,"['community', 'rep-learn']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,AL4MS 2023 workshop tutorials,True,educational,https://sites.utu.fi/al4ms2023/media-and-tutorials/,,0,True,,['active-learning'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Quantum Chemistry in the Age of Machine Learning,True,educational,https://www.elsevier.com/books-and-journals/book-companion/9780323900492,"Book, 2022.",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,IKS-PIML,True,ml-dft,https://rodare.hzdr.de/record/2720,Code and generated data for the paper Inverting the Kohn-Sham equations with physics-informed machine learning..,0,True,,"['neural-operator', 'pinn', 'datasets', 'single-paper']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,TeaNet,True,uip,https://doi.org/10.24433/CO.0749085.v1,Universal neural network interatomic potential inspired by iterative electronic relaxations..,0,True,,['ml-iap'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,PreFerred Potential (PFP),True,uip,https://www.nature.com/articles/s41467-022-30687-9#code-availability,Universal neural network potential for material discovery https://doi.org/10.1038/s41467-022-30687-9.,0,True,,"['ml-iap', 'proprietary']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,MaCBench Leaderboard,True,language-models,https://huggingface.co/spaces/jablonkagroup/MaCBench-Leaderboard,Leaderboard for multimodal language models for chemistry & materials research.,0,True,,"['community', 'benchmarking', 'datasets']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Deep Graph Library (DGL),,rep-learn,https://github.com/dmlc/dgl,"Python package built to ease deep learning on graph, on top of existing DL frameworks.",37,True,Apache-2.0,,dmlc/dgl,https://github.com/dmlc/dgl,2018-04-20 14:49:09,2025-03-25 16:26:45.757000,2025-02-11 00:26:08,4416.0,3.0,3018.0,173.0,5070.0,539.0,2359.0,13824.0,2024-09-03 04:16:25.000,2.4.0,453.0,296.0,dgl,dglteam/dgl,3956.0,3808.0,https://pypi.org/project/dgl,2024-05-13 01:10:39.000,148.0,108999.0,114532.0,https://anaconda.org/dglteam/dgl,2025-03-25 16:26:45.757,420539.0,1.0,,,,,,,,,,,,,,,,,,,,,
35,RDKit,,general-tool,https://github.com/rdkit/rdkit,,36,True,BSD-3-Clause,"['lang-cpp', 'cheminformatics']",rdkit/rdkit,https://github.com/rdkit/rdkit,2013-05-12 06:19:15,2025-04-10 17:15:34.000000,2025-04-10 17:15:34,8095.0,99.0,880.0,78.0,3511.0,668.0,3317.0,2864.0,2025-03-31 18:12:12.000,Release_2025_03_1,100.0,245.0,rdkit,rdkit/rdkit,926.0,3.0,https://pypi.org/project/rdkit,2025-03-12 10:34:47.000,923.0,623405.0,643305.0,https://anaconda.org/rdkit/rdkit,2025-03-25 16:26:20.859,2587098.0,1.0,,,,,,,,,,,,,,,,,,,,,
36,PyG Models,,rep-learn,https://github.com/pyg-team/pytorch_geometric/tree/master/torch_geometric/nn/models,Representation learning models implemented in PyTorch Geometric.,34,True,MIT,['general-ml'],pyg-team/pytorch_geometric,https://github.com/pyg-team/pytorch_geometric,2017-10-06 16:03:03,2025-04-08 05:55:27.000000,2025-04-08 05:55:26,7768.0,94.0,3792.0,255.0,3406.0,1182.0,2704.0,22186.0,2024-09-26 07:09:50.000,2.6.1,42.0,542.0,,,8673.0,8673.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
37,DeepChem,,general-tool,https://github.com/deepchem/deepchem,"Democratizing Deep-Learning for Drug Discovery, Quantum Chemistry, Materials Science and Biology.",34,True,MIT,,deepchem/deepchem,https://github.com/deepchem/deepchem,2015-09-24 23:20:28,2025-03-25 16:01:04.929000,2025-03-19 16:50:03,10593.0,23.0,1826.0,140.0,2643.0,754.0,1246.0,5903.0,2024-04-03 16:21:23.000,2.8.0,981.0,256.0,deepchem,conda-forge/deepchem,581.0,564.0,https://pypi.org/project/deepchem,2025-03-19 19:58:23.000,17.0,57068.0,59115.0,https://anaconda.org/conda-forge/deepchem,2025-03-25 16:01:04.929,114604.0,1.0,deepchemio/deepchem,https://hub.docker.com/r/deepchemio/deepchem,2025-03-19 20:45:31.836961,5.0,8331.0,,,,,,,,,,,,,,,,
38,DPA-2,,uip,https://github.com/deepmodeling/deepmd-kit,A large atomic model as a multi-task learner https://arxiv.org/abs/2312.15492.,28,True,LGPL-3.0,"['ml-iap', 'pretrained', 'workflows', 'datasets']",deepmodeling/deepmd-kit,https://github.com/deepmodeling/deepmd-kit,2017-12-12 15:23:44,2025-04-10 09:37:11.000000,2025-03-02 03:04:28,3180.0,25.0,536.0,45.0,2352.0,93.0,800.0,1619.0,2025-03-02 03:41:37.000,3.0.2,59.0,75.0,deepmd-kit,conda-forge/deepmd-kit,37.0,28.0,https://pypi.org/project/deepmd-kit,2025-03-30 01:55:23.000,9.0,5779.0,43012.0,https://anaconda.org/conda-forge/deepmd-kit,2025-03-30 14:32:09.176,1747916.0,1.0,deepmodeling/deepmd-kit,https://hub.docker.com/r/deepmodeling/deepmd-kit,2025-03-05 10:25:54.924708,1.0,3381.0,50767.0,,,,,,,,,,,,,,,
39,DeePMD-DPA3,,uip,https://github.com/deepmodeling/deepmd-kit,Successor of DPA-2.,28,True,LGPL-3.0,"['ml-iap', 'pretrained', 'workflows', 'datasets']",deepmodeling/deepmd-kit,https://github.com/deepmodeling/deepmd-kit,2017-12-12 15:23:44,2025-04-10 09:37:11.000000,2025-03-02 03:04:28,3180.0,25.0,536.0,45.0,2352.0,93.0,800.0,1619.0,2025-03-02 03:41:37.000,3.0.2,59.0,75.0,deepmd-kit,conda-forge/deepmd-kit,37.0,28.0,https://pypi.org/project/deepmd-kit,2025-03-30 01:55:23.000,9.0,5779.0,43012.0,https://anaconda.org/conda-forge/deepmd-kit,2025-03-30 14:32:09.176,1747916.0,1.0,deepmodeling/deepmd-kit,https://hub.docker.com/r/deepmodeling/deepmd-kit,2025-03-05 10:25:54.924708,1.0,3381.0,50768.0,,,,,,,,,,,,,,,
40,e3nn,,rep-learn,https://github.com/e3nn/e3nn,A modular framework for neural networks with Euclidean symmetry.,28,True,MIT,,e3nn/e3nn,https://github.com/e3nn/e3nn,2020-01-31 13:06:42,2025-04-09 19:59:12.000000,2025-04-09 19:59:12,2195.0,4.0,153.0,18.0,251.0,31.0,140.0,1056.0,2025-03-22 20:33:48.000,0.5.6,33.0,36.0,e3nn,conda-forge/e3nn,488.0,442.0,https://pypi.org/project/e3nn,2025-03-22 20:33:48.000,46.0,135677.0,136649.0,https://anaconda.org/conda-forge/e3nn,2025-03-25 16:02:07.806,34036.0,1.0,,,,,,,,,,,,,,,,,,,,,
41,DeePMD-kit,,ml-iap,https://github.com/deepmodeling/deepmd-kit,A deep learning package for many-body potential energy representation and molecular dynamics.,27,True,LGPL-3.0,"['md', 'workflows', 'lang-cpp']",deepmodeling/deepmd-kit,https://github.com/deepmodeling/deepmd-kit,2017-12-12 15:23:44,2025-04-10 09:37:11.000000,2025-03-02 03:04:28,3180.0,25.0,536.0,45.0,2352.0,93.0,800.0,1619.0,2025-03-02 03:41:37.000,3.0.2,59.0,75.0,deepmd-kit,deepmodeling/deepmd-kit,37.0,28.0,https://pypi.org/project/deepmd-kit,2025-03-30 01:55:23.000,9.0,5779.0,6631.0,https://anaconda.org/deepmodeling/deepmd-kit,2025-03-25 16:24:57.998,2242.0,1.0,deepmodeling/deepmd-kit,https://hub.docker.com/r/deepmodeling/deepmd-kit,2025-03-05 10:25:54.924708,1.0,3381.0,50767.0,,,,,,,,,,,,,,,
42,SchNetPack,,rep-learn,https://github.com/atomistic-machine-learning/schnetpack,SchNetPack - Deep Neural Networks for Atomistic Systems.,27,True,MIT,,atomistic-machine-learning/schnetpack,https://github.com/atomistic-machine-learning/schnetpack,2018-09-03 15:44:35,2025-04-08 14:56:00.000000,2025-03-25 14:19:38,1731.0,25.0,216.0,30.0,456.0,6.0,262.0,837.0,2024-09-05 11:35:29.000,2.1.1,12.0,40.0,schnetpack,,105.0,101.0,https://pypi.org/project/schnetpack,2024-09-05 11:35:29.000,4.0,1421.0,1421.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
43,cdk,,rep-eng,https://github.com/cdk/cdk,The Chemistry Development Kit.,27,True,LGPL-2.1,"['cheminformatics', 'lang-java']",cdk/cdk,https://github.com/cdk/cdk,2010-05-11 08:30:07,2025-04-02 14:35:16.000000,2025-04-02 14:35:16,17985.0,101.0,167.0,40.0,876.0,29.0,277.0,524.0,2025-03-29 08:49:54.000,cdk-2.11,22.0,167.0,,,18.0,,,,,,200.0,,,,1.0,,,,,,25414.0,org.openscience.cdk:cdk-bundle,https://search.maven.org/artifact/org.openscience.cdk/cdk-bundle,2025-03-29 08:42:06,18.0,,,,,,,,,,,
44,Matminer,,general-tool,https://github.com/hackingmaterials/matminer,Data mining for materials science.,27,True,https://github.com/hackingmaterials/matminer/blob/main/LICENSE,,hackingmaterials/matminer,https://github.com/hackingmaterials/matminer,2015-09-24 20:37:00,2025-04-07 08:06:19.000000,2024-10-11 14:20:38,4174.0,,194.0,25.0,728.0,31.0,200.0,514.0,2024-10-06 12:46:05.000,0.9.3,72.0,56.0,matminer,conda-forge/matminer,442.0,382.0,https://pypi.org/project/matminer,2024-10-06 12:46:05.000,60.0,27744.0,29329.0,https://anaconda.org/conda-forge/matminer,2025-03-25 16:00:58.406,85618.0,1.0,,,,,,,,,,,,,,,,,,,,,
45,SMACT,,materials-discovery,https://github.com/WMD-group/SMACT,Python package to aid materials design and informatics.,27,True,MIT,"['htc', 'structure-prediction', 'electrostatics']",WMD-group/SMACT,https://github.com/WMD-group/SMACT,2013-11-04 17:12:56,2025-04-07 18:59:58.000000,2025-04-07 18:59:51,1858.0,203.0,26.0,22.0,349.0,6.0,53.0,106.0,2025-04-02 23:35:49.000,3.1.0,29.0,46.0,smact,conda-forge/smact,54.0,49.0,https://pypi.org/project/smact,2025-04-02 23:35:49.000,5.0,5678.0,5903.0,https://anaconda.org/conda-forge/smact,2025-03-25 16:02:39.915,4285.0,1.0,,,,,,,,,,,,,,,,,,,,,
46,OPTIMADE Python tools,,datasets,https://github.com/Materials-Consortia/optimade-python-tools,Tools for implementing and consuming OPTIMADE APIs in Python.,27,True,MIT,,Materials-Consortia/optimade-python-tools,https://github.com/Materials-Consortia/optimade-python-tools,2018-06-05 21:00:07,2025-04-07 20:39:23.000000,2025-04-07 19:03:47,1754.0,49.0,45.0,5.0,1804.0,101.0,370.0,75.0,2025-03-21 17:44:04.000,1.2.4,122.0,31.0,optimade,conda-forge/optimade,67.0,63.0,https://pypi.org/project/optimade,2025-03-21 17:44:04.000,4.0,22704.0,24978.0,https://anaconda.org/conda-forge/optimade,2025-03-25 16:01:30.299,120535.0,1.0,,,,,,,,,,,,,,,,,,,,,
47,FAIR Chemistry datasets,,datasets,https://github.com/FAIR-Chem/fairchem,"Datasets OC20, OC22, etc. Formerly known as Open Catalyst Project.",26,True,MIT,['catalysis'],FAIR-Chem/fairchem,https://github.com/FAIR-Chem/fairchem,2019-09-26 04:47:27,2025-04-08 22:14:10.000000,2025-04-04 23:01:48,974.0,78.0,294.0,26.0,808.0,23.0,291.0,1036.0,2025-03-29 04:31:30.000,1.9.0,23.0,49.0,fairchem-core,,8.0,,https://pypi.org/project/fairchem-core,2025-03-29 04:31:30.000,8.0,4726.0,4726.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
48,fairchem,,ml-iap,https://github.com/FAIR-Chem/fairchem,FAIR Chemistrys library of machine learning methods for chemistry. Formerly known as Open Catalyst Project.,26,True,MIT,"['pretrained', 'uip', 'rep-learn', 'catalysis']",FAIR-Chem/fairchem,https://github.com/FAIR-Chem/fairchem,2019-09-26 04:47:27,2025-04-08 22:14:10.000000,2025-04-04 23:01:48,974.0,78.0,294.0,26.0,808.0,23.0,291.0,1036.0,2025-03-29 04:31:30.000,1.9.0,23.0,49.0,fairchem-core,,8.0,,https://pypi.org/project/fairchem-core,2025-03-29 04:31:30.000,8.0,4726.0,4726.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
49,FAIRChem EquiformerV2 models,,uip,https://github.com/FAIR-Chem/fairchem/tree/main/src/fairchem/core/models/equiformer_v2,FAIRChem implementation of Equiformer V2 (eqV2) models.,26,True,MIT,"['pretrained', 'uip', 'rep-learn', 'catalysis']",FAIR-Chem/fairchem,https://github.com/FAIR-Chem/fairchem,2019-09-26 04:47:27,2025-04-08 22:14:10.000000,2025-04-04 23:01:48,974.0,78.0,294.0,26.0,808.0,23.0,291.0,1036.0,2025-03-29 04:31:30.000,1.9.0,23.0,49.0,fairchem-core,,8.0,,https://pypi.org/project/fairchem-core,2025-03-29 04:31:30.000,8.0,4726.0,4726.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,
50,FAIRChem eSEN models,,uip,https://github.com/janosh/matbench-discovery/tree/main/models/eSEN,FAIRChem implementation of Smooth Energy Network (eSEN) models arXiv:2502.12147.,26,True,MIT,"['pretrained', 'uip', 'rep-learn', 'catalysis']",FAIR-Chem/fairchem,https://github.com/FAIR-Chem/fairchem,2019-09-26 04:47:27,2025-04-08 22:14:10.000000,2025-04-04 23:01:48,974.0,78.0,294.0,26.0,808.0,23.0,291.0,1036.0,2025-03-29 04:31:30.000,1.9.0,23.0,49.0,fairchem-core,,8.0,,https://pypi.org/project/fairchem-core,2025-03-29 04:31:30.000,8.0,4726.0,4726.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,
51,MatGL (Materials Graph Library),,rep-learn,https://github.com/materialsvirtuallab/matgl,Graph deep learning library for materials.,26,True,BSD-3-Clause,"['ml-iap', 'pretrained', 'multifidelity']",materialsvirtuallab/matgl,https://github.com/materialsvirtuallab/matgl,2022-08-29 18:36:05,2025-04-08 02:41:39.642894,2025-04-07 16:05:51,1335.0,173.0,72.0,10.0,436.0,7.0,112.0,331.0,2025-04-07 16:04:32.000,1.2.6,37.0,17.0,matgl,,98.0,72.0,https://pypi.org/project/matgl,2025-04-07 16:22:08.000,26.0,32726.0,32727.0,,,,1.0,materialsvirtuallab/matgl,https://hub.docker.com/r/materialsvirtuallab/matgl,2025-04-08 02:41:39.642894,1.0,57.0,,,,,,,,,,,,,,,,
52,JAX-DFT,,ml-dft,https://github.com/google-research/google-research/tree/master/jax_dft,This library provides basic building blocks that can construct DFT calculations as a differentiable program.,25,True,Apache-2.0,,google-research/google-research,https://github.com/google-research/google-research,2018-10-04 18:42:48,2025-04-10 17:29:03.000000,2025-04-10 17:28:55,4790.0,61.0,8039.0,750.0,901.0,1503.0,338.0,35321.0,,,,830.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
53,Meta Open Materials 2024 (OMat24) Dataset,,datasets,https://huggingface.co/datasets/fairchem/OMAT24,Contains over 100 million Density Functional Theory calculations focused on structural and compositional diversity.,25,True,CC-BY-4.0,,FAIR-Chem/fairchem,https://github.com/FAIR-Chem/fairchem,2019-09-26 04:47:27,2025-04-08 22:14:10.000000,2025-04-04 23:01:48,974.0,78.0,294.0,26.0,808.0,23.0,291.0,1036.0,2025-03-29 04:31:30.000,1.9.0,23.0,49.0,fairchem-core,,8.0,,https://pypi.org/project/fairchem-core,2025-03-29 04:31:30.000,8.0,4726.0,4726.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
54,MAML,,general-tool,https://github.com/materialsvirtuallab/maml,"Python for Materials Machine Learning, Materials Descriptors, Machine Learning Force Fields, Deep Learning, etc.",25,True,BSD-3-Clause,,materialsvirtuallab/maml,https://github.com/materialsvirtuallab/maml,2020-01-25 15:04:21,2025-04-08 14:08:49.000000,2025-04-08 00:28:42,1840.0,66.0,84.0,19.0,619.0,12.0,63.0,407.0,2025-04-02 04:02:59.000,2025.4.2,20.0,34.0,maml,,18.0,15.0,https://pypi.org/project/maml,2025-04-02 04:37:00.000,3.0,1510.0,1510.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,
55,MPContribs,,datasets,https://github.com/materialsproject/MPContribs,Platform for materials scientists to contribute and disseminate their materials data through Materials Project.,25,True,MIT,,materialsproject/MPContribs,https://github.com/materialsproject/MPContribs,2014-12-11 18:25:27,2025-04-07 17:09:36.000000,2025-04-07 17:09:35,5764.0,69.0,24.0,9.0,1812.0,29.0,80.0,37.0,2025-02-28 23:06:41.000,5.10.2,166.0,27.0,mpcontribs-client,,49.0,46.0,https://pypi.org/project/mpcontribs-client,2025-02-28 23:06:41.000,3.0,5435.0,5435.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
56,JAX-MD,,md,https://github.com/jax-md/jax-md,"Differentiable, Hardware Accelerated, Molecular Dynamics.",24,True,Apache-2.0,,jax-md/jax-md,https://github.com/jax-md/jax-md,2019-05-13 21:03:37,2024-11-26 06:35:02.000000,2024-11-26 06:35:02,929.0,,205.0,45.0,176.0,85.0,82.0,1254.0,2024-11-26 06:32:07.000,jax-md-v0.2.25,38.0,39.0,jax-md,,74.0,71.0,https://pypi.org/project/jax-md,2023-08-09 23:18:24.000,3.0,3134.0,3134.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
57,dgl-lifesci,,rep-learn,https://github.com/awslabs/dgl-lifesci,Python package for graph neural networks in chemistry and biology.,24,False,Apache-2.0,,awslabs/dgl-lifesci,https://github.com/awslabs/dgl-lifesci,2020-04-23 07:14:21,2023-11-01 19:32:07.000000,2023-04-16 03:55:52,236.0,,157.0,15.0,141.0,27.0,57.0,749.0,2023-02-13 08:45:17.000,0.3.2,17.0,22.0,dgllife,,322.0,318.0,https://pypi.org/project/dgllife,2022-12-21 13:18:00.570,4.0,10416.0,10416.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
58,NequIP,,ml-iap,https://github.com/mir-group/nequip,NequIP is a code for building E(3)-equivariant interatomic potentials.,24,True,MIT,,mir-group/nequip,https://github.com/mir-group/nequip,2021-03-15 23:44:39,2025-03-25 16:02:07.828000,2025-03-22 21:54:37,1879.0,3.0,146.0,21.0,169.0,25.0,74.0,706.0,2025-03-23 18:51:45.000,0.6.2,17.0,13.0,nequip,conda-forge/nequip,48.0,37.0,https://pypi.org/project/nequip,2025-03-23 18:52:04.000,11.0,5988.0,6239.0,https://anaconda.org/conda-forge/nequip,2025-03-25 16:02:07.828,8802.0,1.0,,,,,,,,,,,,,,,,,,,,,
