,name,resource,category,homepage,description,projectrank,show,license,labels,github_id,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,pypi_id,conda_id,recent_commit_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,updated_github_id,github_release_downloads,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,gitlab_id,gitlab_url,ignore,docs_url
10,Citrination Datasets,True,datasets,https://citrination.com/,AI-Powered Materials Data Platform. Open Citrination has been decommissioned.,0,True,MIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,crystals.ai,True,datasets,https://crystals.ai/,Curated datasets for reproducible AI in materials science.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,DeepChem Models,True,datasets,https://huggingface.co/DeepChem,DeepChem models on HuggingFace.,0,True,,"['model-repository', 'pretrained', 'language-models']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Graphs of Materials Project 20190401,True,datasets,https://figshare.com/articles/dataset/Graphs_of_Materials_Project_20190401/8097992,The dataset used to train the MEGNet interatomic potential.,0,True,MIT,['ml-iap'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,HME21 Dataset,True,datasets,https://doi.org/10.6084/m9.figshare.19658538,High-temperature multi-element 2021 dataset for the PreFerred Potential (PFP)..,0,True,,['uip'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,JARVIS-Leaderboard,True,datasets,https://pages.nist.gov/jarvis_leaderboard/,A large scale benchmark of materials design methods: https://www.nature.com/articles/s41524-024-01259-w.,0,True,https://github.com/usnistgov/jarvis_leaderboard/blob/main/LICENSE.rst,"['model-repository', 'benchmarking', 'community', 'educational']",usnistgov/jarvis_leaderboard,https://github.com/usnistgov/jarvis_leaderboard,2022-07-15 16:48:33,2025-10-29 16:19:54.000,2025-08-25 15:26:07,925.0,50.0,2.0,358.0,18.0,2.0,72.0,2024-11-24 16:35:14.000,2024.10.30,30.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Materials Project - Charge Densities,True,datasets,https://materialsproject.org/ml/charge_densities,Materials Project has started offering charge density information available for download via their public API.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Materials Project Trajectory (MPtrj) Dataset,True,datasets,https://figshare.com/articles/dataset/Materials_Project_Trjectory_MPtrj_Dataset/23713842,The dataset used to train the CHGNet universal potential.,0,True,MIT,['uip'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,matterverse.ai,True,datasets,https://matterverse.ai/,Database of yet-to-be-sythesized materials predicted using state-of-the-art machine learning algorithms.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,MPF.2021.2.8,True,datasets,https://figshare.com/articles/dataset/MPF_2021_2_8/19470599,The dataset used to train the M3GNet universal potential.,0,True,,['uip'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,NRELMatDB,True,datasets,https://materials.nrel.gov/,"Computational materials database with the specific focus on materials for renewable energy applications including, but..",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,QM9 Charge Densities and Energies,True,datasets,https://data.dtu.dk/articles/dataset/QM9_Charge_Densities_and_Energies_Calculated_with_VASP/16794500,QM9 molecules calculated with VASP using Atomic Simulation Environment.,0,True,CC-BY-4.0,['ml-dft'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,QM40 Dataset,True,datasets,https://doi.org/10.6084/m9.figshare.25993060.v1,A More Realistic QM Dataset for Machine Learning in Molecular Science https://doi.org/10.1038/s41597-024-04206-y.,0,True,CC-BY-4.0,['drug-discovery'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,QMugs dataset,True,datasets,CC-BY-3.0,Quantum Mechanical Properties of Drug-like Molecules https://doi.org/10.1038/s41597-022-01390-7.,0,True,CC-BY-3.0,['drug-discovery'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Quantum-Machine.org Datasets,True,datasets,http://quantum-machine.org/datasets/,"Collection of datasets, including QM7, QM9, etc. MD, DFT. Small organic molecules, mostly.",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,sGDML Datasets,True,datasets,http://sgdml.org/#datasets,"MD17, MD22, DFT datasets.",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,MoleculeNet,True,datasets,https://moleculenet.org/,A Benchmark for Molecular Machine Learning.,0,True,,['benchmarking'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,ZINC15,True,datasets,https://zinc15.docking.org/,A free database of commercially-available compounds for virtual screening. ZINC contains over 230 million purchasable..,0,True,,"['graph', 'biomolecules']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,ZINC20,True,datasets,https://zinc.docking.org/,A free database of commercially-available compounds for virtual screening. ZINC contains over 230 million purchasable..,0,True,,"['graph', 'biomolecules']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,AI for Science 101,True,educational,https://ai4science101.github.io/,,0,True,,"['community', 'rep-learn']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,AL4MS 2023 workshop tutorials,True,educational,https://sites.utu.fi/al4ms2023/media-and-tutorials/,,0,True,,['active-learning'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Quantum Chemistry in the Age of Machine Learning,True,educational,https://www.elsevier.com/books-and-journals/book-companion/9780323900492,"Book, 2022.",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,IKS-PIML,True,ml-dft,https://rodare.hzdr.de/record/2720,Code and generated data for the paper Inverting the Kohn-Sham equations with physics-informed machine learning..,0,True,,"['neural-operator', 'pinn', 'datasets', 'single-paper']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,TeaNet,True,uip,https://doi.org/10.24433/CO.0749085.v1,Universal neural network interatomic potential inspired by iterative electronic relaxations..,0,True,,['ml-iap'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,PreFerred Potential (PFP),True,uip,https://www.nature.com/articles/s41467-022-30687-9#code-availability,Universal neural network potential for material discovery https://doi.org/10.1038/s41467-022-30687-9.,0,True,,"['ml-iap', 'proprietary']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,MaCBench Leaderboard,True,language-models,https://huggingface.co/spaces/jablonkagroup/MaCBench-Leaderboard,Leaderboard for multimodal language models for chemistry & materials research.,0,True,,"['community', 'benchmarking', 'datasets']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,M-OFDFT,True,ml-dft,https://zenodo.org/records/10616893,Overcoming the Barrier of Orbital-Free Density Functional Theory in Molecular Systems Using Deep Learning..,0,True,,"['transformer', 'single-paper']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,RDKit,,general-tool,https://github.com/rdkit/rdkit,,39,True,BSD-3-Clause,"['lang-cpp', 'cheminformatics']",rdkit/rdkit,https://github.com/rdkit/rdkit,2013-05-12 06:19:15,2026-02-11 05:06:07.000,2026-02-11 05:06:07,8374.0,948.0,78.0,3835.0,668.0,3545.0,3286.0,2026-01-31 12:07:09.000,2025.9.4,100.0,263.0,rdkit,rdkit/rdkit,76.0,1430.0,3.0,https://pypi.org/project/rdkit,2026-01-31 12:07:09.000,1427.0,9651283.0,9669883.0,https://anaconda.org/rdkit/rdkit,2025-03-25 16:26:20.859,2604023.0,1.0,,,,,,,,,,,,,,,,,,,,,
38,Deep Graph Library (DGL),,rep-learn,https://github.com/dmlc/dgl,"Python package built to ease deep learning on graph, on top of existing DL frameworks.",36,True,Apache-2.0,,dmlc/dgl,https://github.com/dmlc/dgl,2018-04-20 14:49:09,2025-07-31 23:53:10.000,2025-07-31 23:53:10,4417.0,3047.0,168.0,5081.0,592.0,2362.0,14233.0,2024-09-03 04:16:25.000,2.4.0,453.0,298.0,dgl,dglteam/dgl,,4331.0,4183.0,https://pypi.org/project/dgl,2024-05-13 01:10:39.000,148.0,111789.0,117250.0,https://anaconda.org/dglteam/dgl,2025-03-25 16:26:45.757,469668.0,1.0,,,,,,,,,,,,,,,,,,,,,
39,PyG Models,,rep-learn,https://github.com/pyg-team/pytorch_geometric/tree/master/torch_geometric/nn/models,Representation learning models implemented in PyTorch Geometric.,34,True,MIT,['general-ml'],pyg-team/pytorch_geometric,https://github.com/pyg-team/pytorch_geometric,2017-10-06 16:03:03,2026-02-11 23:06:04.000,2026-02-07 09:09:48,7928.0,3950.0,254.0,3712.0,1249.0,2761.0,23471.0,2025-10-14 22:05:53.000,2.7.0,43.0,561.0,,,19.0,10808.0,10808.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
40,DeepChem,,general-tool,https://github.com/deepchem/deepchem,"Democratizing Deep-Learning for Drug Discovery, Quantum Chemistry, Materials Science and Biology.",34,True,MIT,,deepchem/deepchem,https://github.com/deepchem/deepchem,2015-09-24 23:20:28,2026-02-12 09:40:41.000,2026-02-11 20:17:49,10658.0,2072.0,140.0,2914.0,904.0,1301.0,6534.0,2024-04-03 16:21:23.000,2.8.0,1046.0,258.0,deepchem,conda-forge/deepchem,21.0,677.0,653.0,https://pypi.org/project/deepchem,2026-02-12 09:40:41.000,24.0,46649.0,48506.0,https://anaconda.org/conda-forge/deepchem,2025-04-22 14:57:21.461,121291.0,1.0,deepchemio/deepchem,https://hub.docker.com/r/deepchemio/deepchem,2025-07-15 01:32:58.272146,5.0,9367.0,,,,,,,,,,,,,,,,
41,Matminer,,general-tool,https://github.com/hackingmaterials/matminer,Data mining for materials science.,32,True,https://github.com/hackingmaterials/matminer/blob/main/LICENSE,,hackingmaterials/matminer,https://github.com/hackingmaterials/matminer,2015-09-24 20:37:00,2026-02-10 21:13:23.000,2026-02-10 21:13:13,4220.0,208.0,24.0,734.0,30.0,201.0,572.0,2026-01-22 21:11:09.000,0.10.0,74.0,56.0,matminer,conda-forge/matminer,46.0,552.0,466.0,https://pypi.org/project/matminer,2026-01-22 21:11:09.000,86.0,704641.0,706317.0,https://anaconda.org/conda-forge/matminer,2026-01-23 10:32:00.087,107302.0,1.0,,,,,,2.0,,,,,,,,,,,,,,,
42,FAIR Chemistry datasets,,datasets,https://github.com/facebookresearch/fairchem,"Datasets OC20, OC22, etc. Formerly known as Open Catalyst Project.",30,True,MIT,['catalysis'],FAIR-Chem/fairchem,https://github.com/facebookresearch/fairchem,2019-09-26 04:47:27,2026-02-12 18:46:41.000,2026-02-12 17:36:48,1247.0,419.0,39.0,1212.0,41.0,497.0,1944.0,2025-12-11 18:25:26.000,2.13.0,53.0,66.0,fairchem-core,,60.0,26.0,,https://pypi.org/project/fairchem-core,2025-12-11 18:25:26.000,26.0,31228.0,31228.0,,,,1.0,,,,,,,facebookresearch/fairchem,,,,,,,,,,,,,,
43,fairchem,,ml-iap,https://github.com/facebookresearch/fairchem,FAIR Chemistrys library of machine learning methods for chemistry. Formerly known as Open Catalyst Project.,30,True,MIT,"['pretrained', 'uip', 'rep-learn', 'catalysis']",FAIR-Chem/fairchem,https://github.com/facebookresearch/fairchem,2019-09-26 04:47:27,2026-02-12 19:05:10.000,2026-02-12 17:36:48,1247.0,419.0,39.0,1212.0,41.0,497.0,1944.0,2025-12-11 18:25:26.000,2.13.0,53.0,66.0,fairchem-core,,60.0,26.0,,https://pypi.org/project/fairchem-core,2025-12-11 18:25:26.000,26.0,31228.0,31228.0,,,,1.0,,,,,,,facebookresearch/fairchem,,,,,,,,,,,,,,
44,FAIRChem EquiformerV2 models,,uip,https://github.com/FAIR-Chem/fairchem/tree/main/src/fairchem/core/models/equiformer_v2,FAIRChem implementation of Equiformer V2 (eqV2) models.,30,True,MIT,"['pretrained', 'uip', 'rep-learn', 'catalysis']",FAIR-Chem/fairchem,https://github.com/facebookresearch/fairchem,2019-09-26 04:47:27,2026-02-12 19:05:10.000,2026-02-12 17:36:48,1247.0,419.0,39.0,1212.0,41.0,497.0,1944.0,2025-12-11 18:25:26.000,2.13.0,53.0,66.0,fairchem-core,,60.0,26.0,,https://pypi.org/project/fairchem-core,2025-12-11 18:25:26.000,26.0,31228.0,31228.0,,,,1.0,,,,,,,facebookresearch/fairchem,,,,,,,,,,,,,,
45,FAIRChem eSEN models,,uip,https://github.com/janosh/matbench-discovery/tree/main/models/eSEN,FAIRChem implementation of Smooth Energy Network (eSEN) models arXiv:2502.12147.,30,True,MIT,"['pretrained', 'uip', 'rep-learn', 'catalysis']",FAIR-Chem/fairchem,https://github.com/facebookresearch/fairchem,2019-09-26 04:47:27,2026-02-12 19:05:10.000,2026-02-12 17:36:48,1247.0,419.0,39.0,1212.0,41.0,497.0,1944.0,2025-12-11 18:25:26.000,2.13.0,53.0,66.0,fairchem-core,,60.0,26.0,,https://pypi.org/project/fairchem-core,2025-12-11 18:25:26.000,26.0,31228.0,31228.0,,,,1.0,,,,,,,facebookresearch/fairchem,,,,,,,,,,,,,,
46,DeePMD-kit,,ml-iap,https://github.com/deepmodeling/deepmd-kit,A deep learning package for many-body potential energy representation and molecular dynamics.,30,True,LGPL-3.0,"['md', 'workflows', 'lang-cpp']",deepmodeling/deepmd-kit,https://github.com/deepmodeling/deepmd-kit,2017-12-12 15:23:44,2026-02-12 15:20:44.000,2026-02-12 12:08:18,3532.0,581.0,47.0,2684.0,117.0,875.0,1877.0,2025-12-12 10:48:18.000,3.1.2,64.0,84.0,deepmd-kit,deepmodeling/deepmd-kit,99.0,63.0,46.0,https://pypi.org/project/deepmd-kit,2025-12-12 10:48:18.000,17.0,13080.0,14078.0,https://anaconda.org/deepmodeling/deepmd-kit,2025-03-25 16:24:57.998,3464.0,1.0,deepmodeling/deepmd-kit,https://hub.docker.com/r/deepmodeling/deepmd-kit,2025-12-27 02:37:19.399002,1.0,5000.0,,,67699.0,,,,,,,,,,,,,
47,DPA-2,,uip,https://github.com/deepmodeling/deepmd-kit,A large atomic model as a multi-task learner https://arxiv.org/abs/2312.15492.,30,True,LGPL-3.0,"['ml-iap', 'pretrained', 'workflows', 'datasets']",deepmodeling/deepmd-kit,https://github.com/deepmodeling/deepmd-kit,2017-12-12 15:23:44,2026-02-12 15:20:44.000,2026-02-12 12:08:18,3532.0,581.0,47.0,2684.0,117.0,875.0,1877.0,2025-12-12 10:48:18.000,3.1.2,64.0,84.0,deepmd-kit,conda-forge/deepmd-kit,99.0,63.0,46.0,https://pypi.org/project/deepmd-kit,2025-12-12 10:48:18.000,17.0,13080.0,57508.0,https://anaconda.org/conda-forge/deepmd-kit,2025-12-22 15:13:08.094,2521598.0,1.0,deepmodeling/deepmd-kit,https://hub.docker.com/r/deepmodeling/deepmd-kit,2025-12-27 02:37:19.399002,1.0,5000.0,,,67699.0,,,,,,,,,,,,,
48,DeePMD-DPA3,,uip,https://github.com/deepmodeling/deepmd-kit,Successor of DPA-2.,30,True,LGPL-3.0,"['ml-iap', 'pretrained', 'workflows', 'datasets']",deepmodeling/deepmd-kit,https://github.com/deepmodeling/deepmd-kit,2017-12-12 15:23:44,2026-02-12 15:20:44.000,2026-02-12 12:08:18,3532.0,581.0,47.0,2684.0,117.0,875.0,1877.0,2025-12-12 10:48:18.000,3.1.2,64.0,84.0,deepmd-kit,conda-forge/deepmd-kit,99.0,63.0,46.0,https://pypi.org/project/deepmd-kit,2025-12-12 10:48:18.000,17.0,13080.0,57508.0,https://anaconda.org/conda-forge/deepmd-kit,2025-12-22 15:13:08.094,2521598.0,1.0,deepmodeling/deepmd-kit,https://hub.docker.com/r/deepmodeling/deepmd-kit,2025-12-27 02:37:19.399002,1.0,5000.0,,,67699.0,,,,,,,,,,,,,
49,Meta Open Materials 2024 (OMat24) Dataset,,datasets,https://huggingface.co/datasets/fairchem/OMAT24,Contains over 100 million Density Functional Theory calculations focused on structural and compositional diversity.,29,True,CC-BY-4.0,,FAIR-Chem/fairchem,https://github.com/facebookresearch/fairchem,2019-09-26 04:47:27,2026-02-12 18:46:41.000,2026-02-12 17:36:48,1247.0,419.0,39.0,1212.0,41.0,497.0,1944.0,2025-12-11 18:25:26.000,2.13.0,53.0,66.0,fairchem-core,,60.0,26.0,,https://pypi.org/project/fairchem-core,2025-12-11 18:25:26.000,26.0,31228.0,31228.0,,,,1.0,,,,,,,facebookresearch/fairchem,,,,,,,,,,,,,,
50,e3nn,,rep-learn,https://github.com/e3nn/e3nn,A modular framework for neural networks with Euclidean symmetry.,29,True,MIT,,e3nn/e3nn,https://github.com/e3nn/e3nn,2020-01-31 13:06:42,2026-02-12 18:37:20.000,2026-02-12 18:17:42,2209.0,173.0,19.0,267.0,31.0,144.0,1218.0,2025-12-18 01:51:49.000,0.5.9,36.0,38.0,e3nn,conda-forge/e3nn,7.0,652.0,582.0,https://pypi.org/project/e3nn,2025-12-18 01:51:49.000,70.0,413446.0,414800.0,https://anaconda.org/conda-forge/e3nn,2025-12-18 04:27:29.874,60973.0,1.0,,,,,,,,,,,,,,,,,,,,,
51,SchNetPack,,rep-learn,https://github.com/atomistic-machine-learning/schnetpack,SchNetPack - Deep Neural Networks for Atomistic Systems.,28,True,MIT,,atomistic-machine-learning/schnetpack,https://github.com/atomistic-machine-learning/schnetpack,2018-09-03 15:44:35,2026-02-11 22:54:19.000,2026-01-20 14:52:30,1860.0,248.0,27.0,501.0,4.0,278.0,907.0,2025-12-19 15:08:45.000,2.2.0,13.0,43.0,schnetpack,,26.0,110.0,106.0,https://pypi.org/project/schnetpack,2025-12-19 15:09:17.000,4.0,7084.0,7084.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
52,NequIP,,ml-iap,https://github.com/mir-group/nequip,NequIP is a code for building E(3)-equivariant interatomic potentials.,28,True,MIT,,mir-group/nequip,https://github.com/mir-group/nequip,2021-03-15 23:44:39,2026-02-08 17:51:17.000,2026-01-09 15:42:47,3138.0,196.0,20.0,199.0,7.0,116.0,862.0,2026-01-09 15:29:06.000,0.16.3,34.0,38.0,nequip,conda-forge/nequip,39.0,57.0,43.0,https://pypi.org/project/nequip,2026-01-09 08:05:19.000,14.0,217330.0,217766.0,https://anaconda.org/conda-forge/nequip,2026-01-09 11:00:45.091,19637.0,1.0,,,,,,-1.0,,,,,,,,,,,,,,,
53,MatGL (Materials Graph Library),,rep-learn,https://github.com/materialyzeai/matgl,Graph deep learning library for materials.,28,True,BSD-3-Clause,"['ml-iap', 'pretrained', 'multifidelity']",materialsvirtuallab/matgl,https://github.com/materialyzeai/matgl,2022-08-29 18:36:05,2026-02-12 16:23:06.000,2026-02-12 16:23:03,1549.0,105.0,10.0,538.0,4.0,150.0,508.0,2025-12-14 01:38:01.000,2.0.6,45.0,25.0,matgl,,43.0,115.0,85.0,https://pypi.org/project/matgl,2025-12-14 01:46:56.000,30.0,21053.0,21056.0,,,,1.0,materialsvirtuallab/matgl,https://hub.docker.com/r/materialsvirtuallab/matgl,2025-04-08 02:41:39.642894,1.0,166.0,,materialyzeai/matgl,,,,,,,,,,,,,,
54,JAX-MD,,md,https://github.com/jax-md/jax-md,"Differentiable, Hardware Accelerated, Molecular Dynamics.",27,True,Apache-2.0,,jax-md/jax-md,https://github.com/jax-md/jax-md,2019-05-13 21:03:37,2026-01-23 00:30:32.000,2026-01-23 00:30:32,975.0,226.0,42.0,200.0,67.0,131.0,1373.0,2025-11-07 03:57:58.000,0.2.27,40.0,44.0,jax-md,,4.0,97.0,81.0,https://pypi.org/project/jax-md,2025-11-07 03:57:58.000,16.0,8432.0,8432.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,
55,TorchANI,,ml-iap,https://github.com/aiqm/torchani,"TorchANI 2.0 is an open-source library that supports training, development, and research of ANI-style neural network..",27,True,MIT,,aiqm/torchani,https://github.com/aiqm/torchani,2018-04-02 15:43:04,2026-01-29 17:50:07.000,2025-12-15 23:03:06,1049.0,137.0,24.0,501.0,8.0,173.0,537.0,2025-11-17 05:33:00.000,2.7.9,31.0,22.0,torchani,conda-forge/torchani,10.0,84.0,69.0,https://pypi.org/project/torchani,2025-11-17 05:33:00.000,15.0,3714.0,21117.0,https://anaconda.org/conda-forge/torchani,2026-01-23 13:36:34.628,1148660.0,1.0,,,,,,,,,,,,,,,,,,,,,
56,QUIP,,general-tool,https://github.com/libAtoms/QUIP,libAtoms/QUIP molecular dynamics framework: https://libatoms.github.io.,27,True,GPL-2.0,"['md', 'ml-iap', 'rep-eng', 'lang-fortran']",libAtoms/QUIP,https://github.com/libAtoms/QUIP,2013-07-02 15:21:59,2026-01-30 14:50:01.000,2026-01-30 09:51:42,10962.0,126.0,23.0,191.0,116.0,375.0,385.0,2026-01-30 14:27:33.000,0.10.2,18.0,86.0,quippy-ase,,16.0,55.0,46.0,https://pypi.org/project/quippy-ase,2026-01-30 14:50:01.000,9.0,7074.0,7152.0,,,,2.0,libatomsquip/quip,https://hub.docker.com/r/libatomsquip/quip,2023-04-24 21:25:17.345957,4.0,10269.0,,,842.0,,,,,,,,,,,,,
57,JAX-DFT,,ml-dft,https://github.com/google-research/google-research/tree/master/jax_dft,This library provides basic building blocks that can construct DFT calculations as a differentiable program.,26,True,Apache-2.0,,google-research/google-research,https://github.com/google-research/google-research,2018-10-04 18:42:48,2026-02-12 18:23:58.000,2026-02-12 18:23:53,4916.0,8272.0,758.0,1077.0,1714.0,348.0,37253.0,,,,856.0,,,53.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
58,DScribe,,rep-eng,https://github.com/SINGROUP/dscribe,DScribe is a python package for creating machine learning descriptors for atomistic systems.,26,True,Apache-2.0,,SINGROUP/dscribe,https://github.com/SINGROUP/dscribe,2017-05-08 08:29:51,2025-12-10 06:19:42.059,2025-09-27 17:00:55,1290.0,96.0,18.0,32.0,13.0,97.0,458.0,2025-09-27 17:11:56.000,2.1.2,33.0,18.0,dscribe,conda-forge/dscribe,,341.0,278.0,https://pypi.org/project/dscribe,2025-09-27 17:11:56.000,63.0,251124.0,255098.0,https://anaconda.org/conda-forge/dscribe,2025-12-10 06:19:42.059,266292.0,1.0,,,,,,,,,,,,,,,,,,,,,
59,dpdata,,data-structures,https://github.com/deepmodeling/dpdata,A Python package for manipulating atomistic data of software in computational science.,26,True,LGPL-3.0,,deepmodeling/dpdata,https://github.com/deepmodeling/dpdata,2019-04-12 13:24:23,2026-02-10 12:51:03.000,2026-02-10 12:51:01,906.0,152.0,5.0,648.0,50.0,103.0,243.0,2025-10-21 07:56:34.000,1.0.0,53.0,68.0,dpdata,deepmodeling/dpdata,29.0,198.0,156.0,https://pypi.org/project/dpdata,2025-10-21 07:56:34.000,42.0,48048.0,48055.0,https://anaconda.org/deepmodeling/dpdata,2025-03-25 16:24:58.046,394.0,1.0,,,,,,,,,,,,,,,,,,,,,
