,name,resource,category,license,homepage,description,projectrank,show,labels,github_id,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,pypi_id,conda_id,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,github_release_downloads,updated_github_id,trending,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,gitlab_id,gitlab_url,docs_url,ignore
28,IKS-PIML,True,ml-dft,,https://rodare.hzdr.de/record/2720,Code and generated data for the paper Inverting the Kohn-Sham equations with physics-informed machine learning..,0,True,"['neural-operator', 'pinn', 'datasets', 'single-paper']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,TeaNet,True,uip,,https://doi.org/10.24433/CO.0749085.v1,Universal neural network interatomic potential inspired by iterative electronic relaxations..,0,True,['ml-iap'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,PreFerred Potential (PFP),True,uip,,https://www.nature.com/articles/s41467-022-30687-9#code-availability,Universal neural network potential for material discovery https://doi.org/10.1038/s41467-022-30687-9.,0,True,"['ml-iap', 'proprietary']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,MatterSim,True,uip,,https://www.microsoft.com/en-us/research/blog/mattersim-a-deep-learning-model-for-materials-under-real-world-conditions/,"A Deep Learning Atomistic Model Across Elements, Temperatures and Pressures https://doi.org/10.48550/arXiv.2405.04967.",0,True,"['ml-iap', 'active-learning', 'proprietary']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Deep Graph Library (DGL),,rep-learn,Apache-2.0,https://github.com/dmlc/dgl,"Python package built to ease deep learning on graph, on top of existing DL frameworks.",39,True,,dmlc/dgl,https://github.com/dmlc/dgl,2018-04-20 14:49:09,2024-10-16 04:52:59.000000,2024-10-16 04:52:59,4409.0,212.0,3010.0,175.0,5049.0,531.0,2356.0,13461.0,2024-09-03 04:16:25.000,2.4.0,453.0,295.0,dgl,dglteam/dgl,455.0,307.0,https://pypi.org/project/dgl,2024-05-13 01:10:39.000,148.0,151519.0,156947.0,https://anaconda.org/dglteam/dgl,2024-09-03 05:08:29.197,379984.0,1.0,,,,,,,,,,,,,,,,,,,,,
33,PyG Models,,rep-learn,MIT,https://github.com/pyg-team/pytorch_geometric/tree/master/torch_geometric/nn/models,Representation learning models implemented in PyTorch Geometric.,35,True,['general-ml'],pyg-team/pytorch_geometric,https://github.com/pyg-team/pytorch_geometric,2017-10-06 16:03:03,2024-10-11 04:51:58.000000,2024-10-11 04:51:56,7631.0,55.0,3636.0,252.0,3139.0,1036.0,2659.0,21162.0,2024-09-26 07:09:50.000,2.6.1,42.0,520.0,,,6667.0,6667.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
34,DeepChem,,general-tool,MIT,https://github.com/deepchem/deepchem,"Democratizing Deep-Learning for Drug Discovery, Quantum Chemistry, Materials Science and Biology.",35,True,,deepchem/deepchem,https://github.com/deepchem/deepchem,2015-09-24 23:20:28,2024-10-17 17:51:02.906569,2024-10-17 17:25:03,10542.0,42.0,1675.0,143.0,2441.0,639.0,1238.0,5447.0,2024-04-03 16:21:23.000,2.8.0,930.0,248.0,deepchem,conda-forge/deepchem,454.0,441.0,https://pypi.org/project/deepchem,2024-10-17 17:36:05.000,13.0,89313.0,91505.0,https://anaconda.org/conda-forge/deepchem,2024-04-05 16:46:45.105,110330.0,1.0,deepchemio/deepchem,https://hub.docker.com/r/deepchemio/deepchem,2024-10-17 17:51:02.906569,5.0,7753.0,,,,,,,,,,,,,,,,
35,RDKit,,general-tool,BSD-3-Clause,https://github.com/rdkit/rdkit,,35,True,['lang-cpp'],rdkit/rdkit,https://github.com/rdkit/rdkit,2013-05-12 06:19:15,2024-10-17 06:59:43.000000,2024-10-17 06:59:39,7896.0,109.0,873.0,81.0,3291.0,958.0,2386.0,2625.0,2024-09-27 11:53:59.000,Release_2024_09_1,100.0,235.0,rdkit,rdkit/rdkit,751.0,3.0,https://pypi.org/project/rdkit,2024-08-07 12:34:25.000,748.0,2388347.0,2409113.0,https://anaconda.org/rdkit/rdkit,2023-06-16 12:54:07.547,2573931.0,1.0,,,,,,1096.0,,,,,,,,,,,,,,,
36,paper-qa,,language-models,Apache-2.0,https://github.com/Future-House/paper-qa,High accuracy RAG for answering questions from scientific documents with citations.,30,True,['ai-agent'],whitead/paper-qa,https://github.com/Future-House/paper-qa,2023-02-05 01:07:25,2024-10-17 18:12:54.000000,2024-10-17 05:03:15,432.0,186.0,583.0,55.0,338.0,92.0,151.0,6208.0,2024-10-16 01:03:11.000,5.2.1,119.0,26.0,paper-qa,,82.0,74.0,https://pypi.org/project/paper-qa,2024-10-16 01:03:11.000,8.0,15988.0,15988.0,,,,1.0,,,,,,,Future-House/paper-qa,,,,,,,,,,,,,,
37,Matminer,,general-tool,https://github.com/hackingmaterials/matminer/blob/main/LICENSE,https://github.com/hackingmaterials/matminer,Data mining for materials science.,29,True,,hackingmaterials/matminer,https://github.com/hackingmaterials/matminer,2015-09-24 20:37:00,2024-10-14 08:06:22.000000,2024-10-11 14:20:38,4174.0,18.0,194.0,28.0,728.0,31.0,200.0,475.0,2024-10-06 12:46:05.000,0.9.3,72.0,56.0,matminer,conda-forge/matminer,383.0,323.0,https://pypi.org/project/matminer,2024-10-06 12:46:05.000,60.0,19546.0,21045.0,https://anaconda.org/conda-forge/matminer,2024-10-06 16:00:19.611,71973.0,1.0,,,,,,,,,,,,,,,,,,,,,
38,SchNetPack,,rep-learn,MIT,https://github.com/atomistic-machine-learning/schnetpack,SchNetPack - Deep Neural Networks for Atomistic Systems.,28,True,,atomistic-machine-learning/schnetpack,https://github.com/atomistic-machine-learning/schnetpack,2018-09-03 15:44:35,2024-09-30 13:38:02.000000,2024-09-24 14:00:57,1698.0,25.0,213.0,32.0,419.0,6.0,245.0,778.0,2024-09-05 11:35:29.000,2.1.1,12.0,36.0,schnetpack,,96.0,92.0,https://pypi.org/project/schnetpack,2024-09-05 11:35:29.000,4.0,1556.0,1556.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
39,e3nn,,rep-learn,MIT,https://github.com/e3nn/e3nn,A modular framework for neural networks with Euclidean symmetry.,27,True,,e3nn/e3nn,https://github.com/e3nn/e3nn,2020-01-31 13:06:42,2024-08-25 22:32:06.000000,2024-08-25 22:32:06,2174.0,8.0,138.0,20.0,227.0,23.0,134.0,958.0,2024-07-27 03:01:58.000,0.5.2,29.0,31.0,e3nn,conda-forge/e3nn,321.0,317.0,https://pypi.org/project/e3nn,2022-04-13 19:24:30.000,4.0,91142.0,91938.0,https://anaconda.org/conda-forge/e3nn,2023-06-18 08:41:30.723,23102.0,1.0,,,,,,,,-1.0,,,,,,,,,,,,,
40,OPTIMADE Python tools,,datasets,MIT,https://github.com/Materials-Consortia/optimade-python-tools,Tools for implementing and consuming OPTIMADE APIs in Python.,27,True,,Materials-Consortia/optimade-python-tools,https://github.com/Materials-Consortia/optimade-python-tools,2018-06-05 21:00:07,2024-10-16 01:14:26.563000,2024-10-15 21:50:04,1679.0,46.0,42.0,7.0,1722.0,107.0,351.0,68.0,2024-10-15 20:37:15.000,1.1.5,111.0,28.0,optimade,conda-forge/optimade,65.0,61.0,https://pypi.org/project/optimade,2024-10-15 20:37:15.000,4.0,11016.0,13014.0,https://anaconda.org/conda-forge/optimade,2024-10-16 01:14:26.563,93944.0,1.0,,,,,,,,,,,,,,,,,,,,,
41,DeePMD-kit,,ml-iap,LGPL-3.0,https://github.com/deepmodeling/deepmd-kit,A deep learning package for many-body potential energy representation and molecular dynamics.,26,True,['lang-cpp'],deepmodeling/deepmd-kit,https://github.com/deepmodeling/deepmd-kit,2017-12-12 15:23:44,2024-10-17 18:08:59.000000,2024-09-17 18:00:40,2534.0,1.0,507.0,47.0,2076.0,103.0,711.0,1469.0,2024-07-03 19:29:34.000,2.2.11,54.0,69.0,deepmd-kit,deepmodeling/deepmd-kit,21.0,17.0,https://pypi.org/project/deepmd-kit,2024-09-25 16:10:59.000,4.0,10027.0,10784.0,https://anaconda.org/deepmodeling/deepmd-kit,2024-04-06 21:22:08.456,1382.0,1.0,deepmodeling/deepmd-kit,https://hub.docker.com/r/deepmodeling/deepmd-kit,2024-07-27 08:24:51.741318,1.0,2918.0,41262.0,,,,,,,,,,,,,,,
42,JAX-MD,,md,Apache-2.0,https://github.com/jax-md/jax-md,"Differentiable, Hardware Accelerated, Molecular Dynamics.",26,True,,jax-md/jax-md,https://github.com/jax-md/jax-md,2019-05-13 21:03:37,2024-09-05 09:24:47.000000,2024-09-05 09:24:47,922.0,15.0,190.0,47.0,171.0,73.0,81.0,1171.0,2023-08-09 23:18:24.000,0.2.8,38.0,34.0,jax-md,,62.0,59.0,https://pypi.org/project/jax-md,2023-08-09 23:18:24.000,3.0,4793.0,4793.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
43,cdk,,rep-eng,LGPL-2.1,https://github.com/cdk/cdk,The Chemistry Development Kit.,26,True,"['cheminformatics', 'lang-java']",cdk/cdk,https://github.com/cdk/cdk,2010-05-11 08:30:07,2024-10-06 10:32:05.000000,2024-10-06 10:32:05,17778.0,68.0,157.0,40.0,822.0,32.0,260.0,493.0,2023-08-21 19:50:47.000,cdk-2.9,20.0,165.0,,,16.0,,,,,,183.0,,,,1.0,,,,,,22156.0,,,org.openscience.cdk:cdk-bundle,https://search.maven.org/artifact/org.openscience.cdk/cdk-bundle,2023-08-21 08:05:58,16.0,,,,,,,,,
44,QUIP,,general-tool,GPL-2.0,https://github.com/libAtoms/QUIP,libAtoms/QUIP molecular dynamics framework: https://libatoms.github.io.,26,True,"['md', 'ml-iap', 'rep-eng', 'lang-fortran']",libAtoms/QUIP,https://github.com/libAtoms/QUIP,2013-07-02 15:21:59,2024-09-27 15:26:55.000000,2024-09-27 15:18:25,10866.0,5.0,122.0,26.0,177.0,104.0,362.0,351.0,2023-06-15 19:54:01.129,0.9.14,15.0,85.0,quippy-ase,,47.0,43.0,https://pypi.org/project/quippy-ase,2023-01-15 16:54:03.041,4.0,11598.0,11681.0,,,,2.0,libatomsquip/quip,https://hub.docker.com/r/libatomsquip/quip,2023-04-24 21:25:17.345957,4.0,9958.0,680.0,,-1.0,,,,,,,,,,,,,
45,JAX-DFT,,ml-dft,Apache-2.0,https://github.com/google-research/google-research/tree/master/jax_dft,This library provides basic building blocks that can construct DFT calculations as a differentiable program.,25,True,,google-research/google-research,https://github.com/google-research/google-research,2018-10-04 18:42:48,2024-10-15 23:13:12.000000,2024-10-15 23:13:05,4683.0,104.0,7854.0,749.0,874.0,1477.0,330.0,34079.0,,,,807.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
46,DScribe,,rep-eng,Apache-2.0,https://github.com/SINGROUP/dscribe,DScribe is a python package for creating machine learning descriptors for atomistic systems.,25,True,,SINGROUP/dscribe,https://github.com/SINGROUP/dscribe,2017-05-08 08:29:51,2024-08-20 17:56:51.000000,2024-05-28 18:24:28,1288.0,,87.0,19.0,27.0,12.0,93.0,397.0,2024-05-28 18:22:25.000,2.1.1,32.0,18.0,dscribe,conda-forge/dscribe,239.0,204.0,https://pypi.org/project/dscribe,2024-05-28 18:22:25.000,35.0,24994.0,27785.0,https://anaconda.org/conda-forge/dscribe,2024-05-28 23:16:49.298,142360.0,1.0,,,,,,,,,,,,,,,,,,,,,
47,MPContribs,,datasets,MIT,https://github.com/materialsproject/MPContribs,Platform for materials scientists to contribute and disseminate their materials data through Materials Project.,25,True,,materialsproject/MPContribs,https://github.com/materialsproject/MPContribs,2014-12-11 18:25:27,2024-10-17 00:30:46.000000,2024-10-17 00:27:37,5640.0,78.0,20.0,10.0,1742.0,22.0,79.0,35.0,2024-10-17 00:30:46.000,5.9.0,163.0,25.0,mpcontribs-client,,43.0,40.0,https://pypi.org/project/mpcontribs-client,2024-10-17 00:30:46.000,3.0,8882.0,8882.0,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,
48,DPA-2,,uip,LGPL-3.0,https://github.com/deepmodeling/deepmd-kit,Towards a universal large atomic model for molecular and material simulation https://doi.org/10.48550/arXiv.2312.15492.,24,True,"['ml-iap', 'pretrained', 'workflows', 'datasets']",deepmodeling/deepmd-kit,https://github.com/deepmodeling/deepmd-kit,2017-12-12 15:23:44,2024-10-17 18:08:59.000000,2024-09-17 18:00:40,2534.0,1.0,507.0,47.0,2076.0,103.0,711.0,1468.0,2024-07-03 19:22:15.000,2.2.11,50.0,69.0,,,17.0,17.0,,,,,699.0,,,,1.0,,,,,,41262.0,,,,,,,,,,,,,,,
49,TorchANI,,ml-iap,MIT,https://github.com/aiqm/torchani,Accurate Neural Network Potential on PyTorch.,24,True,,aiqm/torchani,https://github.com/aiqm/torchani,2018-04-02 15:43:04,2024-09-11 21:03:45.224000,2023-11-14 16:32:59,434.0,,125.0,30.0,484.0,24.0,150.0,461.0,2023-11-14 16:41:14.000,2.2.4,24.0,19.0,torchani,conda-forge/torchani,47.0,43.0,https://pypi.org/project/torchani,2023-11-14 16:41:14.000,4.0,4920.0,15157.0,https://anaconda.org/conda-forge/torchani,2024-09-11 21:03:45.224,511870.0,1.0,,,,,,,,,,,,,,,,,,,,,
50,MAML,,general-tool,BSD-3-Clause,https://github.com/materialsvirtuallab/maml,"Python for Materials Machine Learning, Materials Descriptors, Machine Learning Force Fields, Deep Learning, etc.",24,True,,materialsvirtuallab/maml,https://github.com/materialsvirtuallab/maml,2020-01-25 15:04:21,2024-10-10 11:32:40.000000,2024-10-10 11:31:53,1769.0,22.0,78.0,21.0,597.0,9.0,62.0,365.0,2024-06-13 15:29:41.000,2024.6.13,16.0,33.0,maml,,13.0,11.0,https://pypi.org/project/maml,2024-06-13 15:29:41.000,2.0,1036.0,1036.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,
51,MatGL (Materials Graph Library),,rep-learn,BSD-3-Clause,https://github.com/materialsvirtuallab/matgl,Graph deep learning library for materials.,24,True,['multifidelity'],materialsvirtuallab/matgl,https://github.com/materialsvirtuallab/matgl,2022-08-29 18:36:05,2024-10-17 13:12:49.000000,2024-10-16 15:51:49,1084.0,93.0,60.0,11.0,285.0,7.0,91.0,264.0,2024-08-07 12:24:58.000,1.1.3,31.0,17.0,m3gnet,,55.0,50.0,https://pypi.org/project/m3gnet,2022-11-17 23:25:34.805,5.0,2489.0,2489.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
52,dpdata,,data-structures,LGPL-3.0,https://github.com/deepmodeling/dpdata,A Python package for manipulating atomistic data of software in computational science.,24,True,,deepmodeling/dpdata,https://github.com/deepmodeling/dpdata,2019-04-12 13:24:23,2024-10-15 21:59:33.000000,2024-09-20 18:23:06,761.0,29.0,130.0,9.0,511.0,33.0,82.0,196.0,2024-09-20 18:25:00.000,0.2.21,48.0,61.0,dpdata,deepmodeling/dpdata,166.0,126.0,https://pypi.org/project/dpdata,2024-09-20 18:25:00.000,40.0,50118.0,50124.0,https://anaconda.org/deepmodeling/dpdata,2023-09-27 20:07:36.945,235.0,1.0,,,,,,,,,,,,,,,,,,,,,
53,Crystal Toolkit,,visualization,MIT,https://github.com/materialsproject/crystaltoolkit,Crystal Toolkit is a framework for building web apps for materials science and is currently powering the new Materials..,24,True,,materialsproject/crystaltoolkit,https://github.com/materialsproject/crystaltoolkit,2017-07-25 21:06:36,2024-10-15 20:42:31.000000,2024-09-20 00:46:12,3277.0,17.0,57.0,10.0,316.0,53.0,59.0,150.0,2024-09-04 19:26:59.000,2024.9.4rc0,60.0,28.0,crystal-toolkit,,47.0,39.0,https://pypi.org/project/crystal-toolkit,2024-09-04 19:29:25.000,8.0,4532.0,4532.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
54,Best-of Machine Learning with Python,,community,CC-BY-4.0,https://github.com/ml-tooling/best-of-ml-python,A ranked list of awesome machine learning Python libraries. Updated weekly.,23,True,"['general-ml', 'lang-py']",ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,2020-11-29 19:41:36,2024-10-17 15:23:59.000000,2024-10-10 16:10:01,509.0,14.0,2360.0,404.0,275.0,27.0,34.0,16348.0,2024-10-10 16:10:15.000,2024.10.10,100.0,47.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
55,dgl-lifesci,,rep-learn,Apache-2.0,https://github.com/awslabs/dgl-lifesci,Python package for graph neural networks in chemistry and biology.,23,False,,awslabs/dgl-lifesci,https://github.com/awslabs/dgl-lifesci,2020-04-23 07:14:21,2023-11-01 19:32:07.000000,2023-04-16 03:55:52,236.0,,146.0,17.0,141.0,27.0,57.0,718.0,2023-02-13 08:45:17.000,0.3.2,17.0,22.0,dgllife,,255.0,251.0,https://pypi.org/project/dgllife,2022-12-21 13:18:00.570,4.0,14103.0,14103.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
56,NequIP,,ml-iap,MIT,https://github.com/mir-group/nequip,NequIP is a code for building E(3)-equivariant interatomic potentials.,23,True,,mir-group/nequip,https://github.com/mir-group/nequip,2021-03-15 23:44:39,2024-10-11 04:31:59.000000,2024-07-09 15:58:45,1873.0,,136.0,22.0,162.0,25.0,70.0,616.0,2024-07-09 16:05:06.000,0.6.1,16.0,11.0,nequip,conda-forge/nequip,28.0,27.0,https://pypi.org/project/nequip,2024-07-09 16:05:26.000,1.0,4200.0,4412.0,https://anaconda.org/conda-forge/nequip,2024-07-10 05:13:00.157,6166.0,1.0,,,,,,,,,,,,,,,,,,,,,
57,MEGNet,,ml-iap,BSD-3-Clause,https://github.com/materialsvirtuallab/megnet,Graph Networks as a Universal Machine Learning Framework for Molecules and Crystals.,23,False,['multifidelity'],materialsvirtuallab/megnet,https://github.com/materialsvirtuallab/megnet,2018-12-12 21:31:28,2023-04-27 02:39:17.000000,2023-04-27 02:39:17,1146.0,,152.0,25.0,314.0,21.0,57.0,502.0,2022-11-16 21:25:01.818,1.3.2,37.0,14.0,megnet,,90.0,86.0,https://pypi.org/project/megnet,2022-11-16 21:25:01.818,4.0,3635.0,3635.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
58,JARVIS-Tools,,general-tool,https://github.com/usnistgov/jarvis/blob/master/LICENSE.rst,https://github.com/usnistgov/jarvis,JARVIS-Tools: an open-source software package for data-driven atomistic materials design. Publications:..,23,True,,usnistgov/jarvis,https://github.com/usnistgov/jarvis,2017-06-22 19:34:02,2024-10-04 14:11:37.000000,2024-09-07 20:21:38,2108.0,2.0,124.0,26.0,237.0,45.0,45.0,306.0,2024-09-07 20:22:34.000,2024.8.30,110.0,15.0,jarvis-tools,conda-forge/jarvis-tools,133.0,102.0,https://pypi.org/project/jarvis-tools,2024-09-07 20:21:10.000,31.0,26061.0,27720.0,https://anaconda.org/conda-forge/jarvis-tools,2024-09-07 20:30:56.460,79650.0,2.0,,,,,,,,,,,,,,,,,,,,,
