,name,resource,category,license,homepage,description,projectrank,show,labels,github_id,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,pypi_id,conda_id,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,github_release_downloads,maven_id,maven_url,updated_github_id,npm_id,npm_url,npm_monthly_downloads,trending,gitlab_id,gitlab_url,ignore,docs_url
24,DeePMD-kit,,ml-iap,LGPL-3.0,https://github.com/deepmodeling/deepmd-kit,A deep learning package for many-body potential energy representation and molecular dynamics.,28,True,['lang-cpp'],deepmodeling/deepmd-kit,https://github.com/deepmodeling/deepmd-kit,2017-12-12 15:23:44,2023-12-06 11:40:12.000,2023-10-27 13:10:24,2353.0,103.0,441.0,46.0,1382.0,29.0,451.0,1268.0,2023-10-27 19:33:04,2.2.7,41.0,64.0,deepmd-kit,deepmodeling/deepmd-kit,12.0,12.0,https://pypi.org/project/deepmd-kit,961.0,1592.0,https://anaconda.org/deepmodeling/deepmd-kit,2023-10-27 21:14:49.194,357.0,1.0,deepmodeling/deepmd-kit,https://hub.docker.com/r/deepmodeling/deepmd-kit,2023-10-29 23:31:03.651515,1.0,2033.0,29205.0,,,,,,,,,,,
25,SchNetPack,,rep-learn,MIT,https://github.com/atomistic-machine-learning/schnetpack,SchNetPack - Deep Neural Networks for Atomistic Systems.,27,True,,atomistic-machine-learning/schnetpack,https://github.com/atomistic-machine-learning/schnetpack,2018-09-03 15:44:35,2023-12-01 09:07:49.000,2023-12-01 08:57:55,1598.0,42.0,188.0,31.0,370.0,1.0,218.0,671.0,2023-09-29 14:31:19,2.0.4,8.0,32.0,schnetpack,,64.0,64.0,https://pypi.org/project/schnetpack,640.0,640.0,,,,1.0,,,,,,,,,,,,,,,,,
26,cdk,,rep-eng,LGPL-2.1,https://github.com/cdk/cdk,The Chemistry Development Kit.,26,True,"['cheminformatics', 'lang-java']",cdk/cdk,https://github.com/cdk/cdk,2010-05-11 08:30:07,2023-12-06 10:59:22.000,2023-12-06 10:59:22,17440.0,24.0,149.0,39.0,763.0,25.0,237.0,446.0,2023-08-21 19:50:47,cdk-2.9,20.0,164.0,,,18.0,18.0,,,152.0,,,,1.0,,,,,,16936.0,org.openscience.cdk:cdk-bundle,https://search.maven.org/artifact/org.openscience.cdk/cdk-bundle,,,,,,,,,
27,Matminer,,general-tool,https://github.com/hackingmaterials/matminer/blob/main/LICENSE,https://github.com/hackingmaterials/matminer,Data mining for materials science.,26,True,,hackingmaterials/matminer,https://github.com/hackingmaterials/matminer,2015-09-24 20:37:00,2023-12-04 08:05:46.000,2023-11-10 10:02:34,4112.0,2.0,176.0,28.0,701.0,27.0,187.0,419.0,2023-06-27 15:36:52,0.9.0,66.0,50.0,matminer,conda-forge/matminer,252.0,252.0,https://pypi.org/project/matminer,13837.0,15242.0,https://anaconda.org/conda-forge/matminer,2023-10-24 08:40:46.186,53420.0,1.0,,,,,,,,,,,,,,,,,
28,JAX-DFT,,ml-dft,Apache-2.0,https://github.com/google-research/google-research/tree/master/jax_dft,Google Research.,25,True,,google-research/google-research,https://github.com/google-research/google-research,2018-10-04 18:42:48,2023-12-05 00:25:56.000,2023-12-05 00:25:51,4343.0,142.0,7412.0,748.0,652.0,814.0,296.0,31575.0,,,,751.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
29,paper-qa,,language-models,Apache-2.0,https://github.com/whitead/paper-qa,LLM Chain for answering questions from documents with citations.,25,True,,whitead/paper-qa,https://github.com/whitead/paper-qa,2023-02-05 01:07:25,2023-12-05 00:18:06.000,2023-12-05 00:17:38,179.0,11.0,297.0,41.0,91.0,46.0,67.0,3274.0,2023-12-05 00:18:07,3.13.4,75.0,12.0,paper-qa,,39.0,39.0,https://pypi.org/project/paper-qa,3366.0,3366.0,,,,1.0,,,,,,,,,,,,,,,,,
30,e3nn,,rep-learn,MIT,https://github.com/e3nn/e3nn,A modular framework for neural networks with Euclidean symmetry.,25,True,,e3nn/e3nn,https://github.com/e3nn/e3nn,2020-01-31 13:06:42,2023-11-03 06:14:55.000,2023-09-02 22:23:35,2157.0,,111.0,18.0,204.0,17.0,131.0,797.0,2022-12-12 21:42:03,0.5.1,28.0,29.0,e3nn,conda-forge/e3nn,133.0,133.0,https://pypi.org/project/e3nn,96695.0,97271.0,https://anaconda.org/conda-forge/e3nn,2023-06-18 08:41:30.723,10949.0,1.0,,,,,,,,,,,,,,,,,
31,QUIP,,general-tool,GPL-2.0,https://github.com/libAtoms/QUIP,libAtoms/QUIP molecular dynamics framework: https://libatoms.github.io.,24,True,"['md', 'ml-iap', 'rep-eng', 'lang-fortran']",libAtoms/QUIP,https://github.com/libAtoms/QUIP,2013-07-02 15:21:59,2023-12-03 22:21:23.000,2023-08-29 12:01:13,10833.0,,117.0,26.0,165.0,91.0,345.0,309.0,2023-06-15 19:11:24,0.9.14,15.0,80.0,quippy-ase,,25.0,25.0,https://pypi.org/project/quippy-ase,1542.0,1626.0,,,,2.0,libatomsquip/quip,https://hub.docker.com/r/libatomsquip/quip,2023-04-24 21:25:17.345957,4.0,9857.0,347.0,,,,,,,,,,,
32,MAML,,general-tool,BSD-3-Clause,https://github.com/materialsvirtuallab/maml,"Python for Materials Machine Learning, Materials Descriptors, Machine Learning Force Fields, Deep Learning, etc.",24,True,,materialsvirtuallab/maml,https://github.com/materialsvirtuallab/maml,2020-01-25 15:04:21,2023-12-04 19:53:07.000,2023-11-06 19:58:55,1617.0,54.0,63.0,21.0,523.0,4.0,60.0,299.0,2023-09-09 22:24:24,2023.9.9,13.0,29.0,maml,,4.0,4.0,https://pypi.org/project/maml,239.0,239.0,,,,2.0,,,,,,,,,,,,,,,,,
33,Best-of Machine Learning with Python,,community,CC-BY-4.0,https://github.com/ml-tooling/best-of-ml-python,A ranked list of awesome machine learning Python libraries. Updated weekly.,23,True,"['general-ml', 'lang-py']",ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,2020-11-29 19:41:36,2023-11-30 16:05:11.000,2023-11-30 16:05:10,442.0,25.0,2114.0,383.0,234.0,17.0,33.0,14784.0,2023-11-30 16:05:19,2023.11.30,100.0,44.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
34,dgl-lifesci,,rep-learn,Apache-2.0,https://github.com/awslabs/dgl-lifesci,Python package for graph neural networks in chemistry and biology.,23,True,,awslabs/dgl-lifesci,https://github.com/awslabs/dgl-lifesci,2020-04-23 07:14:21,2023-11-01 19:32:07.000,2023-04-16 03:55:52,236.0,,135.0,17.0,141.0,24.0,57.0,644.0,2023-02-13 08:45:17,0.3.2,8.0,22.0,dgllife,,143.0,143.0,https://pypi.org/project/dgllife,13988.0,13988.0,,,,1.0,,,,,,,,,,,,,,,,,
35,DP-GEN,,ml-iap,LGPL-3.0,https://github.com/deepmodeling/dpgen,The deep potential generator to generate a deep-learning based model of interatomic potential energy and force field.,23,True,['workflows'],deepmodeling/dpgen,https://github.com/deepmodeling/dpgen,2019-06-13 11:43:56,2023-11-28 05:00:21.000,2023-11-02 05:59:11,2047.0,22.0,162.0,13.0,758.0,17.0,233.0,246.0,2023-11-02 06:14:15,0.12.0,17.0,62.0,dpgen,deepmodeling/dpgen,4.0,4.0,https://pypi.org/project/dpgen,530.0,567.0,https://anaconda.org/deepmodeling/dpgen,2023-06-16 19:27:03.566,191.0,1.0,,,,,,1529.0,,,,,,,,,,,
36,dpdata,,data-structures,LGPL-3.0,https://github.com/deepmodeling/dpdata,"Manipulating multiple atomic simulation data formats, including DeePMD-kit, VASP, LAMMPS, ABACUS, etc.",23,True,,deepmodeling/dpdata,https://github.com/deepmodeling/dpdata,2019-04-12 13:24:23,2023-12-06 01:08:52.000,2023-10-31 01:50:24,666.0,21.0,110.0,8.0,407.0,10.0,66.0,152.0,2023-10-31 02:23:47,0.2.17,24.0,51.0,dpdata,deepmodeling/dpdata,109.0,109.0,https://pypi.org/project/dpdata,4373.0,4379.0,https://anaconda.org/deepmodeling/dpdata,2023-09-27 20:07:36.945,174.0,1.0,,,,,,,,,,,,,,,,,
37,kgcnn,,rep-learn,MIT,https://github.com/aimat-lab/gcnn_keras,"Graph convolutions in Keras with TensorFlow, PyTorch or Jax.",23,True,,aimat-lab/gcnn_keras,https://github.com/aimat-lab/gcnn_keras,2020-07-17 11:12:46,2023-12-06 12:43:06.000,2023-12-06 12:39:07,3019.0,221.0,25.0,7.0,30.0,8.0,73.0,90.0,2023-09-16 11:47:45,3.1.0,24.0,7.0,kgcnn,,15.0,15.0,https://pypi.org/project/kgcnn,312.0,312.0,,,,1.0,,,,,,,,,,,,,,,,,
38,MPContribs,,datasets,MIT,https://github.com/materialsproject/MPContribs,Platform for materials scientists to contribute and disseminate their materials data through Materials Project.,23,True,,materialsproject/MPContribs,https://github.com/materialsproject/MPContribs,2014-12-11 18:25:27,2023-12-05 23:08:07.000,2023-12-05 23:08:06,5390.0,116.0,19.0,11.0,1586.0,20.0,78.0,32.0,2023-11-28 23:05:55,5.6.2,71.0,25.0,mpcontribs-client,,27.0,27.0,https://pypi.org/project/mpcontribs-client,6566.0,6566.0,,,,1.0,,,,,,,,,,,,,,,,,
39,AlphaFold,,biomolecules,Apache-2.0,https://github.com/google-deepmind/alphafold,Open source code for AlphaFold.,22,True,,deepmind/alphafold,https://github.com/google-deepmind/alphafold,2021-06-17 14:06:06,2023-12-01 15:03:42.000,2023-11-01 12:32:02,133.0,4.0,1909.0,214.0,91.0,187.0,581.0,11101.0,2023-04-05 09:45:53,2.3.2,13.0,19.0,,,7.0,7.0,,,,,,,1.0,,,,,,,,,google-deepmind/alphafold,,,,,,,,
40,JAX-MD,,md,Apache-2.0,https://github.com/jax-md/jax-md,"Differentiable, Hardware Accelerated, Molecular Dynamics.",22,True,,jax-md/jax-md,https://github.com/jax-md/jax-md,2019-05-13 21:03:37,2023-10-23 08:23:20.000,2023-08-29 15:10:31,838.0,,162.0,49.0,157.0,63.0,74.0,1023.0,2022-11-27 12:42:00,jax-md-v0.2.24,7.0,28.0,jax-md,,37.0,37.0,https://pypi.org/project/jax-md,1381.0,1381.0,,,,1.0,,,,,,,,,,,,,,,,,
41,DIG: Dive into Graphs,,rep-learn,GPL-3.0,https://github.com/divelab/DIG,A library for graph deep learning research.,21,True,,divelab/DIG,https://github.com/divelab/DIG,2020-10-30 03:51:15,2023-10-25 22:04:21.000,2023-10-25 22:04:21,1073.0,4.0,253.0,33.0,36.0,25.0,168.0,1667.0,2023-04-07 20:33:15,1.1.0,10.0,49.0,dive-into-graphs,,,,https://pypi.org/project/dive-into-graphs,340.0,340.0,,,,2.0,,,,,,,,,,,,,,,,,
42,MEGNet,,ml-iap,BSD-3-Clause,https://github.com/materialsvirtuallab/megnet,Graph Networks as a Universal Machine Learning Framework for Molecules and Crystals.,21,True,,materialsvirtuallab/megnet,https://github.com/materialsvirtuallab/megnet,2018-12-12 21:31:28,2023-04-27 02:39:17.000,2023-04-27 02:39:17,1146.0,,142.0,24.0,314.0,17.0,57.0,464.0,2022-11-16 21:24:36,1.3.2,34.0,13.0,megnet,,71.0,71.0,https://pypi.org/project/megnet,320.0,320.0,,,,1.0,,,,,,,,,,,,,,,,,
43,TorchANI,,ml-iap,MIT,https://github.com/aiqm/torchani,Accurate Neural Network Potential on PyTorch.,21,True,,aiqm/torchani,https://github.com/aiqm/torchani,2018-04-02 15:43:04,2023-12-05 16:30:00.718,2023-11-14 16:32:59,434.0,1.0,113.0,28.0,481.0,19.0,142.0,414.0,2023-11-14 16:38:04,2.2.4,24.0,17.0,torchani,conda-forge/torchani,29.0,29.0,https://pypi.org/project/torchani,1840.0,7516.0,https://anaconda.org/conda-forge/torchani,2023-12-05 16:30:00.718,227074.0,1.0,,,,,,,,,,,,,,,,,
44,DScribe,,rep-eng,Apache-2.0,https://github.com/SINGROUP/dscribe,DScribe is a python package for creating machine learning descriptors for atomistic systems.,21,True,,SINGROUP/dscribe,https://github.com/SINGROUP/dscribe,2017-05-08 08:29:51,2023-09-06 07:04:16.227,2023-09-05 18:02:57,1287.0,,80.0,20.0,25.0,8.0,79.0,354.0,,,14.0,18.0,dscribe,conda-forge/dscribe,162.0,162.0,https://pypi.org/project/dscribe,7027.0,8990.0,https://anaconda.org/conda-forge/dscribe,2023-09-06 07:04:16.227,80508.0,1.0,,,,,,,,,,,,,,,,,
45,DeepQMC,,ml-wft,MIT,https://github.com/deepqmc/deepqmc,Deep learning quantum Monte Carlo for electrons in real space.,21,True,,deepqmc/deepqmc,https://github.com/deepqmc/deepqmc,2019-12-06 14:50:59,2023-11-20 10:29:54.000,2023-11-20 10:29:53,1456.0,135.0,56.0,23.0,154.0,3.0,36.0,307.0,2023-11-20 10:09:02,1.1.2,10.0,13.0,deepqmc,,1.0,1.0,https://pypi.org/project/deepqmc,148.0,148.0,,,,1.0,,,,,,,,,,,,,,,,,
46,JARVIS-Tools,,general-tool,https://github.com/usnistgov/jarvis/blob/master/LICENSE.rst,https://github.com/usnistgov/jarvis,JARVIS-Tools: an open-source software package for data-driven atomistic materials design. Publications:..,21,True,,usnistgov/jarvis,https://github.com/usnistgov/jarvis,2017-06-22 19:34:02,2023-10-18 14:10:33.000,2023-09-22 00:18:02,2094.0,1.0,107.0,27.0,222.0,41.0,43.0,256.0,2023-08-11 17:26:26,2023.08.01,69.0,15.0,jarvis-tools,conda-forge/jarvis-tools,66.0,66.0,https://pypi.org/project/jarvis-tools,948.0,2507.0,https://anaconda.org/conda-forge/jarvis-tools,2023-06-16 19:23:23.093,59262.0,2.0,,,,,,,,,,,,,,,,,
47,MatGL (Materials Graph Library),,rep-learn,BSD-3-Clause,https://github.com/materialsvirtuallab/matgl,Graph deep learning library for materials.,21,True,,materialsvirtuallab/matgl,https://github.com/materialsvirtuallab/matgl,2022-08-29 18:36:05,2023-12-04 03:05:51.000,2023-11-27 21:04:36,903.0,46.0,35.0,8.0,144.0,3.0,43.0,148.0,2023-11-17 20:11:53,0.9.1,25.0,13.0,m3gnet,,17.0,17.0,https://pypi.org/project/m3gnet,550.0,550.0,,,,2.0,,,,,,,,,,,,,,,,,
48,CHGNet,,ml-iap,https://github.com/CederGroupHub/chgnet/blob/main/LICENSE,https://github.com/CederGroupHub/chgnet,Pretrained universal neural network potential for charge-informed atomistic modeling https://chgnet.lbl.gov.,21,True,"['md', 'pre-trained', 'electrostatics', 'magnetism', 'structure-relaxation']",CederGroupHub/chgnet,https://github.com/CederGroupHub/chgnet,2023-02-24 23:44:24,2023-11-19 04:15:36.000,2023-11-19 04:10:58,345.0,60.0,31.0,4.0,61.0,3.0,26.0,144.0,2023-11-19 04:15:36,0.3.2,10.0,7.0,chgnet,,9.0,9.0,https://pypi.org/project/chgnet,8269.0,8269.0,,,,1.0,,,,,,,,,,,,,,,,,
49,DM21,,ml-dft,Apache-2.0,https://github.com/deepmind/deepmind-research/tree/master/density_functional_approximation_dm21,This package provides a PySCF interface to the DM21 (DeepMind 21) family of exchange-correlation functionals described..,20,True,,deepmind/deepmind-research,https://github.com/google-deepmind/deepmind-research,2019-01-15 09:54:13,2023-11-27 23:26:48.000,2023-06-02 17:04:50,369.0,,2431.0,337.0,180.0,166.0,135.0,12321.0,,,,92.0,,,,,,,,,,,1.0,,,,,,,,,google-deepmind/deepmind-research,,,,,,,,
50,NVIDIA Deep Learning Examples for Tensor Cores,,rep-learn,https://github.com/NVIDIA/DeepLearningExamples/blob/master/DGLPyTorch/DrugDiscovery/SE3Transformer/LICENSE,https://github.com/NVIDIA/DeepLearningExamples#graph-neural-networks,State-of-the-Art Deep Learning scripts organized by models - easy to train and deploy with reproducible accuracy and..,20,True,"['educational', 'drug-discovery']",NVIDIA/DeepLearningExamples,https://github.com/NVIDIA/DeepLearningExamples,2018-05-02 17:04:05,2023-11-08 13:05:42.000,2023-10-06 19:54:45,1427.0,2.0,2819.0,293.0,529.0,232.0,558.0,11803.0,,,,115.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,
51,NequIP,,ml-iap,MIT,https://github.com/mir-group/nequip,NequIP is a code for building E(3)-equivariant interatomic potentials.,20,True,,mir-group/nequip,https://github.com/mir-group/nequip,2021-03-15 23:44:39,2023-10-27 20:35:22.000,2023-03-26 21:37:08,1670.0,,105.0,18.0,149.0,14.0,52.0,473.0,2022-12-20 18:52:46,0.5.6,14.0,8.0,nequip,conda-forge/nequip,16.0,16.0,https://pypi.org/project/nequip,556.0,751.0,https://anaconda.org/conda-forge/nequip,2023-06-18 08:41:30.787,3715.0,1.0,,,,,,,,,,,,,,,,,
52,TorchMD-NET,,ml-iap,MIT,https://github.com/torchmd/torchmd-net,Neural network potentials based on graph neural networks and equivariant transformers.,20,True,"['md', 'rep-learn', 'transformer', 'pre-trained']",torchmd/torchmd-net,https://github.com/torchmd/torchmd-net,2021-04-09 16:16:32,2023-11-21 13:00:33.000,2023-11-20 10:24:01,887.0,46.0,56.0,12.0,157.0,23.0,59.0,222.0,2023-11-08 13:08:53,0.10.0,12.0,13.0,,conda-forge/torchmd-net,,,,,703.0,https://anaconda.org/conda-forge/torchmd-net,2023-11-14 10:56:57.810,1406.0,1.0,,,,,,,,,,,,,,,,,
53,ocp,,rep-learn,MIT,https://github.com/Open-Catalyst-Project/ocp,ocp is the Open Catalyst Projects library of state-of-the-art machine learning algorithms for catalysis.,19,True,,Open-Catalyst-Project/ocp,https://github.com/Open-Catalyst-Project/ocp,2019-09-26 04:47:27,2023-12-06 08:03:42.000,2023-12-06 07:04:41,711.0,12.0,180.0,23.0,458.0,14.0,132.0,523.0,2022-10-01 03:00:41,0.1.0,4.0,32.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,
54,Pre-trained OCP models,,ml-iap,MIT,https://github.com/Open-Catalyst-Project/ocp/blob/main/MODELS.md,Pre-trained models released as part of the Open Catalyst Project.,19,True,['pre-trained'],Open-Catalyst-Project/ocp,https://github.com/Open-Catalyst-Project/ocp,2019-09-26 04:47:27,2023-12-06 08:03:42.000,2023-12-06 07:04:41,711.0,12.0,180.0,23.0,458.0,14.0,132.0,523.0,2022-10-01 03:00:41,0.1.0,4.0,32.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,
55,Metatensor,,data-structures,BSD-3-Clause,https://github.com/lab-cosmo/metatensor,Self-describing sparse tensor data format for atomistic machine learning and beyond.,19,True,"['lang-rust', 'lang-c', 'lang-cpp', 'lang-py']",lab-cosmo/metatensor,https://github.com/lab-cosmo/metatensor,2022-03-01 15:58:28,2023-12-06 12:15:15.000,2023-12-06 12:10:54,464.0,72.0,12.0,17.0,307.0,41.0,80.0,30.0,2023-10-11 15:57:13,metatensor-torch-v0.1.0,13.0,17.0,,,6.0,6.0,,,1205.0,,,,2.0,,,,,,2410.0,,,,,,,,,,,
56,Graph-based Deep Learning Literature,,community,MIT,https://github.com/naganandy/graph-based-deep-learning-literature,links to conference publications in graph-based deep learning.,18,True,"['general-ml', 'rep-learn']",naganandy/graph-based-deep-learning-literature,https://github.com/naganandy/graph-based-deep-learning-literature,2017-12-01 14:48:35,2023-11-19 05:55:34.000,2023-11-19 05:55:28,7632.0,10.0,725.0,243.0,21.0,,13.0,4459.0,,,,12.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
