,name,resource,category,description,homepage,projectrank,show,labels,license,github_id,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,pypi_id,conda_id,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,github_release_downloads,npm_id,npm_url,npm_monthly_downloads,docs_url,gitlab_id,gitlab_url,ignore
14,Matminer,,general-tool,Data mining for materials science.,https://github.com/hackingmaterials/matminer,29,True,,https://github.com/hackingmaterials/matminer/blob/main/LICENSE,hackingmaterials/matminer,https://github.com/hackingmaterials/matminer,2015-09-24 20:37:00,2023-08-21 08:07:39.000000,2023-06-27 15:45:29,4108.0,20.0,173.0,28.0,697.0,25.0,187.0,399.0,2023-06-27 15:36:52,0.9.0,66.0,49.0,matminer,conda-forge/matminer,221.0,221.0,https://pypi.org/project/matminer,16993.0,18412.0,https://anaconda.org/conda-forge/matminer,2023-06-27 20:24:06.404,48253.0,1.0,,,,,,,,,,,,,
15,DeePMD-kit,,mliap,A deep learning package for many-body potential energy representation and molecular dynamics.,https://github.com/deepmodeling/deepmd-kit,28,True,['lang-cpp'],LGPL-3.0,deepmodeling/deepmd-kit,https://github.com/deepmodeling/deepmd-kit,2017-12-12 15:23:44,2023-08-23 10:34:11.000000,2023-08-08 03:52:54,2223.0,80.0,426.0,47.0,1221.0,50.0,390.0,1189.0,2023-08-08 05:00:42,2.2.3,37.0,60.0,deepmd-kit,deepmodeling/deepmd-kit,11.0,11.0,https://pypi.org/project/deepmd-kit,858.0,1450.0,https://anaconda.org/deepmodeling/deepmd-kit,2023-08-11 22:29:42.658,803.0,1.0,deepmodeling/deepmd-kit,https://hub.docker.com/r/deepmodeling/deepmd-kit,2023-08-13 18:58:55.024799,1.0,1981.0,24582.0,,,,,,,
16,SchNetPack,,rep-learn,SchNetPack - Deep Neural Networks for Atomistic Systems.,https://github.com/atomistic-machine-learning/schnetpack,27,True,,MIT,atomistic-machine-learning/schnetpack,https://github.com/atomistic-machine-learning/schnetpack,2018-09-03 15:44:35,2023-08-18 13:26:08.000000,2023-08-17 11:11:14,1555.0,12.0,176.0,31.0,358.0,3.0,205.0,630.0,2023-04-25 11:23:00,2.0.3,7.0,31.0,schnetpack,,56.0,56.0,https://pypi.org/project/schnetpack,516.0,516.0,,,,1.0,,,,,,,,,,,,,
17,QUIP,,general-tool,libAtoms/QUIP molecular dynamics framework: https://libatoms.github.io.,https://github.com/libAtoms/QUIP,27,True,,GPL-2.0,libAtoms/QUIP,https://github.com/libAtoms/QUIP,2013-07-02 15:21:59,2023-07-18 16:21:18.000000,2023-07-18 16:06:47,10831.0,44.0,117.0,27.0,163.0,87.0,335.0,297.0,2023-06-15 19:11:24,0.9.14,15.0,79.0,quippy-ase,,22.0,22.0,https://pypi.org/project/quippy-ase,1358.0,1446.0,,,,2.0,libatomsquip/quip,https://hub.docker.com/r/libatomsquip/quip,2023-04-24 21:25:17.345957,4.0,9846.0,345.0,,,,,,,
18,paper-qa,,lm,LLM Chain for answering questions from documents with citations.,https://github.com/whitead/paper-qa,26,True,,Apache-2.0,whitead/paper-qa,https://github.com/whitead/paper-qa,2023-02-05 01:07:25,2023-08-22 17:23:37.000000,2023-08-22 17:22:28,164.0,44.0,269.0,38.0,74.0,39.0,59.0,2956.0,2023-08-22 17:23:37,3.7.1,62.0,12.0,paper-qa,,24.0,24.0,https://pypi.org/project/paper-qa,3621.0,3621.0,,,,1.0,,,,,,,,,,,,,
19,e3nn,,rep-learn,A modular framework for neural networks with Euclidean symmetry.,https://github.com/e3nn/e3nn,24,True,,MIT,e3nn/e3nn,https://github.com/e3nn/e3nn,2020-01-31 13:06:42,2023-08-15 13:48:27.000000,2023-08-15 13:48:22,2156.0,4.0,105.0,19.0,202.0,17.0,129.0,724.0,2022-12-12 21:42:03,0.5.1,28.0,28.0,e3nn,conda-forge/e3nn,102.0,102.0,https://pypi.org/project/e3nn,13409.0,13978.0,https://anaconda.org/conda-forge/e3nn,2023-06-18 08:41:30.723,8543.0,1.0,,,,,,,,,,,,,
20,AlphaFold,,biomolecules,Open source code for AlphaFold.,https://github.com/deepmind/alphafold,23,True,,Apache-2.0,deepmind/alphafold,https://github.com/deepmind/alphafold,2021-06-17 14:06:06,2023-08-10 17:19:05.000000,2023-08-10 13:28:00,125.0,5.0,1836.0,204.0,81.0,164.0,565.0,10655.0,2023-04-05 09:45:53,2.3.2,13.0,19.0,,,6.0,6.0,,,,,,,1.0,,,,,,,,,,,,,
21,JAX-MD,,md,"Differentiable, Hardware Accelerated, Molecular Dynamics.",https://github.com/jax-md/jax-md,23,True,,Apache-2.0,jax-md/jax-md,https://github.com/jax-md/jax-md,2019-05-13 21:03:37,2023-08-22 22:45:59.000000,2023-08-22 22:45:58,836.0,42.0,158.0,50.0,153.0,60.0,73.0,980.0,2022-11-27 12:42:00,jax-md-v0.2.24,7.0,28.0,jax-md,,33.0,33.0,https://pypi.org/project/jax-md,2188.0,2188.0,,,,1.0,,,,,,,,,,,,,
22,dgl-lifesci,,rep-learn,Python package for graph neural networks in chemistry and biology.,https://github.com/awslabs/dgl-lifesci,23,True,,Apache-2.0,awslabs/dgl-lifesci,https://github.com/awslabs/dgl-lifesci,2020-04-23 07:14:21,2023-06-12 18:56:16.000000,2023-04-16 03:55:52,236.0,,133.0,17.0,139.0,24.0,56.0,604.0,2023-02-13 08:45:17,0.3.2,8.0,22.0,dgllife,,108.0,108.0,https://pypi.org/project/dgllife,12708.0,12708.0,,,,1.0,,,,,,,,,,,,,
23,JARVIS-Tools,,general-tool,JARVIS-Tools: an open-source software package for data-driven atomistic materials design. Publications:..,https://github.com/usnistgov/jarvis,23,True,,https://github.com/usnistgov/jarvis/blob/master/LICENSE.rst,usnistgov/jarvis,https://github.com/usnistgov/jarvis,2017-06-22 19:34:02,2023-08-20 02:08:18.000000,2023-08-20 02:07:14,2093.0,6.0,105.0,27.0,221.0,38.0,43.0,237.0,2023-08-11 17:26:26,2023.08.01,69.0,15.0,jarvis-tools,conda-forge/jarvis-tools,60.0,60.0,https://pypi.org/project/jarvis-tools,14891.0,16505.0,https://anaconda.org/conda-forge/jarvis-tools,2023-06-16 19:23:23.093,54884.0,2.0,,,,,,,,,,,,,
24,NVIDIA Deep Learning Examples for Tensor Cores,,educational,State-of-the-Art Deep Learning scripts organized by models - easy to train and deploy with reproducible accuracy and..,https://github.com/NVIDIA/DeepLearningExamples,22,True,['drug-discovery'],https://github.com/NVIDIA/DeepLearningExamples/blob/master/DGLPyTorch/DrugDiscovery/SE3Transformer/LICENSE,NVIDIA/DeepLearningExamples,https://github.com/NVIDIA/DeepLearningExamples,2018-05-02 17:04:05,2023-08-23 10:13:19.000000,2023-08-23 10:09:12,1424.0,12.0,2754.0,289.0,523.0,216.0,556.0,11380.0,,,,115.0,,,,,,,,,,,1.0,,,,,,,,,,,,,
25,TorchANI,,mliap,Accurate Neural Network Potential on PyTorch.,https://github.com/aiqm/torchani,22,True,,MIT,aiqm/torchani,https://github.com/aiqm/torchani,2018-04-02 15:43:04,2023-06-25 04:24:10.593000,2023-03-21 14:30:59,433.0,,109.0,27.0,478.0,17.0,137.0,392.0,2023-04-13 18:10:53,2.2.3,23.0,16.0,torchani,conda-forge/torchani,25.0,25.0,https://pypi.org/project/torchani,1815.0,7640.0,https://anaconda.org/conda-forge/torchani,2023-06-25 04:24:10.593,209703.0,1.0,,,,,,,,,,,,,
26,DScribe,,rep-eng,DScribe is a python package for creating machine learning descriptors for atomistic systems.,https://github.com/SINGROUP/dscribe,22,True,,Apache-2.0,SINGROUP/dscribe,https://github.com/SINGROUP/dscribe,2017-05-08 08:29:51,2023-08-14 19:17:34.000000,2023-07-19 15:24:32,1284.0,9.0,78.0,21.0,24.0,8.0,77.0,341.0,,,13.0,18.0,dscribe,conda-forge/dscribe,145.0,145.0,https://pypi.org/project/dscribe,5509.0,7573.0,https://anaconda.org/conda-forge/dscribe,2023-07-19 19:51:35.626,76393.0,1.0,,,,,,,,,,,,,
27,MAML,,general-tool,"Python for Materials Machine Learning, Materials Descriptors, Machine Learning Force Fields, Deep Learning, etc.",https://github.com/materialsvirtuallab/maml,22,True,,BSD-3-Clause,materialsvirtuallab/maml,https://github.com/materialsvirtuallab/maml,2020-01-25 15:04:21,2023-08-22 13:52:36.000000,2023-08-16 03:01:53,1553.0,130.0,58.0,21.0,497.0,4.0,58.0,259.0,2022-09-20 18:44:37,2022.9.20,12.0,27.0,maml,,4.0,4.0,https://pypi.org/project/maml,124.0,124.0,,,,2.0,,,,,,,,,,,,,
28,DP-GEN,,mliap,The deep potential generator to generate a deep-learning based model of interatomic potential energy and force field.,https://github.com/deepmodeling/dpgen,22,True,['workflows'],LGPL-3.0,deepmodeling/dpgen,https://github.com/deepmodeling/dpgen,2019-06-13 11:43:56,2023-08-23 01:35:07.000000,2023-03-21 14:37:04,1958.0,,154.0,13.0,716.0,42.0,194.0,229.0,2023-03-22 17:49:22,0.11.1,16.0,59.0,dpgen,deepmodeling/dpgen,4.0,4.0,https://pypi.org/project/dpgen,225.0,262.0,https://anaconda.org/deepmodeling/dpgen,2023-06-16 19:27:03.566,162.0,1.0,,,,,,1429.0,,,,,,,
29,kgcnn,,rep-learn,Graph convolution with tf.keras.,https://github.com/aimat-lab/gcnn_keras,22,True,,MIT,aimat-lab/gcnn_keras,https://github.com/aimat-lab/gcnn_keras,2020-07-17 11:12:46,2023-08-17 09:42:40.000000,2023-08-17 09:38:11,2758.0,79.0,24.0,7.0,30.0,5.0,72.0,80.0,2023-08-01 15:42:10,3.0.2,23.0,7.0,kgcnn,,15.0,15.0,https://pypi.org/project/kgcnn,411.0,411.0,,,,1.0,,,,,,,,,,,,,
30,DM21,,ml-dft,This package provides a PySCF interface to the DM21 (DeepMind 21) family of exchange-correlation functionals described..,https://github.com/deepmind/deepmind-research/tree/master/density_functional_approximation_dm21,21,True,,Apache-2.0,deepmind/deepmind-research,https://github.com/deepmind/deepmind-research,2019-01-15 09:54:13,2023-08-17 01:03:23.000000,2023-06-02 17:04:50,369.0,13.0,2398.0,338.0,147.0,154.0,134.0,12052.0,,,,92.0,,,,,,,,,,,1.0,,,,,,,,,,,,,
31,MEGNet,,mliap,Graph Networks as a Universal Machine Learning Framework for Molecules and Crystals.,https://github.com/materialsvirtuallab/megnet,21,True,,BSD-3-Clause,materialsvirtuallab/megnet,https://github.com/materialsvirtuallab/megnet,2018-12-12 21:31:28,2023-04-27 02:39:17.000000,2023-04-27 02:39:17,1146.0,,139.0,24.0,314.0,17.0,57.0,454.0,2022-11-16 21:24:36,1.3.2,34.0,13.0,megnet,,69.0,69.0,https://pypi.org/project/megnet,730.0,730.0,,,,1.0,,,,,,,,,,,,,
32,dpdata,,data-structures,"Manipulating multiple atomic simulation data formats, including DeePMD-kit, VASP, LAMMPS, ABACUS, etc.",https://github.com/deepmodeling/dpdata,21,True,,LGPL-3.0,deepmodeling/dpdata,https://github.com/deepmodeling/dpdata,2019-04-12 13:24:23,2023-08-23 02:14:20.000000,2023-05-04 01:19:46,604.0,,101.0,8.0,369.0,22.0,46.0,138.0,2023-05-04 01:23:26,0.2.15,22.0,45.0,dpdata,deepmodeling/dpdata,100.0,100.0,https://pypi.org/project/dpdata,2496.0,2516.0,https://anaconda.org/deepmodeling/dpdata,2023-06-16 19:27:06.316,488.0,1.0,,,,,,,,,,,,,
33,NequIP,,mliap,NequIP is a code for building E(3)-equivariant interatomic potentials.,https://github.com/mir-group/nequip,20,True,,MIT,mir-group/nequip,https://github.com/mir-group/nequip,2021-03-15 23:44:39,2023-08-17 18:10:06.000000,2023-03-26 21:37:08,1670.0,,90.0,18.0,149.0,12.0,48.0,419.0,2022-12-20 18:52:46,0.5.6,14.0,8.0,nequip,conda-forge/nequip,14.0,14.0,https://pypi.org/project/nequip,577.0,795.0,https://anaconda.org/conda-forge/nequip,2023-06-18 08:41:30.787,3279.0,1.0,,,,,,,,,,,,,
34,DeepQMC,,ml-wft,Deep learning quantum Monte Carlo for electrons in real space.,https://github.com/deepqmc/deepqmc,20,True,,MIT,deepqmc/deepqmc,https://github.com/deepqmc/deepqmc,2019-12-06 14:50:59,2023-08-23 15:53:29.000000,2023-08-08 09:18:02,1278.0,66.0,56.0,22.0,122.0,5.0,30.0,296.0,2023-01-04 09:38:38,1.0.1,7.0,13.0,deepqmc,,1.0,1.0,https://pypi.org/project/deepqmc,51.0,51.0,,,,1.0,,,,,,,,,,,,,
35,MatGL (Materials Graph Library),,rep-learn,Graph deep learning library for materials.,https://github.com/materialsvirtuallab/matgl,20,True,,BSD-3-Clause,materialsvirtuallab/matgl,https://github.com/materialsvirtuallab/matgl,2022-08-29 18:36:05,2023-08-23 15:14:29.000000,2023-08-23 15:14:18,825.0,433.0,23.0,7.0,106.0,3.0,31.0,109.0,2023-08-22 14:09:18,0.8.3,21.0,11.0,m3gnet,,2.0,2.0,https://pypi.org/project/m3gnet,881.0,881.0,,,,2.0,,,,,,,,,,,,,
36,ocp,,rep-learn,ocp is the Open Catalyst Projects library of state-of-the-art machine learning algorithms for catalysis.,https://github.com/Open-Catalyst-Project/ocp,19,True,,MIT,Open-Catalyst-Project/ocp,https://github.com/Open-Catalyst-Project/ocp,2019-09-26 04:47:27,2023-08-17 19:57:54.000000,2023-08-07 18:11:43,694.0,20.0,166.0,25.0,437.0,16.0,109.0,448.0,2022-10-01 03:00:41,0.1.0,4.0,31.0,,,,,,,,,,,2.0,,,,,,,,,,,,,
37,exmol,,xai,Explainer for black box models that predict molecule properties.,https://github.com/ur-whitelab/exmol,19,True,,MIT,ur-whitelab/exmol,https://github.com/ur-whitelab/exmol,2021-08-03 17:56:06,2023-06-19 20:50:50.000000,2023-06-19 19:49:27,188.0,1.0,37.0,9.0,73.0,10.0,57.0,251.0,2023-06-19 20:50:51,3.0.3,27.0,7.0,exmol,,12.0,12.0,https://pypi.org/project/exmol,539.0,539.0,,,,1.0,,,,,,,,,,,,,
38,FitSNAP,,md,Software for generating SNAP machine-learning interatomic potentials.,https://github.com/FitSNAP/FitSNAP,19,True,,GPL-2.0,FitSNAP/FitSNAP,https://github.com/FitSNAP/FitSNAP,2019-09-12 14:46:18,2023-08-22 15:25:33.000000,2023-08-22 15:25:33,1284.0,58.0,42.0,7.0,164.0,8.0,54.0,121.0,2023-06-28 16:00:48,3.1.0,7.0,24.0,,conda-forge/fitsnap3,,,,,132.0,https://anaconda.org/conda-forge/fitsnap3,2023-06-16 00:19:04.615,4342.0,2.0,,,,,,5.0,,,,,,,
39,FLARE,,active-learning,An open-source Python package for creating fast and accurate interatomic potentials.,https://github.com/mir-group/flare,18,True,"['lang-cpp', 'mliap']",MIT,mir-group/flare,https://github.com/mir-group/flare,2018-08-30 23:40:56,2023-07-20 11:31:36.000000,2023-05-26 02:06:09,4382.0,2.0,55.0,18.0,184.0,19.0,160.0,239.0,2022-04-21 18:33:10,0.2.4,5.0,36.0,,,10.0,10.0,,,0.0,,,,1.0,,,,,,1.0,,,,,,,
40,M3GNet,,mliap,Materials graph network with 3-body interactions featuring a DFT surrogate crystal relaxer and a state-of-the-art..,https://github.com/materialsvirtuallab/m3gnet,18,True,,BSD-3-Clause,materialsvirtuallab/m3gnet,https://github.com/materialsvirtuallab/m3gnet,2022-01-18 18:10:58,2023-06-06 23:56:08.000000,2023-06-06 23:56:03,261.0,4.0,49.0,10.0,33.0,15.0,20.0,172.0,2022-11-17 23:25:35,0.2.4,16.0,14.0,m3gnet,,16.0,16.0,https://pypi.org/project/m3gnet,881.0,881.0,,,,2.0,,,,,,,,,,,,,
41,ALIGNN,,rep-learn,Atomistic Line Graph Neural Network.,https://github.com/usnistgov/alignn,18,True,,https://github.com/usnistgov/alignn/blob/main/LICENSE.rst,usnistgov/alignn,https://github.com/usnistgov/alignn,2021-04-19 20:08:09,2023-08-11 18:09:14.000000,2023-08-11 04:50:09,595.0,78.0,64.0,11.0,88.0,23.0,23.0,144.0,2023-08-11 04:51:42,2023.08.01,40.0,7.0,alignn,,4.0,4.0,https://pypi.org/project/alignn,503.0,503.0,,,,2.0,,,,,,,,,,,,,
42,e3nn-jax,,rep-learn,jax library for E3 Equivariant Neural Networks.,https://github.com/e3nn/e3nn-jax,18,True,,Apache-2.0,e3nn/e3nn-jax,https://github.com/e3nn/e3nn-jax,2021-06-08 13:21:51,2023-08-11 13:46:24.000000,2023-08-11 13:46:20,894.0,63.0,13.0,9.0,29.0,1.0,7.0,121.0,2023-06-24 17:06:31,0.19.3,35.0,4.0,e3nn-jax,,,,https://pypi.org/project/e3nn-jax,2339.0,2339.0,,,,2.0,,,,,,,,,,,,,
43,Scikit-Matter,,general-tool,A collection of scikit-learn compatible utilities that implement methods born out of the materials science and..,https://github.com/scikit-learn-contrib/scikit-matter,18,True,['scikit-learn'],BSD-3-Clause,scikit-learn-contrib/scikit-matter,https://github.com/scikit-learn-contrib/scikit-matter,2020-10-12 19:23:26,2023-08-22 16:31:41.000000,2023-08-22 15:04:39,354.0,27.0,15.0,17.0,144.0,11.0,56.0,60.0,2023-03-14 17:41:48,0.1.4,6.0,12.0,skmatter,conda-forge/skmatter,5.0,5.0,https://pypi.org/project/skmatter,320.0,398.0,https://anaconda.org/conda-forge/skmatter,2023-06-18 17:27:51.786,390.0,2.0,,,,,,,,,,,,,
44,MALA,,ml-dft,Materials Learning Algorithms. A framework for machine learning materials properties from first-principles data.,https://github.com/mala-project/mala,18,True,,BSD-3-Clause,mala-project/mala,https://github.com/mala-project/mala,2021-03-31 11:40:38,2023-08-04 14:05:18.000000,2023-08-04 14:04:12,2070.0,90.0,19.0,9.0,248.0,23.0,208.0,50.0,2022-10-18 07:04:37,1.1.0,7.0,41.0,,,,,,,,,,,1.0,,,,,,,,,,,,,
45,MoLeR,,generative,Implementation of MoLeR: a generative model of molecular graphs which supports scaffold-constrained generation.,https://github.com/microsoft/molecule-generation,17,True,,MIT,microsoft/molecule-generation,https://github.com/microsoft/molecule-generation,2022-02-17 19:16:29,2023-08-09 14:17:04.000000,2023-08-09 14:17:01,63.0,4.0,31.0,11.0,33.0,6.0,24.0,199.0,2023-06-18 21:03:46,0.4.0,4.0,5.0,molecule-generation,,,,https://pypi.org/project/molecule-generation,186.0,186.0,,,,1.0,,,,,,,,,,,,,
46,KFAC-JAX,,math,Second Order Optimization and Curvature Estimation with K-FAC in JAX.,https://github.com/deepmind/kfac-jax,17,True,,Apache-2.0,deepmind/kfac-jax,https://github.com/deepmind/kfac-jax,2022-03-18 10:19:24,2023-08-23 12:47:49.000000,2023-08-22 17:11:59,140.0,20.0,10.0,6.0,151.0,4.0,4.0,151.0,2023-05-16 18:03:40,0.0.5,4.0,11.0,kfac-jax,,6.0,6.0,https://pypi.org/project/kfac-jax,683.0,683.0,,,,1.0,,,,,,,,,,,,,
47,Chemiscope,,visualization,An interactive structure/property explorer for materials and molecules.,https://github.com/lab-cosmo/chemiscope,17,True,['lang-js'],BSD-3-Clause,lab-cosmo/chemiscope,https://github.com/lab-cosmo/chemiscope,2019-10-03 09:59:42,2023-08-23 07:43:41.000000,2023-07-25 15:28:49,648.0,3.0,26.0,15.0,182.0,40.0,66.0,86.0,2023-03-15 15:39:40,0.5.2,12.0,17.0,,,5.0,5.0,,,37.0,,,,1.0,,,,,,135.0,chemiscope,https://www.npmjs.com/package/chemiscope,34.0,,,,
48,MAST-ML,,general-tool,MAterials Simulation Toolkit for Machine Learning (MAST-ML).,https://github.com/uw-cmg/MAST-ML,17,True,,MIT,uw-cmg/MAST-ML,https://github.com/uw-cmg/MAST-ML,2017-02-16 17:03:57,2023-07-28 19:11:53.000000,2023-07-28 18:33:43,3162.0,3.0,50.0,13.0,36.0,22.0,191.0,85.0,2023-05-01 21:32:25,3.1.7,6.0,19.0,,,6.0,6.0,,,2.0,,,,2.0,,,,,,81.0,,,,,,,
49,Uni-Mol,,rep-learn,Official Repository for the Uni-Mol Series Methods.,https://github.com/dptech-corp/Uni-Mol,16,True,['pre-trained'],MIT,dptech-corp/Uni-Mol,https://github.com/dptech-corp/Uni-Mol,2022-05-22 13:26:41,2023-08-23 02:58:49.000000,2023-08-23 02:58:45,80.0,9.0,71.0,20.0,55.0,26.0,67.0,397.0,2023-07-07 09:02:23,0.2,2.0,8.0,,,,,,,492.0,,,,2.0,,,,,,4923.0,,,,,,,
50,QML,,general-tool,QML: Quantum Machine Learning.,https://github.com/qmlcode/qml,16,False,,MIT,qmlcode/qml,https://github.com/qmlcode/qml,2017-04-22 04:48:38,2023-07-26 12:01:42.000000,2018-09-10 11:14:35,75.0,,78.0,23.0,101.0,27.0,19.0,185.0,,,3.0,2.0,qml,,18.0,18.0,https://pypi.org/project/qml,275.0,275.0,,,,2.0,,,,,,,,,,,,,
51,XenonPy,,general-tool,XenonPy is a Python Software for Materials Informatics.,https://github.com/yoshida-lab/XenonPy,16,True,,BSD-3-Clause,yoshida-lab/XenonPy,https://github.com/yoshida-lab/XenonPy,2018-01-17 10:13:29,2023-05-21 15:54:32.000000,2023-05-21 15:53:00,682.0,,57.0,12.0,182.0,16.0,66.0,107.0,2023-05-21 15:54:32,0.6.8,45.0,10.0,xenonpy,,,,https://pypi.org/project/xenonpy,163.0,180.0,,,,2.0,,,,,,1166.0,,,,,,,
52,gpax,,math,Gaussian Processes for Experimental Sciences.,https://github.com/ziatdinovmax/gpax,16,True,"['probabilistic', 'active-learning']",MIT,ziatdinovmax/gpax,https://github.com/ziatdinovmax/gpax,2021-10-28 13:43:18,2023-08-20 23:33:01.000000,2023-08-07 01:30:41,452.0,101.0,15.0,3.0,29.0,3.0,4.0,101.0,2023-07-09 23:50:56,0.0.7,7.0,,gpax,,,,https://pypi.org/project/gpax,134.0,134.0,,,,2.0,,,,,,,,,,,,,
