,name,resource,category,homepage,description,projectrank,show,license,labels,github_id,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,pypi_id,conda_id,recent_commit_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,updated_github_id,github_release_downloads,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,gitlab_id,gitlab_url,ignore,docs_url
10,Citrination Datasets,True,datasets,https://citrination.com/,AI-Powered Materials Data Platform. Open Citrination has been decommissioned.,0,True,MIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,crystals.ai,True,datasets,https://crystals.ai/,Curated datasets for reproducible AI in materials science.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,DeepChem Models,True,datasets,https://huggingface.co/DeepChem,DeepChem models on HuggingFace.,0,True,,"['model-repository', 'pretrained', 'language-models']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Graphs of Materials Project 20190401,True,datasets,https://figshare.com/articles/dataset/Graphs_of_Materials_Project_20190401/8097992,The dataset used to train the MEGNet interatomic potential.,0,True,MIT,['ml-iap'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,HME21 Dataset,True,datasets,https://doi.org/10.6084/m9.figshare.19658538,High-temperature multi-element 2021 dataset for the PreFerred Potential (PFP)..,0,True,,['uip'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,JARVIS-Leaderboard,True,datasets,https://pages.nist.gov/jarvis_leaderboard/,A large scale benchmark of materials design methods: https://www.nature.com/articles/s41524-024-01259-w.,0,True,https://github.com/usnistgov/jarvis_leaderboard/blob/main/LICENSE.rst,"['model-repository', 'benchmarking', 'community', 'educational']",usnistgov/jarvis_leaderboard,https://github.com/usnistgov/jarvis_leaderboard,2022-07-15 16:48:33,2025-10-29 16:19:54.000,2025-08-25 15:26:07,925.0,50.0,2.0,358.0,18.0,2.0,72.0,2024-11-24 16:35:14.000,2024.10.30,30.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Materials Project - Charge Densities,True,datasets,https://materialsproject.org/ml/charge_densities,Materials Project has started offering charge density information available for download via their public API.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Materials Project Trajectory (MPtrj) Dataset,True,datasets,https://figshare.com/articles/dataset/Materials_Project_Trjectory_MPtrj_Dataset/23713842,The dataset used to train the CHGNet universal potential.,0,True,MIT,['uip'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,matterverse.ai,True,datasets,https://matterverse.ai/,Database of yet-to-be-sythesized materials predicted using state-of-the-art machine learning algorithms.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,MPF.2021.2.8,True,datasets,https://figshare.com/articles/dataset/MPF_2021_2_8/19470599,The dataset used to train the M3GNet universal potential.,0,True,,['uip'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,NRELMatDB,True,datasets,https://materials.nrel.gov/,"Computational materials database with the specific focus on materials for renewable energy applications including, but..",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,QM9 Charge Densities and Energies,True,datasets,https://data.dtu.dk/articles/dataset/QM9_Charge_Densities_and_Energies_Calculated_with_VASP/16794500,QM9 molecules calculated with VASP using Atomic Simulation Environment.,0,True,CC-BY-4.0,['ml-dft'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,QM40 Dataset,True,datasets,https://doi.org/10.6084/m9.figshare.25993060.v1,A More Realistic QM Dataset for Machine Learning in Molecular Science https://doi.org/10.1038/s41597-024-04206-y.,0,True,CC-BY-4.0,['drug-discovery'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,QMugs dataset,True,datasets,CC-BY-3.0,Quantum Mechanical Properties of Drug-like Molecules https://doi.org/10.1038/s41597-022-01390-7.,0,True,CC-BY-3.0,['drug-discovery'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Quantum-Machine.org Datasets,True,datasets,http://quantum-machine.org/datasets/,"Collection of datasets, including QM7, QM9, etc. MD, DFT. Small organic molecules, mostly.",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,sGDML Datasets,True,datasets,http://sgdml.org/#datasets,"MD17, MD22, DFT datasets.",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,MoleculeNet,True,datasets,https://moleculenet.org/,A Benchmark for Molecular Machine Learning.,0,True,,['benchmarking'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,ZINC15,True,datasets,https://zinc15.docking.org/,A free database of commercially-available compounds for virtual screening. ZINC contains over 230 million purchasable..,0,True,,"['graph', 'biomolecules']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,ZINC20,True,datasets,https://zinc.docking.org/,A free database of commercially-available compounds for virtual screening. ZINC contains over 230 million purchasable..,0,True,,"['graph', 'biomolecules']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,AI for Science 101,True,educational,https://ai4science101.github.io/,,0,True,,"['community', 'rep-learn']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,AL4MS 2023 workshop tutorials,True,educational,https://sites.utu.fi/al4ms2023/media-and-tutorials/,,0,True,,['active-learning'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Quantum Chemistry in the Age of Machine Learning,True,educational,https://www.elsevier.com/books-and-journals/book-companion/9780323900492,"Book, 2022.",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,IKS-PIML,True,ml-dft,https://rodare.hzdr.de/record/2720,Code and generated data for the paper Inverting the Kohn-Sham equations with physics-informed machine learning..,0,True,,"['neural-operator', 'pinn', 'datasets', 'single-paper']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,TeaNet,True,uip,https://doi.org/10.24433/CO.0749085.v1,Universal neural network interatomic potential inspired by iterative electronic relaxations..,0,True,,['ml-iap'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,PreFerred Potential (PFP),True,uip,https://www.nature.com/articles/s41467-022-30687-9#code-availability,Universal neural network potential for material discovery https://doi.org/10.1038/s41467-022-30687-9.,0,True,,"['ml-iap', 'proprietary']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,MaCBench Leaderboard,True,language-models,https://huggingface.co/spaces/jablonkagroup/MaCBench-Leaderboard,Leaderboard for multimodal language models for chemistry & materials research.,0,True,,"['community', 'benchmarking', 'datasets']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,M-OFDFT,True,ml-dft,https://zenodo.org/records/10616893,Overcoming the Barrier of Orbital-Free Density Functional Theory in Molecular Systems Using Deep Learning..,0,True,,"['transformer', 'single-paper']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,RDKit,,general-tool,https://github.com/rdkit/rdkit,,38,True,BSD-3-Clause,"['lang-cpp', 'cheminformatics']",rdkit/rdkit,https://github.com/rdkit/rdkit,2013-05-12 06:19:15,2025-12-15 20:49:00.000,2025-12-15 20:49:00,8331.0,927.0,76.0,3785.0,668.0,3508.0,3211.0,2025-12-03 13:32:51.000,2025.9.3,100.0,260.0,rdkit,rdkit/rdkit,109.0,1357.0,3.0,https://pypi.org/project/rdkit,2025-12-03 13:32:51.000,1354.0,1998185.0,2017036.0,https://anaconda.org/rdkit/rdkit,2025-03-25 16:26:20.859,2601471.0,1.0,,,,,,,,,,,,,,,,,,,,,
38,Deep Graph Library (DGL),,rep-learn,https://github.com/dmlc/dgl,"Python package built to ease deep learning on graph, on top of existing DL frameworks.",36,True,Apache-2.0,,dmlc/dgl,https://github.com/dmlc/dgl,2018-04-20 14:49:09,2025-07-31 23:53:10.000,2025-07-31 23:53:10,4417.0,3047.0,169.0,5077.0,592.0,2362.0,14176.0,2024-09-03 04:16:25.000,2.4.0,453.0,298.0,dgl,dglteam/dgl,,4314.0,4166.0,https://pypi.org/project/dgl,2024-05-13 01:10:39.000,148.0,234869.0,240386.0,https://anaconda.org/dglteam/dgl,2025-03-25 16:26:45.757,463482.0,1.0,,,,,,,,,,,,,,,,,,,,,
39,PyG Models,,rep-learn,https://github.com/pyg-team/pytorch_geometric/tree/master/torch_geometric/nn/models,Representation learning models implemented in PyTorch Geometric.,34,True,MIT,['general-ml'],pyg-team/pytorch_geometric,https://github.com/pyg-team/pytorch_geometric,2017-10-06 16:03:03,2025-12-18 08:28:02.000,2025-12-18 08:28:01,7915.0,3937.0,254.0,3687.0,1255.0,2737.0,23280.0,2025-10-14 22:05:53.000,2.7.0,43.0,559.0,,,31.0,10638.0,10638.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
40,DeepChem,,general-tool,https://github.com/deepchem/deepchem,"Democratizing Deep-Learning for Drug Discovery, Quantum Chemistry, Materials Science and Biology.",34,True,MIT,,deepchem/deepchem,https://github.com/deepchem/deepchem,2015-09-24 23:20:28,2025-12-17 21:51:18.000,2025-12-17 19:53:46,10644.0,1967.0,139.0,2803.0,858.0,1247.0,6415.0,2024-04-03 16:21:23.000,2.8.0,1032.0,258.0,deepchem,conda-forge/deepchem,10.0,675.0,651.0,https://pypi.org/project/deepchem,2025-12-17 21:51:18.000,24.0,57539.0,59437.0,https://anaconda.org/conda-forge/deepchem,2025-04-22 14:57:21.461,120339.0,1.0,deepchemio/deepchem,https://hub.docker.com/r/deepchemio/deepchem,2025-07-15 01:32:58.272146,5.0,9246.0,,,,,,,,,,,,,,,,
41,FAIR Chemistry datasets,,datasets,https://github.com/facebookresearch/fairchem,"Datasets OC20, OC22, etc. Formerly known as Open Catalyst Project.",30,True,MIT,['catalysis'],FAIR-Chem/fairchem,https://github.com/facebookresearch/fairchem,2019-09-26 04:47:27,2025-12-17 11:39:20.000,2025-12-17 11:05:55,1221.0,410.0,39.0,1146.0,36.0,473.0,1873.0,2025-12-11 18:25:26.000,2.13.0,53.0,61.0,fairchem-core,,99.0,26.0,,https://pypi.org/project/fairchem-core,2025-12-11 18:25:26.000,26.0,30285.0,30285.0,,,,1.0,,,,,,facebookresearch/fairchem,,,,,,,,,,,,,,,
42,fairchem,,ml-iap,https://github.com/facebookresearch/fairchem,FAIR Chemistrys library of machine learning methods for chemistry. Formerly known as Open Catalyst Project.,30,True,MIT,"['pretrained', 'uip', 'rep-learn', 'catalysis']",FAIR-Chem/fairchem,https://github.com/facebookresearch/fairchem,2019-09-26 04:47:27,2025-12-18 18:28:12.000,2025-12-17 11:05:55,1221.0,410.0,39.0,1147.0,36.0,473.0,1873.0,2025-12-11 18:25:26.000,2.13.0,53.0,61.0,fairchem-core,,99.0,26.0,,https://pypi.org/project/fairchem-core,2025-12-11 18:25:26.000,26.0,30285.0,30285.0,,,,1.0,,,,,,facebookresearch/fairchem,,,,,,,,,,,,,,,
43,FAIRChem EquiformerV2 models,,uip,https://github.com/FAIR-Chem/fairchem/tree/main/src/fairchem/core/models/equiformer_v2,FAIRChem implementation of Equiformer V2 (eqV2) models.,30,True,MIT,"['pretrained', 'uip', 'rep-learn', 'catalysis']",FAIR-Chem/fairchem,https://github.com/facebookresearch/fairchem,2019-09-26 04:47:27,2025-12-18 18:28:12.000,2025-12-17 11:05:55,1221.0,410.0,39.0,1147.0,36.0,473.0,1873.0,2025-12-11 18:25:26.000,2.13.0,53.0,61.0,fairchem-core,,99.0,26.0,,https://pypi.org/project/fairchem-core,2025-12-11 18:25:26.000,26.0,30285.0,30285.0,,,,1.0,,,,,,facebookresearch/fairchem,,,,,,,,,,,,,,,
44,FAIRChem eSEN models,,uip,https://github.com/janosh/matbench-discovery/tree/main/models/eSEN,FAIRChem implementation of Smooth Energy Network (eSEN) models arXiv:2502.12147.,30,True,MIT,"['pretrained', 'uip', 'rep-learn', 'catalysis']",FAIR-Chem/fairchem,https://github.com/facebookresearch/fairchem,2019-09-26 04:47:27,2025-12-18 18:28:12.000,2025-12-17 11:05:55,1221.0,410.0,39.0,1147.0,36.0,473.0,1873.0,2025-12-11 18:25:26.000,2.13.0,53.0,61.0,fairchem-core,,99.0,26.0,,https://pypi.org/project/fairchem-core,2025-12-11 18:25:26.000,26.0,30285.0,30285.0,,,,1.0,,,,,,facebookresearch/fairchem,,,,,,,,,,,,,,,
45,DeePMD-kit,,ml-iap,https://github.com/deepmodeling/deepmd-kit,A deep learning package for many-body potential energy representation and molecular dynamics.,30,True,LGPL-3.0,"['md', 'workflows', 'lang-cpp']",deepmodeling/deepmd-kit,https://github.com/deepmodeling/deepmd-kit,2017-12-12 15:23:44,2025-12-18 16:57:42.000,2025-12-16 16:10:38,3474.0,582.0,46.0,2610.0,121.0,860.0,1812.0,2025-12-12 10:48:18.000,3.1.2,64.0,84.0,deepmd-kit,deepmodeling/deepmd-kit,70.0,58.0,41.0,https://pypi.org/project/deepmd-kit,2025-12-12 10:48:18.000,17.0,8623.0,9600.0,https://anaconda.org/deepmodeling/deepmd-kit,2025-03-25 16:24:57.998,3249.0,1.0,deepmodeling/deepmd-kit,https://hub.docker.com/r/deepmodeling/deepmd-kit,2025-11-12 14:59:25.522676,1.0,4803.0,,64564.0,,,,,,,,,,,,,,
46,DPA-2,,uip,https://github.com/deepmodeling/deepmd-kit,A large atomic model as a multi-task learner https://arxiv.org/abs/2312.15492.,30,True,LGPL-3.0,"['ml-iap', 'pretrained', 'workflows', 'datasets']",deepmodeling/deepmd-kit,https://github.com/deepmodeling/deepmd-kit,2017-12-12 15:23:44,2025-12-18 16:57:42.000,2025-12-16 16:10:38,3474.0,582.0,46.0,2610.0,121.0,860.0,1812.0,2025-12-12 10:48:18.000,3.1.2,64.0,84.0,deepmd-kit,conda-forge/deepmd-kit,70.0,58.0,41.0,https://pypi.org/project/deepmd-kit,2025-12-12 10:48:18.000,17.0,8623.0,52322.0,https://anaconda.org/conda-forge/deepmd-kit,2025-12-15 20:41:45.040,2394850.0,1.0,deepmodeling/deepmd-kit,https://hub.docker.com/r/deepmodeling/deepmd-kit,2025-11-12 14:59:25.522676,1.0,4803.0,,64564.0,,,,,,,,,,,,,,
47,DeePMD-DPA3,,uip,https://github.com/deepmodeling/deepmd-kit,Successor of DPA-2.,30,True,LGPL-3.0,"['ml-iap', 'pretrained', 'workflows', 'datasets']",deepmodeling/deepmd-kit,https://github.com/deepmodeling/deepmd-kit,2017-12-12 15:23:44,2025-12-18 16:57:42.000,2025-12-16 16:10:38,3474.0,582.0,46.0,2610.0,121.0,860.0,1812.0,2025-12-12 10:48:18.000,3.1.2,64.0,84.0,deepmd-kit,conda-forge/deepmd-kit,70.0,58.0,41.0,https://pypi.org/project/deepmd-kit,2025-12-12 10:48:18.000,17.0,8623.0,52322.0,https://anaconda.org/conda-forge/deepmd-kit,2025-12-15 20:41:45.040,2394850.0,1.0,deepmodeling/deepmd-kit,https://hub.docker.com/r/deepmodeling/deepmd-kit,2025-11-12 14:59:25.522676,1.0,4803.0,,64564.0,,,,,,,,,,,,,,
48,Meta Open Materials 2024 (OMat24) Dataset,,datasets,https://huggingface.co/datasets/fairchem/OMAT24,Contains over 100 million Density Functional Theory calculations focused on structural and compositional diversity.,29,True,CC-BY-4.0,,FAIR-Chem/fairchem,https://github.com/facebookresearch/fairchem,2019-09-26 04:47:27,2025-12-17 11:39:20.000,2025-12-17 11:05:55,1221.0,410.0,39.0,1146.0,36.0,473.0,1873.0,2025-12-11 18:25:26.000,2.13.0,53.0,61.0,fairchem-core,,99.0,26.0,,https://pypi.org/project/fairchem-core,2025-12-11 18:25:26.000,26.0,30285.0,30285.0,,,,1.0,,,,,,facebookresearch/fairchem,,,,,,,,,,,,,,,
49,e3nn,,rep-learn,https://github.com/e3nn/e3nn,A modular framework for neural networks with Euclidean symmetry.,29,True,MIT,,e3nn/e3nn,https://github.com/e3nn/e3nn,2020-01-31 13:06:42,2025-12-18 04:27:29.874,2025-12-18 01:51:01,2204.0,173.0,18.0,260.0,31.0,143.0,1191.0,2025-12-18 01:51:49.000,0.5.9,36.0,37.0,e3nn,conda-forge/e3nn,4.0,634.0,564.0,https://pypi.org/project/e3nn,2025-12-18 01:51:49.000,70.0,290491.0,291815.0,https://anaconda.org/conda-forge/e3nn,2025-12-18 04:27:29.874,56970.0,1.0,,,,,,,,,,,,,,,,,,,,,
50,NequIP,,ml-iap,https://github.com/mir-group/nequip,NequIP is a code for building E(3)-equivariant interatomic potentials.,29,True,MIT,,mir-group/nequip,https://github.com/mir-group/nequip,2021-03-15 23:44:39,2025-12-01 17:04:09.306,2025-11-29 21:20:45,3124.0,185.0,20.0,197.0,8.0,113.0,839.0,2025-12-01 14:07:28.000,0.16.1,32.0,34.0,nequip,conda-forge/nequip,128.0,55.0,41.0,https://pypi.org/project/nequip,2025-12-01 14:07:28.000,14.0,129545.0,129953.0,https://anaconda.org/conda-forge/nequip,2025-12-01 17:04:09.306,17571.0,1.0,,,,,,,,,,,,,,,,,,,,,
51,JAX-MD,,md,https://github.com/jax-md/jax-md,"Differentiable, Hardware Accelerated, Molecular Dynamics.",28,True,Apache-2.0,,jax-md/jax-md,https://github.com/jax-md/jax-md,2019-05-13 21:03:37,2025-11-28 01:10:28.000,2025-11-28 01:10:28,972.0,225.0,44.0,196.0,67.0,119.0,1347.0,2025-11-07 03:57:58.000,0.2.27,40.0,44.0,jax-md,,32.0,94.0,78.0,https://pypi.org/project/jax-md,2025-11-07 03:57:58.000,16.0,17238.0,17238.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
52,Matminer,,general-tool,https://github.com/hackingmaterials/matminer,Data mining for materials science.,28,False,https://github.com/hackingmaterials/matminer/blob/main/LICENSE,,hackingmaterials/matminer,https://github.com/hackingmaterials/matminer,2015-09-24 20:37:00,2025-12-15 08:07:38.000,2024-10-11 14:20:38,4174.0,208.0,24.0,729.0,31.0,200.0,565.0,2024-10-06 12:46:05.000,0.9.3,72.0,56.0,matminer,conda-forge/matminer,,529.0,447.0,https://pypi.org/project/matminer,2024-10-06 12:46:05.000,82.0,153429.0,155105.0,https://anaconda.org/conda-forge/matminer,2025-04-22 14:57:14.656,103960.0,1.0,,,,,,,,,,,,,,,,,,,,,
53,TorchANI,,ml-iap,https://github.com/aiqm/torchani,"TorchANI 2.0 is an open-source library that supports training, development, and research of ANI-style neural network..",28,True,MIT,,aiqm/torchani,https://github.com/aiqm/torchani,2018-04-02 15:43:04,2025-12-15 23:03:11.000,2025-12-15 23:03:06,1049.0,137.0,24.0,500.0,8.0,173.0,533.0,2025-11-17 05:33:00.000,2.7.9,31.0,22.0,torchani,conda-forge/torchani,59.0,83.0,68.0,https://pypi.org/project/torchani,2025-11-17 05:33:00.000,15.0,8395.0,25514.0,https://anaconda.org/conda-forge/torchani,2025-04-22 14:57:33.391,1095641.0,1.0,,,,,,,,,,,,,,,,,,,,,
54,SchNetPack,,rep-learn,https://github.com/atomistic-machine-learning/schnetpack,SchNetPack - Deep Neural Networks for Atomistic Systems.,27,True,MIT,,atomistic-machine-learning/schnetpack,https://github.com/atomistic-machine-learning/schnetpack,2018-09-03 15:44:35,2025-12-18 14:07:32.000,2025-09-05 10:54:47,1816.0,239.0,27.0,491.0,6.0,277.0,894.0,2024-09-05 11:35:29.000,2.1.1,12.0,41.0,schnetpack,,,110.0,106.0,https://pypi.org/project/schnetpack,2024-09-05 11:35:29.000,4.0,10534.0,10534.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
55,MatGL (Materials Graph Library),,rep-learn,https://github.com/materialyzeai/matgl,Graph deep learning library for materials.,27,True,BSD-3-Clause,"['ml-iap', 'pretrained', 'multifidelity']",materialsvirtuallab/matgl,https://github.com/materialyzeai/matgl,2022-08-29 18:36:05,2025-12-14 01:46:56.000,2025-12-14 01:37:35,1531.0,102.0,9.0,517.0,4.0,142.0,489.0,2025-12-14 01:38:01.000,2.0.6,45.0,23.0,matgl,,87.0,109.0,79.0,https://pypi.org/project/matgl,2025-12-14 01:46:56.000,30.0,23223.0,23226.0,,,,1.0,materialsvirtuallab/matgl,https://hub.docker.com/r/materialsvirtuallab/matgl,2025-04-08 02:41:39.642894,1.0,138.0,materialyzeai/matgl,,,,,,,,,,,,,,,
56,cdk,,rep-eng,https://github.com/cdk/cdk,The Chemistry Development Kit.,26,True,LGPL-2.1,"['cheminformatics', 'lang-java']",cdk/cdk,https://github.com/cdk/cdk,2010-05-11 08:30:07,2025-12-07 14:53:38.000,2025-12-07 14:53:38,18157.0,171.0,39.0,924.0,32.0,293.0,559.0,2025-03-29 08:49:54.000,cdk-2.11,22.0,169.0,,,43.0,18.0,,,,,,306.0,,,,1.0,,,,,,,41380.0,org.openscience.cdk:cdk-bundle,https://search.maven.org/artifact/org.openscience.cdk/cdk-bundle,2025-03-29 08:42:06,18.0,,,,,,,,,,
57,dpdata,,data-structures,https://github.com/deepmodeling/dpdata,A Python package for manipulating atomistic data of software in computational science.,26,True,LGPL-3.0,,deepmodeling/dpdata,https://github.com/deepmodeling/dpdata,2019-04-12 13:24:23,2025-12-16 10:01:14.000,2025-12-16 10:01:12,883.0,152.0,5.0,638.0,50.0,102.0,238.0,2025-10-21 07:56:34.000,1.0.0,53.0,67.0,dpdata,deepmodeling/dpdata,18.0,191.0,149.0,https://pypi.org/project/dpdata,2025-10-21 07:56:34.000,42.0,28806.0,28813.0,https://anaconda.org/deepmodeling/dpdata,2025-03-25 16:24:58.046,364.0,1.0,,,,,,,,,,,,,,,,,,,,,
58,Crystal Toolkit,,visualization,https://github.com/materialsproject/crystaltoolkit,Crystal Toolkit is a framework for building web apps for materials science and is currently powering the new Materials..,26,True,MIT,,materialsproject/crystaltoolkit,https://github.com/materialsproject/crystaltoolkit,2017-07-25 21:06:36,2025-12-17 00:13:59.000,2025-12-01 20:04:06,3373.0,64.0,7.0,362.0,85.0,81.0,184.0,2025-12-17 00:11:53.000,2025.12.16,74.0,35.0,crystal-toolkit,,49.0,55.0,43.0,https://pypi.org/project/crystal-toolkit,2025-12-17 00:13:59.000,12.0,4796.0,4796.0,,,,1.0,,,,,,,,,,,,3.0,,,,,,,,,
59,SMACT,,materials-discovery,https://github.com/WMD-group/SMACT,Python package to aid materials design and informatics.,26,True,MIT,"['htc', 'structure-prediction', 'electrostatics']",WMD-group/SMACT,https://github.com/WMD-group/SMACT,2013-11-04 17:12:56,2025-12-01 20:46:28.000,2025-11-11 15:49:33,1942.0,28.0,21.0,407.0,6.0,57.0,128.0,2025-07-31 09:59:15.000,3.2.0,30.0,45.0,smact,conda-forge/smact,18.0,77.0,68.0,https://pypi.org/project/smact,2025-07-31 09:59:15.000,9.0,9129.0,9439.0,https://anaconda.org/conda-forge/smact,2025-07-31 13:37:39.534,8387.0,1.0,,,,,,,,,,,,,,,,,,,,,
