,name,resource,category,license,homepage,description,projectrank,show,labels,github_id,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,pypi_id,conda_id,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,github_release_downloads,maven_id,maven_url,trending,updated_github_id,npm_id,npm_url,npm_monthly_downloads,gitlab_id,gitlab_url,ignore,docs_url
21,SchNetPack,,rep-learn,MIT,https://github.com/atomistic-machine-learning/schnetpack,SchNetPack - Deep Neural Networks for Atomistic Systems.,27,True,,atomistic-machine-learning/schnetpack,https://github.com/atomistic-machine-learning/schnetpack,2018-09-03 15:44:35,2023-11-29 09:56:51.000,2023-11-20 09:57:19,1597.0,42.0,188.0,31.0,370.0,1.0,217.0,668.0,2023-09-29 14:31:19,2.0.4,8.0,32.0,schnetpack,,64.0,64.0,https://pypi.org/project/schnetpack,580.0,580.0,,,,1.0,,,,,,,,,,,,,,,,,
22,paper-qa,,lm,Apache-2.0,https://github.com/whitead/paper-qa,LLM Chain for answering questions from documents with citations.,25,True,,whitead/paper-qa,https://github.com/whitead/paper-qa,2023-02-05 01:07:25,2023-11-30 07:08:09.000,2023-11-21 18:23:45,177.0,10.0,295.0,41.0,89.0,44.0,66.0,3264.0,2023-11-21 18:24:05,3.13.2,73.0,12.0,paper-qa,,39.0,39.0,https://pypi.org/project/paper-qa,2854.0,2854.0,,,,1.0,,,,,,,,,,,,,,,,,
23,cdk,,rep-eng,LGPL-2.1,https://github.com/cdk/cdk,The Chemistry Development Kit.,25,True,"['cheminformatics', 'lang-java']",cdk/cdk,https://github.com/cdk/cdk,2010-05-11 08:30:07,2023-11-28 15:36:13.000,2023-11-28 15:36:13,17429.0,17.0,148.0,39.0,761.0,25.0,237.0,445.0,2023-08-21 19:50:47,cdk-2.9,20.0,163.0,,,18.0,18.0,,,153.0,,,,1.0,,,,,,16863.0,org.openscience.cdk:cdk-bundle,https://search.maven.org/artifact/org.openscience.cdk/cdk-bundle,-1.0,,,,,,,,
24,QUIP,,general-tool,GPL-2.0,https://github.com/libAtoms/QUIP,libAtoms/QUIP molecular dynamics framework: https://libatoms.github.io.,25,True,,libAtoms/QUIP,https://github.com/libAtoms/QUIP,2013-07-02 15:21:59,2023-10-09 12:20:02.000,2023-08-29 12:01:13,10833.0,,117.0,26.0,165.0,91.0,345.0,309.0,2023-06-15 19:11:24,0.9.14,15.0,80.0,quippy-ase,,25.0,25.0,https://pypi.org/project/quippy-ase,1453.0,1538.0,,,,2.0,libatomsquip/quip,https://hub.docker.com/r/libatomsquip/quip,2023-04-24 21:25:17.345957,4.0,9857.0,347.0,,,,,,,,,,,
25,e3nn,,rep-learn,MIT,https://github.com/e3nn/e3nn,A modular framework for neural networks with Euclidean symmetry.,24,True,,e3nn/e3nn,https://github.com/e3nn/e3nn,2020-01-31 13:06:42,2023-11-03 06:14:55.000,2023-09-02 22:23:35,2157.0,1.0,111.0,18.0,204.0,16.0,131.0,797.0,2022-12-12 21:42:03,0.5.1,28.0,29.0,e3nn,conda-forge/e3nn,133.0,133.0,https://pypi.org/project/e3nn,99118.0,99721.0,https://anaconda.org/conda-forge/e3nn,2023-06-18 08:41:30.723,10860.0,1.0,,,,,,,,,,,,,,,,,
26,MAML,,general-tool,BSD-3-Clause,https://github.com/materialsvirtuallab/maml,"Python for Materials Machine Learning, Materials Descriptors, Machine Learning Force Fields, Deep Learning, etc.",24,True,,materialsvirtuallab/maml,https://github.com/materialsvirtuallab/maml,2020-01-25 15:04:21,2023-11-30 13:05:25.000,2023-11-06 19:58:55,1617.0,63.0,61.0,21.0,522.0,4.0,60.0,298.0,2023-09-09 22:24:24,2023.9.9,13.0,29.0,maml,,4.0,4.0,https://pypi.org/project/maml,218.0,218.0,,,,2.0,,,,,,,,,,,,,,,,,
27,MPContribs,,datasets,MIT,https://github.com/materialsproject/MPContribs,Platform for materials scientists to contribute and disseminate their materials data through Materials Project.,24,True,,materialsproject/MPContribs,https://github.com/materialsproject/MPContribs,2014-12-11 18:25:27,2023-11-29 22:50:51.000,2023-11-29 22:50:41,5387.0,114.0,19.0,11.0,1581.0,20.0,78.0,32.0,2023-11-28 23:05:55,5.6.2,71.0,25.0,mpcontribs-client,,27.0,27.0,https://pypi.org/project/mpcontribs-client,8833.0,8833.0,,,,1.0,,,,,,,,,,,,,,,,,
28,Best-of Machine Learning with Python,,community,CC-BY-4.0,https://github.com/ml-tooling/best-of-ml-python,A ranked list of awesome machine learning Python libraries. Updated weekly.,23,True,"['general-ml', 'lang-py']",ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,2020-11-29 19:41:36,2023-11-30 16:05:11.000,2023-11-30 16:05:10,442.0,27.0,2101.0,383.0,234.0,17.0,33.0,14690.0,2023-11-30 16:05:19,2023.11.30,100.0,44.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
29,dgl-lifesci,,rep-learn,Apache-2.0,https://github.com/awslabs/dgl-lifesci,Python package for graph neural networks in chemistry and biology.,23,True,,awslabs/dgl-lifesci,https://github.com/awslabs/dgl-lifesci,2020-04-23 07:14:21,2023-11-01 19:32:07.000,2023-04-16 03:55:52,236.0,,135.0,17.0,141.0,24.0,57.0,641.0,2023-02-13 08:45:17,0.3.2,8.0,22.0,dgllife,,142.0,142.0,https://pypi.org/project/dgllife,10202.0,10202.0,,,,1.0,,,,,,,,,,,,,,,,,
30,DP-GEN,,ml-iap,LGPL-3.0,https://github.com/deepmodeling/dpgen,The deep potential generator to generate a deep-learning based model of interatomic potential energy and force field.,23,True,['workflows'],deepmodeling/dpgen,https://github.com/deepmodeling/dpgen,2019-06-13 11:43:56,2023-11-28 05:00:21.000,2023-11-02 05:59:11,2047.0,26.0,162.0,13.0,758.0,17.0,233.0,246.0,2023-11-02 06:14:15,0.12.0,17.0,62.0,dpgen,deepmodeling/dpgen,4.0,4.0,https://pypi.org/project/dpgen,624.0,662.0,https://anaconda.org/deepmodeling/dpgen,2023-06-16 19:27:03.566,191.0,1.0,,,,,,1527.0,,,,,,,,,,,
31,dpdata,,data-structures,LGPL-3.0,https://github.com/deepmodeling/dpdata,"Manipulating multiple atomic simulation data formats, including DeePMD-kit, VASP, LAMMPS, ABACUS, etc.",23,True,,deepmodeling/dpdata,https://github.com/deepmodeling/dpdata,2019-04-12 13:24:23,2023-11-20 19:54:20.000,2023-10-31 01:50:24,666.0,24.0,107.0,8.0,405.0,10.0,66.0,150.0,2023-10-31 02:23:47,0.2.17,24.0,51.0,dpdata,deepmodeling/dpdata,109.0,109.0,https://pypi.org/project/dpdata,5343.0,5349.0,https://anaconda.org/deepmodeling/dpdata,2023-09-27 20:07:36.945,174.0,1.0,,,,,,,,,,,,,,,,,
32,kgcnn,,rep-learn,MIT,https://github.com/aimat-lab/gcnn_keras,"Graph convolutions in Keras with TensorFlow, PyTorch or Jax.",23,True,,aimat-lab/gcnn_keras,https://github.com/aimat-lab/gcnn_keras,2020-07-17 11:12:46,2023-11-30 16:16:16.000,2023-11-30 16:15:58,3014.0,231.0,25.0,7.0,30.0,8.0,73.0,89.0,2023-09-16 11:47:45,3.1.0,24.0,7.0,kgcnn,,15.0,15.0,https://pypi.org/project/kgcnn,266.0,266.0,,,,1.0,,,,,,,,,,,,,,,,,
33,AlphaFold,,biomolecules,Apache-2.0,https://github.com/google-deepmind/alphafold,Open source code for AlphaFold.,22,True,,deepmind/alphafold,https://github.com/google-deepmind/alphafold,2021-06-17 14:06:06,2023-11-17 07:17:25.000,2023-11-01 12:32:02,133.0,6.0,1903.0,213.0,89.0,185.0,581.0,11071.0,2023-04-05 09:45:53,2.3.2,13.0,19.0,,,7.0,7.0,,,,,,,1.0,,,,,,,,,,google-deepmind/alphafold,,,,,,,
34,JAX-MD,,md,Apache-2.0,https://github.com/jax-md/jax-md,"Differentiable, Hardware Accelerated, Molecular Dynamics.",22,True,,jax-md/jax-md,https://github.com/jax-md/jax-md,2019-05-13 21:03:37,2023-10-23 08:23:20.000,2023-08-29 15:10:31,838.0,,161.0,49.0,157.0,62.0,74.0,1020.0,2022-11-27 12:42:00,jax-md-v0.2.24,7.0,28.0,jax-md,,37.0,37.0,https://pypi.org/project/jax-md,1288.0,1288.0,,,,1.0,,,,,,,,,,,,,,,,,
35,DScribe,,rep-eng,Apache-2.0,https://github.com/SINGROUP/dscribe,DScribe is a python package for creating machine learning descriptors for atomistic systems.,22,True,,SINGROUP/dscribe,https://github.com/SINGROUP/dscribe,2017-05-08 08:29:51,2023-09-06 07:04:16.227,2023-09-05 18:02:57,1287.0,3.0,80.0,20.0,25.0,8.0,79.0,353.0,,,14.0,18.0,dscribe,conda-forge/dscribe,162.0,162.0,https://pypi.org/project/dscribe,8141.0,10151.0,https://anaconda.org/conda-forge/dscribe,2023-09-06 07:04:16.227,80415.0,1.0,,,,,,,,,,,,,,,,,
36,NVIDIA Deep Learning Examples for Tensor Cores,,rep-learn,https://github.com/NVIDIA/DeepLearningExamples/blob/master/DGLPyTorch/DrugDiscovery/SE3Transformer/LICENSE,https://github.com/NVIDIA/DeepLearningExamples#graph-neural-networks,State-of-the-Art Deep Learning scripts organized by models - easy to train and deploy with reproducible accuracy and..,21,True,"['educational', 'drug-discovery']",NVIDIA/DeepLearningExamples,https://github.com/NVIDIA/DeepLearningExamples,2018-05-02 17:04:05,2023-11-08 13:05:42.000,2023-10-06 19:54:45,1427.0,3.0,2814.0,293.0,529.0,232.0,558.0,11776.0,,,,115.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,
37,MEGNet,,ml-iap,BSD-3-Clause,https://github.com/materialsvirtuallab/megnet,Graph Networks as a Universal Machine Learning Framework for Molecules and Crystals.,21,True,,materialsvirtuallab/megnet,https://github.com/materialsvirtuallab/megnet,2018-12-12 21:31:28,2023-04-27 02:39:17.000,2023-04-27 02:39:17,1146.0,,142.0,24.0,314.0,17.0,57.0,461.0,2022-11-16 21:24:36,1.3.2,34.0,13.0,megnet,,71.0,71.0,https://pypi.org/project/megnet,351.0,351.0,,,,1.0,,,,,,,,,,,,,,,,,
38,TorchANI,,ml-iap,MIT,https://github.com/aiqm/torchani,Accurate Neural Network Potential on PyTorch.,21,True,,aiqm/torchani,https://github.com/aiqm/torchani,2018-04-02 15:43:04,2023-11-30 14:35:04.000,2023-11-14 16:32:59,434.0,1.0,112.0,28.0,481.0,19.0,142.0,413.0,2023-11-14 16:38:04,2.2.4,24.0,17.0,torchani,conda-forge/torchani,29.0,29.0,https://pypi.org/project/torchani,2020.0,7803.0,https://anaconda.org/conda-forge/torchani,2023-11-16 16:26:58.145,225545.0,1.0,,,,,,,,,,,,,,,,,
39,DeepQMC,,ml-wft,MIT,https://github.com/deepqmc/deepqmc,Deep learning quantum Monte Carlo for electrons in real space.,21,True,,deepqmc/deepqmc,https://github.com/deepqmc/deepqmc,2019-12-06 14:50:59,2023-11-20 10:29:54.000,2023-11-20 10:29:53,1456.0,135.0,56.0,23.0,154.0,3.0,36.0,307.0,2023-11-20 10:09:02,1.1.2,10.0,13.0,deepqmc,,1.0,1.0,https://pypi.org/project/deepqmc,140.0,140.0,,,,1.0,,,,,,,,,,,,,,,,,
40,JARVIS-Tools,,general-tool,https://github.com/usnistgov/jarvis/blob/master/LICENSE.rst,https://github.com/usnistgov/jarvis,JARVIS-Tools: an open-source software package for data-driven atomistic materials design. Publications:..,21,True,,usnistgov/jarvis,https://github.com/usnistgov/jarvis,2017-06-22 19:34:02,2023-10-18 14:10:33.000,2023-09-22 00:18:02,2094.0,1.0,107.0,27.0,222.0,41.0,43.0,255.0,2023-08-11 17:26:26,2023.08.01,69.0,15.0,jarvis-tools,conda-forge/jarvis-tools,66.0,66.0,https://pypi.org/project/jarvis-tools,954.0,2551.0,https://anaconda.org/conda-forge/jarvis-tools,2023-06-16 19:23:23.093,59123.0,2.0,,,,,,,,,,,,,,,,,
41,MatGL (Materials Graph Library),,rep-learn,BSD-3-Clause,https://github.com/materialsvirtuallab/matgl,Graph deep learning library for materials.,21,True,,materialsvirtuallab/matgl,https://github.com/materialsvirtuallab/matgl,2022-08-29 18:36:05,2023-11-27 21:05:00.000,2023-11-27 21:04:36,903.0,53.0,32.0,8.0,143.0,3.0,43.0,146.0,2023-11-17 20:11:53,0.9.1,25.0,13.0,m3gnet,,17.0,17.0,https://pypi.org/project/m3gnet,553.0,553.0,,,,2.0,,,,,,,,,,,,,,,,,
42,DM21,,ml-dft,Apache-2.0,https://github.com/deepmind/deepmind-research/tree/master/density_functional_approximation_dm21,This package provides a PySCF interface to the DM21 (DeepMind 21) family of exchange-correlation functionals described..,20,True,,deepmind/deepmind-research,https://github.com/google-deepmind/deepmind-research,2019-01-15 09:54:13,2023-11-27 23:26:48.000,2023-06-02 17:04:50,369.0,,2431.0,337.0,180.0,165.0,135.0,12304.0,,,,92.0,,,,,,,,,,,1.0,,,,,,,,,,google-deepmind/deepmind-research,,,,,,,
43,NequIP,,ml-iap,MIT,https://github.com/mir-group/nequip,NequIP is a code for building E(3)-equivariant interatomic potentials.,20,True,,mir-group/nequip,https://github.com/mir-group/nequip,2021-03-15 23:44:39,2023-10-27 20:35:22.000,2023-03-26 21:37:08,1670.0,,105.0,18.0,149.0,13.0,52.0,469.0,2022-12-20 18:52:46,0.5.6,14.0,8.0,nequip,conda-forge/nequip,16.0,16.0,https://pypi.org/project/nequip,577.0,782.0,https://anaconda.org/conda-forge/nequip,2023-06-18 08:41:30.787,3695.0,1.0,,,,,,,,,,,,,,,,,
44,exmol,,xai,MIT,https://github.com/ur-whitelab/exmol,Explainer for black box models that predict molecule properties.,20,True,,ur-whitelab/exmol,https://github.com/ur-whitelab/exmol,2021-08-03 17:56:06,2023-11-27 18:45:16.000,2023-06-19 19:49:27,188.0,,40.0,9.0,76.0,10.0,57.0,259.0,2023-06-19 20:50:51,3.0.3,27.0,7.0,exmol,,14.0,14.0,https://pypi.org/project/exmol,812.0,812.0,,,,1.0,,,,,,,,,,,,,,,,,
45,CHGNet,,ml-iap,https://github.com/CederGroupHub/chgnet/blob/main/LICENSE,https://github.com/CederGroupHub/chgnet,Pretrained universal neural network potential for charge-informed atomistic modeling https://chgnet.lbl.gov.,20,True,"['md', 'pre-trained', 'electrostatics', 'magnetism', 'structure-relaxation']",CederGroupHub/chgnet,https://github.com/CederGroupHub/chgnet,2023-02-24 23:44:24,2023-11-19 04:15:36.000,2023-11-19 04:10:58,345.0,62.0,29.0,4.0,61.0,2.0,26.0,141.0,2023-11-19 04:15:36,0.3.2,10.0,7.0,chgnet,,9.0,9.0,https://pypi.org/project/chgnet,6645.0,6645.0,,,,1.0,,,,,,,,,,,,,,,,,
46,ocp,,rep-learn,MIT,https://github.com/Open-Catalyst-Project/ocp,ocp is the Open Catalyst Projects library of state-of-the-art machine learning algorithms for catalysis.,19,True,,Open-Catalyst-Project/ocp,https://github.com/Open-Catalyst-Project/ocp,2019-09-26 04:47:27,2023-11-28 00:24:43.000,2023-11-27 18:44:01,710.0,12.0,178.0,23.0,457.0,12.0,132.0,517.0,2022-10-01 03:00:41,0.1.0,4.0,32.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,
47,Pre-trained OCP models,,ml-iap,MIT,https://github.com/Open-Catalyst-Project/ocp/blob/main/MODELS.md,Pre-trained models released as part of the Open Catalyst Project.,19,True,['pre-trained'],Open-Catalyst-Project/ocp,https://github.com/Open-Catalyst-Project/ocp,2019-09-26 04:47:27,2023-11-28 00:24:43.000,2023-11-27 18:44:01,710.0,12.0,178.0,23.0,457.0,12.0,132.0,517.0,2022-10-01 03:00:41,0.1.0,4.0,32.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,
48,FLARE,,active-learning,MIT,https://github.com/mir-group/flare,An open-source Python package for creating fast and accurate interatomic potentials.,19,True,"['lang-cpp', 'ml-iap']",mir-group/flare,https://github.com/mir-group/flare,2018-08-30 23:40:56,2023-09-29 22:57:11.000,2023-05-26 02:06:09,4382.0,,59.0,18.0,185.0,23.0,164.0,253.0,2022-04-21 18:33:10,0.2.4,5.0,37.0,,,10.0,10.0,,,0.0,,,,1.0,,,,,,2.0,,,,,,,,,,,
49,FitSNAP,,md,GPL-2.0,https://github.com/FitSNAP/FitSNAP,Software for generating SNAP machine-learning interatomic potentials.,19,True,,FitSNAP/FitSNAP,https://github.com/FitSNAP/FitSNAP,2019-09-12 14:46:18,2023-11-07 18:49:16.000,2023-11-04 02:17:28,1366.0,62.0,45.0,7.0,174.0,8.0,55.0,125.0,2023-06-28 16:00:48,3.1.0,7.0,24.0,,conda-forge/fitsnap3,,,,,144.0,https://anaconda.org/conda-forge/fitsnap3,2023-06-16 00:19:04.615,5149.0,2.0,,,,,,7.0,,,,,,,,,,,
50,Metatensor,,data-structures,BSD-3-Clause,https://github.com/lab-cosmo/metatensor,Self-describing sparse tensor data format for atomistic machine learning and beyond.,19,True,,lab-cosmo/metatensor,https://github.com/lab-cosmo/metatensor,2022-03-01 15:58:28,2023-11-30 14:56:19.000,2023-11-30 14:51:44,461.0,87.0,11.0,17.0,305.0,41.0,80.0,29.0,2023-10-11 15:57:13,metatensor-torch-v0.1.0,13.0,17.0,,,6.0,6.0,,,2140.0,,,,3.0,,,,,,2140.0,,,,,,,,,,,
51,Graph-based Deep Learning Literature,,community,MIT,https://github.com/naganandy/graph-based-deep-learning-literature,links to conference publications in graph-based deep learning.,18,True,"['general-ml', 'rep-learn']",naganandy/graph-based-deep-learning-literature,https://github.com/naganandy/graph-based-deep-learning-literature,2017-12-01 14:48:35,2023-11-19 05:55:34.000,2023-11-19 05:55:28,7632.0,10.0,724.0,242.0,21.0,,13.0,4445.0,,,,12.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,
52,Open Catalyst datasets,,datasets,CC-BY-4.0,https://github.com/Open-Catalyst-Project/ocp/blob/main/DATASET.md,"The datasets of the Open Catalyst project, OC20, OC22.",18,True,,Open-Catalyst-Project/ocp,https://github.com/Open-Catalyst-Project/ocp,2019-09-26 04:47:27,2023-11-28 00:24:43.000,2023-11-27 18:44:01,710.0,12.0,178.0,23.0,457.0,12.0,132.0,517.0,2022-10-01 03:00:41,0.1.0,4.0,32.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
53,MACE,,ml-iap,MIT,https://github.com/ACEsuit/mace,MACE - Fast and accurate machine learning interatomic potentials with higher order equivariant message passing.,18,True,,ACEsuit/mace,https://github.com/ACEsuit/mace,2022-06-21 18:44:34,2023-11-30 15:19:54.000,2023-11-30 15:19:54,371.0,68.0,77.0,18.0,98.0,18.0,86.0,217.0,2023-11-09 17:28:57,0.3.0,2.0,16.0,,,,,,,,,,,2.0,,,,,,,,,4.0,,,,,,,,
