,name,resource,category,license,homepage,description,projectrank,show,labels,github_id,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,pypi_id,conda_id,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,github_release_downloads,maven_id,maven_url,updated_github_id,npm_id,npm_url,npm_monthly_downloads,gitlab_id,gitlab_url,ignore,docs_url
24,DeePMD-kit,,ml-iap,LGPL-3.0,https://github.com/deepmodeling/deepmd-kit,A deep learning package for many-body potential energy representation and molecular dynamics.,27,True,['lang-cpp'],deepmodeling/deepmd-kit,https://github.com/deepmodeling/deepmd-kit,2017-12-12 15:23:44,2024-07-23 09:31:26.000000,2024-07-06 15:29:41,2533.0,32.0,470.0,47.0,1963.0,75.0,655.0,1415.0,2024-07-03 19:22:15,2.2.11,47.0,69.0,deepmd-kit,deepmodeling/deepmd-kit,16.0,16.0,https://pypi.org/project/deepmd-kit,1789.0,2506.0,https://anaconda.org/deepmodeling/deepmd-kit,2024-04-06 21:22:08.456,1165.0,1.0,deepmodeling/deepmd-kit,https://hub.docker.com/r/deepmodeling/deepmd-kit,2024-07-08 00:57:50.413976,1.0,2611.0,,37227.0,,,,,,,,,,
25,e3nn,,rep-learn,MIT,https://github.com/e3nn/e3nn,A modular framework for neural networks with Euclidean symmetry.,27,True,,e3nn/e3nn,https://github.com/e3nn/e3nn,2020-01-31 13:06:42,2024-07-22 23:32:31.000000,2024-07-18 18:43:30,2166.0,5.0,132.0,20.0,217.0,18.0,133.0,907.0,2022-12-12 21:42:03,0.5.1,28.0,31.0,e3nn,conda-forge/e3nn,273.0,273.0,https://pypi.org/project/e3nn,483204.0,483932.0,https://anaconda.org/conda-forge/e3nn,2023-06-18 08:41:30.723,18940.0,1.0,,,,,,1.0,,,,,,,,,,,
26,Matminer,,general-tool,https://github.com/hackingmaterials/matminer/blob/main/LICENSE,https://github.com/hackingmaterials/matminer,Data mining for materials science.,27,True,,hackingmaterials/matminer,https://github.com/hackingmaterials/matminer,2015-09-24 20:37:00,2024-07-22 08:06:11.000000,2024-05-27 09:46:52,4156.0,1.0,183.0,29.0,719.0,23.0,197.0,450.0,2024-03-27 14:45:47,0.9.2,68.0,54.0,matminer,conda-forge/matminer,300.0,300.0,https://pypi.org/project/matminer,10255.0,11700.0,https://anaconda.org/conda-forge/matminer,2024-03-28 11:24:38.014,65052.0,1.0,,,,,,-1.0,,,,,,,,,,,
27,paper-qa,,language-models,Apache-2.0,https://github.com/whitead/paper-qa,LLM Chain for answering questions from documents with citations.,26,True,,whitead/paper-qa,https://github.com/whitead/paper-qa,2023-02-05 01:07:25,2024-07-19 19:47:56.000000,2024-06-28 07:25:47,246.0,19.0,350.0,40.0,147.0,68.0,72.0,3797.0,2024-06-28 07:40:54,4.9.0,100.0,17.0,paper-qa,,64.0,64.0,https://pypi.org/project/paper-qa,4986.0,4986.0,,,,1.0,,,,,,,,,,,,,,,,,
28,SchNetPack,,rep-learn,MIT,https://github.com/atomistic-machine-learning/schnetpack,SchNetPack - Deep Neural Networks for Atomistic Systems.,26,True,,atomistic-machine-learning/schnetpack,https://github.com/atomistic-machine-learning/schnetpack,2018-09-03 15:44:35,2024-07-22 08:08:54.000000,2024-07-22 08:08:49,1675.0,21.0,204.0,33.0,405.0,2.0,241.0,754.0,2023-09-29 14:31:19,2.0.4,8.0,35.0,schnetpack,,83.0,83.0,https://pypi.org/project/schnetpack,940.0,940.0,,,,1.0,,,,,,,,,,,,,,,,,
29,JAX-DFT,,ml-dft,Apache-2.0,https://github.com/google-research/google-research/tree/master/jax_dft,This library provides basic building blocks that can construct DFT calculations as a differentiable program.,25,True,,google-research/google-research,https://github.com/google-research/google-research,2018-10-04 18:42:48,2024-07-22 21:35:41.000000,2024-07-22 21:35:37,4582.0,105.0,7699.0,748.0,827.0,905.0,321.0,33484.0,,,,792.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
30,QUIP,,general-tool,GPL-2.0,https://github.com/libAtoms/QUIP,libAtoms/QUIP molecular dynamics framework: https://libatoms.github.io.,25,True,"['md', 'ml-iap', 'rep-eng', 'lang-fortran']",libAtoms/QUIP,https://github.com/libAtoms/QUIP,2013-07-02 15:21:59,2024-07-19 14:35:23.000000,2024-07-19 14:26:59,10861.0,22.0,125.0,27.0,174.0,101.0,357.0,346.0,2023-06-15 19:11:24,0.9.14,15.0,84.0,quippy-ase,,38.0,38.0,https://pypi.org/project/quippy-ase,3075.0,3158.0,,,,2.0,libatomsquip/quip,https://hub.docker.com/r/libatomsquip/quip,2023-04-24 21:25:17.345957,4.0,9900.0,,510.0,,,,,,,,,,
31,OPTIMADE Python tools,,datasets,MIT,https://github.com/Materials-Consortia/optimade-python-tools,Tools for implementing and consuming OPTIMADE APIs in Python.,25,True,,Materials-Consortia/optimade-python-tools,https://github.com/Materials-Consortia/optimade-python-tools,2018-06-05 21:00:07,2024-07-22 10:26:33.000000,2024-07-22 10:26:32,1638.0,32.0,41.0,8.0,1684.0,87.0,348.0,64.0,2024-07-20 12:06:05,1.1.1,86.0,28.0,optimade,conda-forge/optimade,42.0,42.0,https://pypi.org/project/optimade,8503.0,10344.0,https://anaconda.org/conda-forge/optimade,2024-07-20 16:43:01.881,81023.0,1.0,,,,,,,,,,,,,,,,,
32,JAX-MD,,md,Apache-2.0,https://github.com/jax-md/jax-md,"Differentiable, Hardware Accelerated, Molecular Dynamics.",24,True,,jax-md/jax-md,https://github.com/jax-md/jax-md,2019-05-13 21:03:37,2024-07-21 11:01:36.000000,2024-07-19 22:59:13,872.0,9.0,180.0,48.0,167.0,69.0,79.0,1133.0,2022-11-27 12:42:00,jax-md-v0.2.24,7.0,32.0,jax-md,,53.0,53.0,https://pypi.org/project/jax-md,2793.0,2793.0,,,,1.0,,,,,,,,,,,,,,,,,
33,NequIP,,ml-iap,MIT,https://github.com/mir-group/nequip,NequIP is a code for building E(3)-equivariant interatomic potentials.,24,True,,mir-group/nequip,https://github.com/mir-group/nequip,2021-03-15 23:44:39,2024-07-20 22:06:17.000000,2024-07-09 15:58:45,1873.0,42.0,123.0,23.0,160.0,21.0,66.0,569.0,2024-07-09 16:05:06,0.6.1,16.0,11.0,nequip,conda-forge/nequip,19.0,19.0,https://pypi.org/project/nequip,2835.0,3027.0,https://anaconda.org/conda-forge/nequip,2024-07-10 05:13:00.157,5010.0,1.0,,,,,,,,,,,,,,,,,
34,cdk,,rep-eng,LGPL-2.1,https://github.com/cdk/cdk,The Chemistry Development Kit.,24,True,"['cheminformatics', 'lang-java']",cdk/cdk,https://github.com/cdk/cdk,2010-05-11 08:30:07,2024-07-20 13:14:47.000000,2024-07-16 17:31:12,17630.0,57.0,153.0,41.0,809.0,31.0,253.0,480.0,2023-08-21 19:50:47,cdk-2.9,20.0,165.0,,,,,,,177.0,,,,1.0,,,,,,,20889.0,org.openscience.cdk:cdk-bundle,https://search.maven.org/artifact/org.openscience.cdk/cdk-bundle,,,,,,,,
35,MAML,,general-tool,BSD-3-Clause,https://github.com/materialsvirtuallab/maml,"Python for Materials Machine Learning, Materials Descriptors, Machine Learning Force Fields, Deep Learning, etc.",24,True,,materialsvirtuallab/maml,https://github.com/materialsvirtuallab/maml,2020-01-25 15:04:21,2024-07-19 13:03:42.000000,2024-07-03 18:08:37,1747.0,69.0,73.0,21.0,575.0,7.0,61.0,342.0,2024-06-13 15:24:45,2024.6.13,14.0,32.0,maml,,9.0,9.0,https://pypi.org/project/maml,248.0,248.0,,,,2.0,,,,,,,,,,,,,,,,,
36,JARVIS-Tools,,general-tool,https://github.com/usnistgov/jarvis/blob/master/LICENSE.rst,https://github.com/usnistgov/jarvis,JARVIS-Tools: an open-source software package for data-driven atomistic materials design. Publications:..,24,True,,usnistgov/jarvis,https://github.com/usnistgov/jarvis,2017-06-22 19:34:02,2024-07-19 13:32:40.000000,2024-06-28 03:35:23,2106.0,3.0,119.0,26.0,235.0,44.0,45.0,285.0,2024-06-28 03:36:55,2024.5.10,75.0,15.0,jarvis-tools,conda-forge/jarvis-tools,92.0,92.0,https://pypi.org/project/jarvis-tools,15740.0,17321.0,https://anaconda.org/conda-forge/jarvis-tools,2024-06-28 03:50:37.135,71155.0,2.0,,,,,,,,,,,,,,,,,
37,dpdata,,data-structures,LGPL-3.0,https://github.com/deepmodeling/dpdata,"Manipulating multiple atomic simulation data formats, including DeePMD-kit, VASP, LAMMPS, ABACUS, etc.",24,True,,deepmodeling/dpdata,https://github.com/deepmodeling/dpdata,2019-04-12 13:24:23,2024-07-23 03:19:58.000000,2024-06-06 00:03:38,724.0,17.0,122.0,9.0,472.0,17.0,77.0,191.0,2024-06-06 00:06:28,0.2.19,26.0,60.0,dpdata,deepmodeling/dpdata,121.0,121.0,https://pypi.org/project/dpdata,45172.0,45178.0,https://anaconda.org/deepmodeling/dpdata,2023-09-27 20:07:36.945,214.0,1.0,,,,,,,,,,,,,,,,,
38,dgl-lifesci,,rep-learn,Apache-2.0,https://github.com/awslabs/dgl-lifesci,Python package for graph neural networks in chemistry and biology.,23,False,,awslabs/dgl-lifesci,https://github.com/awslabs/dgl-lifesci,2020-04-23 07:14:21,2023-11-01 19:32:07.000000,2023-04-16 03:55:52,236.0,,140.0,17.0,141.0,26.0,57.0,698.0,2023-02-13 08:45:17,0.3.2,8.0,22.0,dgllife,,221.0,221.0,https://pypi.org/project/dgllife,15885.0,15885.0,,,,1.0,,,,,,,,,,,,,,,,,
39,Best-of Machine Learning with Python,,community,CC-BY-4.0,https://github.com/ml-tooling/best-of-ml-python,A ranked list of awesome machine learning Python libraries. Updated weekly.,22,True,"['general-ml', 'lang-py']",ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,2020-11-29 19:41:36,2024-07-22 15:36:22.000000,2024-07-22 15:36:22,496.0,15.0,2252.0,405.0,266.0,19.0,34.0,16085.0,2024-06-06 15:57:10,2024.06.06,100.0,46.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
40,AlphaFold,,biomolecules,Apache-2.0,https://github.com/google-deepmind/alphafold,Open source code for AlphaFold.,22,True,,deepmind/alphafold,https://github.com/google-deepmind/alphafold,2021-06-17 14:06:06,2024-06-27 04:19:33.000000,2024-05-08 14:04:54,143.0,1.0,2078.0,225.0,104.0,242.0,598.0,12151.0,2023-04-05 09:45:53,2.3.2,13.0,20.0,,,14.0,14.0,,,,,,,1.0,,,,,,,,,,google-deepmind/alphafold,,,,,,,
41,MEGNet,,ml-iap,BSD-3-Clause,https://github.com/materialsvirtuallab/megnet,Graph Networks as a Universal Machine Learning Framework for Molecules and Crystals.,22,False,,materialsvirtuallab/megnet,https://github.com/materialsvirtuallab/megnet,2018-12-12 21:31:28,2023-04-27 02:39:17.000000,2023-04-27 02:39:17,1146.0,,152.0,25.0,314.0,17.0,57.0,493.0,2022-11-16 21:24:36,1.3.2,34.0,14.0,megnet,,79.0,79.0,https://pypi.org/project/megnet,466.0,466.0,,,,1.0,,,,,,,,,,,,,,,,,
42,TorchANI,,ml-iap,MIT,https://github.com/aiqm/torchani,Accurate Neural Network Potential on PyTorch.,22,True,,aiqm/torchani,https://github.com/aiqm/torchani,2018-04-02 15:43:04,2024-07-19 17:54:52.000000,2023-11-14 16:32:59,434.0,,123.0,31.0,483.0,23.0,144.0,446.0,2023-11-14 16:38:04,2.2.4,24.0,17.0,torchani,conda-forge/torchani,39.0,39.0,https://pypi.org/project/torchani,4781.0,12717.0,https://anaconda.org/conda-forge/torchani,2024-05-31 06:36:10.067,373021.0,1.0,,,,,,,,,,,,,,,,,
43,MACE,,ml-iap,MIT,https://github.com/ACEsuit/mace,MACE - Fast and accurate machine learning interatomic potentials with higher order equivariant message passing.,22,True,,ACEsuit/mace,https://github.com/ACEsuit/mace,2022-06-21 18:44:34,2024-07-21 09:02:01.000000,2024-07-16 10:53:57,689.0,73.0,164.0,25.0,209.0,45.0,165.0,428.0,2024-07-16 10:55:30,0.3.6,7.0,34.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
44,GPUMD,,ml-iap,GPL-3.0,https://github.com/brucefan1983/GPUMD,GPUMD is a highly efficient general-purpose molecular dynamic (MD) package and enables machine-learned potentials..,22,True,"['md', 'lang-cpp', 'electrostatics']",brucefan1983/GPUMD,https://github.com/brucefan1983/GPUMD,2017-07-14 15:32:56,2024-07-18 15:00:50.000000,2024-07-09 12:34:36,3887.0,192.0,110.0,28.0,493.0,18.0,155.0,419.0,2024-05-15 13:24:38,3.9.4,41.0,29.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
45,DScribe,,rep-eng,Apache-2.0,https://github.com/SINGROUP/dscribe,DScribe is a python package for creating machine learning descriptors for atomistic systems.,22,True,,SINGROUP/dscribe,https://github.com/SINGROUP/dscribe,2017-05-08 08:29:51,2024-05-28 23:16:49.298000,2024-05-28 18:24:28,1288.0,1.0,86.0,20.0,27.0,7.0,91.0,386.0,,,15.0,18.0,dscribe,conda-forge/dscribe,190.0,190.0,https://pypi.org/project/dscribe,358462.0,360814.0,https://anaconda.org/conda-forge/dscribe,2024-05-28 23:16:49.298,112927.0,1.0,,,,,,,,,,,,,,,,,
46,TorchMD-NET,,ml-iap,MIT,https://github.com/torchmd/torchmd-net,Training neural network potentials.,22,True,"['md', 'rep-learn', 'transformer', 'pre-trained']",torchmd/torchmd-net,https://github.com/torchmd/torchmd-net,2021-04-09 16:16:32,2024-07-22 10:31:36.000000,2024-07-09 09:07:38,1210.0,36.0,69.0,11.0,229.0,21.0,83.0,300.0,2024-07-09 09:20:46,2.3.0,25.0,16.0,,conda-forge/torchmd-net,,,,,9475.0,https://anaconda.org/conda-forge/torchmd-net,2024-07-09 18:53:56.674,85283.0,1.0,,,,,,,,,,,,,,,,,
47,DP-GEN,,ml-iap,LGPL-3.0,https://github.com/deepmodeling/dpgen,The deep potential generator to generate a deep-learning based model of interatomic potential energy and force field.,22,True,['workflows'],deepmodeling/dpgen,https://github.com/deepmodeling/dpgen,2019-06-13 11:43:56,2024-07-23 03:19:47.000000,2024-04-10 06:31:36,2083.0,,167.0,13.0,829.0,29.0,259.0,290.0,2024-04-10 06:37:07,0.12.1,18.0,64.0,dpgen,deepmodeling/dpgen,6.0,6.0,https://pypi.org/project/dpgen,455.0,491.0,https://anaconda.org/deepmodeling/dpgen,2023-06-16 19:27:03.566,200.0,1.0,,,,,,,1739.0,,,,,,,,,,
48,MatGL (Materials Graph Library),,rep-learn,BSD-3-Clause,https://github.com/materialsvirtuallab/matgl,Graph deep learning library for materials.,22,True,,materialsvirtuallab/matgl,https://github.com/materialsvirtuallab/matgl,2022-08-29 18:36:05,2024-07-21 01:23:47.000000,2024-07-21 01:23:47,992.0,49.0,58.0,13.0,193.0,2.0,79.0,240.0,2024-06-07 15:17:06,1.1.2,30.0,17.0,m3gnet,,42.0,42.0,https://pypi.org/project/m3gnet,668.0,668.0,,,,1.0,,,,,,,,,,,,,,,,,
49,CHGNet,,ml-iap,https://github.com/CederGroupHub/chgnet/blob/main/LICENSE,https://github.com/CederGroupHub/chgnet,Pretrained universal neural network potential for charge-informed atomistic modeling https://chgnet.lbl.gov.,22,True,"['md', 'pre-trained', 'electrostatics', 'magnetism', 'structure-relaxation']",CederGroupHub/chgnet,https://github.com/CederGroupHub/chgnet,2023-02-24 23:44:24,2024-07-07 18:20:39.000000,2024-07-07 18:20:38,409.0,18.0,55.0,5.0,88.0,3.0,47.0,215.0,2024-06-05 16:28:25,0.3.8,16.0,7.0,chgnet,,25.0,25.0,https://pypi.org/project/chgnet,21149.0,21149.0,,,,1.0,,,,,,,,,,,,,,,,,
50,MPContribs,,datasets,MIT,https://github.com/materialsproject/MPContribs,Platform for materials scientists to contribute and disseminate their materials data through Materials Project.,22,True,,materialsproject/MPContribs,https://github.com/materialsproject/MPContribs,2014-12-11 18:25:27,2024-07-22 15:31:36.000000,2024-06-20 22:49:45,5562.0,36.0,19.0,10.0,1699.0,20.0,78.0,34.0,2024-06-20 22:37:13,5.8.4,78.0,25.0,mpcontribs-client,,38.0,38.0,https://pypi.org/project/mpcontribs-client,1942.0,1942.0,,,,1.0,,,,,,,,,,,,,,,,,
51,NVIDIA Deep Learning Examples for Tensor Cores,,rep-learn,https://github.com/NVIDIA/DeepLearningExamples/blob/master/DGLPyTorch/DrugDiscovery/SE3Transformer/LICENSE,https://github.com/NVIDIA/DeepLearningExamples#graph-neural-networks,State-of-the-Art Deep Learning scripts organized by models - easy to train and deploy with reproducible accuracy and..,21,True,"['educational', 'drug-discovery']",NVIDIA/DeepLearningExamples,https://github.com/NVIDIA/DeepLearningExamples,2018-05-02 17:04:05,2024-06-01 14:16:54.000000,2024-04-04 13:37:56,1437.0,,3006.0,301.0,537.0,256.0,570.0,13033.0,,,,115.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,
52,DIG: Dive into Graphs,,rep-learn,GPL-3.0,https://github.com/divelab/DIG,A library for graph deep learning research.,21,True,,divelab/DIG,https://github.com/divelab/DIG,2020-10-30 03:51:15,2024-07-15 07:18:56.000000,2024-02-04 20:37:53,1083.0,,278.0,29.0,41.0,31.0,176.0,1818.0,2023-04-07 20:33:15,1.1.0,10.0,50.0,dive-into-graphs,,,,https://pypi.org/project/dive-into-graphs,608.0,608.0,,,,2.0,,,,,,,,,,,,,,,,,
53,FAIR Chemistry datasets,,datasets,MIT,https://github.com/FAIR-Chem/fairchem,"Datasets OC20, OC22, etc. Formerly known as Open Catalyst Project.",21,True,['catalysis'],FAIR-Chem/fairchem,https://github.com/FAIR-Chem/fairchem,2019-09-26 04:47:27,2024-07-23 01:50:02.000000,2024-07-22 18:46:23,801.0,71.0,229.0,25.0,590.0,5.0,184.0,729.0,2024-05-16 17:04:22,fairchem_core-1.0.0,6.0,40.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
54,Metatensor,,data-structures,BSD-3-Clause,https://github.com/lab-cosmo/metatensor,Self-describing sparse tensor data format for atomistic machine learning and beyond.,21,True,"['lang-rust', 'lang-c', 'lang-cpp', 'lang-py']",lab-cosmo/metatensor,https://github.com/lab-cosmo/metatensor,2022-03-01 15:58:28,2024-07-23 09:20:32.000000,2024-07-22 09:02:25,764.0,100.0,13.0,19.0,506.0,67.0,125.0,45.0,2024-07-15 12:55:26,metatensor-torch-v0.5.3,38.0,21.0,,,11.0,11.0,,,2622.0,,,,2.0,,,,,,,23602.0,,,,,,,,,,
55,DM21,,ml-dft,Apache-2.0,https://github.com/deepmind/deepmind-research/tree/master/density_functional_approximation_dm21,This package provides a PySCF interface to the DM21 (DeepMind 21) family of exchange-correlation functionals described..,20,False,,deepmind/deepmind-research,https://github.com/google-deepmind/deepmind-research,2019-01-15 09:54:13,2024-07-15 16:32:48.000000,2023-06-02 17:04:50,369.0,,2525.0,328.0,221.0,177.0,136.0,12974.0,,,,92.0,,,,,,,,,,,1.0,,,,,,,,,,google-deepmind/deepmind-research,,,,,,,
