,name,resource,category,license,homepage,description,projectrank,show,labels,github_id,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,pypi_id,conda_id,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,github_release_downloads,updated_github_id,maven_id,maven_url,npm_id,npm_url,npm_monthly_downloads,trending,new_addition,gitlab_id,gitlab_url,ignore,docs_url
24,Matminer,,general-tool,https://github.com/hackingmaterials/matminer/blob/main/LICENSE,https://github.com/hackingmaterials/matminer,Data mining for materials science.,29,True,,hackingmaterials/matminer,https://github.com/hackingmaterials/matminer,2015-09-24 20:37:00,2024-06-10 08:05:56.000,2024-05-27 09:46:52,4156.0,30.0,182.0,29.0,719.0,23.0,197.0,443.0,2024-03-27 14:45:47,0.9.2,68.0,54.0,matminer,conda-forge/matminer,292.0,292.0,https://pypi.org/project/matminer,11265.0,12678.0,https://anaconda.org/conda-forge/matminer,2024-03-28 11:24:38.014,62176.0,1.0,,,,,,,,,,,,,,,,,,
25,DeePMD-kit,,ml-iap,LGPL-3.0,https://github.com/deepmodeling/deepmd-kit,A deep learning package for many-body potential energy representation and molecular dynamics.,27,True,['lang-cpp'],deepmodeling/deepmd-kit,https://github.com/deepmodeling/deepmd-kit,2017-12-12 15:23:44,2024-06-14 10:09:18.000,2024-04-06 18:46:23,2501.0,42.0,470.0,47.0,1894.0,69.0,630.0,1396.0,2024-04-06 19:28:14,2.2.10,44.0,68.0,deepmd-kit,deepmodeling/deepmd-kit,15.0,15.0,https://pypi.org/project/deepmd-kit,986.0,1712.0,https://anaconda.org/deepmodeling/deepmd-kit,2024-04-06 21:22:08.456,1067.0,1.0,deepmodeling/deepmd-kit,https://hub.docker.com/r/deepmodeling/deepmd-kit,2024-03-04 00:17:27.208639,1.0,2300.0,37304.0,,,,,,,,,,,,
26,paper-qa,,language-models,Apache-2.0,https://github.com/whitead/paper-qa,LLM Chain for answering questions from documents with citations.,26,True,,whitead/paper-qa,https://github.com/whitead/paper-qa,2023-02-05 01:07:25,2024-06-09 20:44:36.000,2024-06-06 21:33:45,236.0,20.0,341.0,41.0,135.0,63.0,70.0,3727.0,2024-06-06 21:34:11,4.7.0,100.0,17.0,paper-qa,,57.0,57.0,https://pypi.org/project/paper-qa,4130.0,4130.0,,,,1.0,,,,,,,,,,,,,,,,,,
27,JAX-DFT,,ml-dft,Apache-2.0,https://github.com/google-research/google-research/tree/master/jax_dft,This library provides basic building blocks that can construct DFT calculations as a differentiable program.,25,True,,google-research/google-research,https://github.com/google-research/google-research,2018-10-04 18:42:48,2024-06-13 22:07:24.000,2024-06-13 22:07:18,4547.0,103.0,7665.0,750.0,819.0,880.0,317.0,33221.0,,,,782.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
28,e3nn,,rep-learn,MIT,https://github.com/e3nn/e3nn,A modular framework for neural networks with Euclidean symmetry.,25,True,,e3nn/e3nn,https://github.com/e3nn/e3nn,2020-01-31 13:06:42,2024-06-13 17:13:35.000,2024-06-13 17:13:35,2162.0,1.0,128.0,19.0,210.0,18.0,132.0,889.0,2022-12-12 21:42:03,0.5.1,28.0,31.0,e3nn,conda-forge/e3nn,250.0,250.0,https://pypi.org/project/e3nn,233860.0,234543.0,https://anaconda.org/conda-forge/e3nn,2023-06-18 08:41:30.723,17077.0,1.0,,,,,,,,,,,,,,,,,,
29,SchNetPack,,rep-learn,MIT,https://github.com/atomistic-machine-learning/schnetpack,SchNetPack - Deep Neural Networks for Atomistic Systems.,25,True,,atomistic-machine-learning/schnetpack,https://github.com/atomistic-machine-learning/schnetpack,2018-09-03 15:44:35,2024-05-16 12:32:34.000,2024-04-19 17:41:11,1654.0,4.0,203.0,32.0,397.0,2.0,236.0,743.0,2023-09-29 14:31:19,2.0.4,8.0,35.0,schnetpack,,78.0,78.0,https://pypi.org/project/schnetpack,994.0,994.0,,,,1.0,,,,,,,,,,,,,,,,,,
30,JARVIS-Tools,,general-tool,https://github.com/usnistgov/jarvis/blob/master/LICENSE.rst,https://github.com/usnistgov/jarvis,JARVIS-Tools: an open-source software package for data-driven atomistic materials design. Publications:..,25,True,,usnistgov/jarvis,https://github.com/usnistgov/jarvis,2017-06-22 19:34:02,2024-06-13 15:29:13.000,2024-05-04 22:11:36,2105.0,10.0,118.0,27.0,234.0,44.0,44.0,282.0,2024-05-04 22:12:51,2024.4.30,74.0,15.0,jarvis-tools,conda-forge/jarvis-tools,86.0,86.0,https://pypi.org/project/jarvis-tools,20913.0,22441.0,https://anaconda.org/conda-forge/jarvis-tools,2024-05-04 16:16:53.070,67236.0,2.0,,,,,,,,,,,,,,,,,,
31,JAX-MD,,md,Apache-2.0,https://github.com/jax-md/jax-md,"Differentiable, Hardware Accelerated, Molecular Dynamics.",24,True,,jax-md/jax-md,https://github.com/jax-md/jax-md,2019-05-13 21:03:37,2024-05-31 17:47:51.000,2024-04-17 23:46:47,863.0,7.0,176.0,47.0,165.0,66.0,79.0,1110.0,2022-11-27 12:42:00,jax-md-v0.2.24,7.0,31.0,jax-md,,51.0,51.0,https://pypi.org/project/jax-md,3392.0,3392.0,,,,1.0,,,,,,,,,,,,,,,,,,
32,NequIP,,ml-iap,MIT,https://github.com/mir-group/nequip,NequIP is a code for building E(3)-equivariant interatomic potentials.,24,True,,mir-group/nequip,https://github.com/mir-group/nequip,2021-03-15 23:44:39,2024-06-02 03:01:16.000,2024-05-10 21:46:27,1840.0,11.0,118.0,21.0,154.0,24.0,56.0,551.0,2024-05-10 22:18:50,0.6.0,15.0,11.0,nequip,conda-forge/nequip,16.0,16.0,https://pypi.org/project/nequip,3374.0,3555.0,https://anaconda.org/conda-forge/nequip,2024-05-11 04:39:45.695,4545.0,1.0,,,,,,,,,,,,,,,,,,
33,MAML,,general-tool,BSD-3-Clause,https://github.com/materialsvirtuallab/maml,"Python for Materials Machine Learning, Materials Descriptors, Machine Learning Force Fields, Deep Learning, etc.",24,True,,materialsvirtuallab/maml,https://github.com/materialsvirtuallab/maml,2020-01-25 15:04:21,2024-06-13 16:21:11.000,2024-06-13 16:20:54,1737.0,90.0,73.0,21.0,569.0,7.0,61.0,340.0,2024-06-13 15:24:45,2024.6.13,14.0,32.0,maml,,8.0,8.0,https://pypi.org/project/maml,312.0,312.0,,,,2.0,,,,,,,,,,,,,,,,,,
34,QUIP,,general-tool,GPL-2.0,https://github.com/libAtoms/QUIP,libAtoms/QUIP molecular dynamics framework: https://libatoms.github.io.,24,True,"['md', 'ml-iap', 'rep-eng', 'lang-fortran']",libAtoms/QUIP,https://github.com/libAtoms/QUIP,2013-07-02 15:21:59,2024-04-04 22:20:56.000,2024-04-04 22:12:45,10839.0,4.0,123.0,26.0,166.0,98.0,354.0,339.0,2023-06-15 19:11:24,0.9.14,15.0,82.0,quippy-ase,,37.0,37.0,https://pypi.org/project/quippy-ase,4439.0,4520.0,,,,2.0,libatomsquip/quip,https://hub.docker.com/r/libatomsquip/quip,2023-04-24 21:25:17.345957,4.0,9896.0,365.0,,,,,,,,,,,,
35,dpdata,,data-structures,LGPL-3.0,https://github.com/deepmodeling/dpdata,"Manipulating multiple atomic simulation data formats, including DeePMD-kit, VASP, LAMMPS, ABACUS, etc.",24,True,,deepmodeling/dpdata,https://github.com/deepmodeling/dpdata,2019-04-12 13:24:23,2024-06-11 01:41:57.000,2024-06-06 00:03:38,724.0,38.0,122.0,9.0,465.0,17.0,76.0,187.0,2024-06-06 00:06:28,0.2.19,26.0,60.0,dpdata,deepmodeling/dpdata,119.0,119.0,https://pypi.org/project/dpdata,42898.0,42904.0,https://anaconda.org/deepmodeling/dpdata,2023-09-27 20:07:36.945,210.0,1.0,,,,,,,,,,,,,,,,,,
36,OPTIMADE Python tools,,datasets,MIT,https://github.com/Materials-Consortia/optimade-python-tools,Tools for implementing and consuming OPTIMADE APIs in Python.,24,True,,Materials-Consortia/optimade-python-tools,https://github.com/Materials-Consortia/optimade-python-tools,2018-06-05 21:00:07,2024-06-13 20:36:03.000,2024-06-12 15:11:46,1613.0,11.0,41.0,7.0,1661.0,87.0,347.0,60.0,2024-06-11 13:44:39,1.0.5,83.0,27.0,optimade,conda-forge/optimade,40.0,40.0,https://pypi.org/project/optimade,4711.0,6474.0,https://anaconda.org/conda-forge/optimade,2024-06-11 19:06:52.534,75834.0,1.0,,,,,,,,,,,,,,,,,,
37,AlphaFold,,biomolecules,Apache-2.0,https://github.com/google-deepmind/alphafold,Open source code for AlphaFold.,23,True,,deepmind/alphafold,https://github.com/google-deepmind/alphafold,2021-06-17 14:06:06,2024-06-09 18:51:17.000,2024-05-08 14:04:54,143.0,6.0,2061.0,227.0,103.0,234.0,597.0,12014.0,2023-04-05 09:45:53,2.3.2,13.0,20.0,,,13.0,13.0,,,,,,,1.0,,,,,,,google-deepmind/alphafold,,,,,,,,,,,
38,dgl-lifesci,,rep-learn,Apache-2.0,https://github.com/awslabs/dgl-lifesci,Python package for graph neural networks in chemistry and biology.,23,False,,awslabs/dgl-lifesci,https://github.com/awslabs/dgl-lifesci,2020-04-23 07:14:21,2023-11-01 19:32:07.000,2023-04-16 03:55:52,236.0,,141.0,17.0,141.0,26.0,57.0,692.0,2023-02-13 08:45:17,0.3.2,8.0,22.0,dgllife,,215.0,215.0,https://pypi.org/project/dgllife,15503.0,15503.0,,,,1.0,,,,,,,,,,,,,,,,,,
39,cdk,,rep-eng,LGPL-2.1,https://github.com/cdk/cdk,The Chemistry Development Kit.,23,True,"['cheminformatics', 'lang-java']",cdk/cdk,https://github.com/cdk/cdk,2010-05-11 08:30:07,2024-06-14 13:06:19.000,2024-06-11 18:41:52,17597.0,37.0,152.0,41.0,798.0,28.0,253.0,473.0,2023-08-21 19:50:47,cdk-2.9,20.0,165.0,,,,,,,173.0,,,,1.0,,,,,,20316.0,,org.openscience.cdk:cdk-bundle,https://search.maven.org/artifact/org.openscience.cdk/cdk-bundle,,,,,,,,,
40,MPContribs,,datasets,MIT,https://github.com/materialsproject/MPContribs,Platform for materials scientists to contribute and disseminate their materials data through Materials Project.,23,True,,materialsproject/MPContribs,https://github.com/materialsproject/MPContribs,2014-12-11 18:25:27,2024-06-12 20:31:06.000,2024-06-12 20:31:05,5554.0,85.0,20.0,10.0,1685.0,20.0,78.0,34.0,2024-04-11 01:19:21,5.8.3,77.0,25.0,mpcontribs-client,,36.0,36.0,https://pypi.org/project/mpcontribs-client,1619.0,1619.0,,,,1.0,,,,,,,,,,,,,,,,,,
41,Best-of Machine Learning with Python,,community,CC-BY-4.0,https://github.com/ml-tooling/best-of-ml-python,A ranked list of awesome machine learning Python libraries. Updated weekly.,22,True,"['general-ml', 'lang-py']",ml-tooling/best-of-ml-python,https://github.com/ml-tooling/best-of-ml-python,2020-11-29 19:41:36,2024-06-07 08:50:57.000,2024-06-07 08:50:57,495.0,24.0,2240.0,401.0,265.0,19.0,34.0,15943.0,2024-06-06 15:57:10,2024.06.06,100.0,45.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
42,MEGNet,,ml-iap,BSD-3-Clause,https://github.com/materialsvirtuallab/megnet,Graph Networks as a Universal Machine Learning Framework for Molecules and Crystals.,22,False,,materialsvirtuallab/megnet,https://github.com/materialsvirtuallab/megnet,2018-12-12 21:31:28,2023-04-27 02:39:17.000,2023-04-27 02:39:17,1146.0,,150.0,25.0,314.0,17.0,57.0,487.0,2022-11-16 21:24:36,1.3.2,34.0,14.0,megnet,,78.0,78.0,https://pypi.org/project/megnet,561.0,561.0,,,,1.0,,,,,,,,,,,,,,,,,,
43,TorchANI,,ml-iap,MIT,https://github.com/aiqm/torchani,Accurate Neural Network Potential on PyTorch.,22,True,,aiqm/torchani,https://github.com/aiqm/torchani,2018-04-02 15:43:04,2024-05-31 06:36:10.067,2023-11-14 16:32:59,434.0,,119.0,32.0,481.0,22.0,143.0,436.0,2023-11-14 16:38:04,2.2.4,24.0,17.0,torchani,conda-forge/torchani,36.0,36.0,https://pypi.org/project/torchani,5305.0,12200.0,https://anaconda.org/conda-forge/torchani,2024-05-31 06:36:10.067,317191.0,1.0,,,,,,,,,,,,,,,,,,
44,DScribe,,rep-eng,Apache-2.0,https://github.com/SINGROUP/dscribe,DScribe is a python package for creating machine learning descriptors for atomistic systems.,22,True,,SINGROUP/dscribe,https://github.com/SINGROUP/dscribe,2017-05-08 08:29:51,2024-05-28 23:16:49.298,2024-05-28 18:24:28,1288.0,1.0,84.0,20.0,27.0,7.0,90.0,383.0,,,15.0,18.0,dscribe,conda-forge/dscribe,185.0,185.0,https://pypi.org/project/dscribe,138156.0,140292.0,https://anaconda.org/conda-forge/dscribe,2024-05-28 23:16:49.298,100412.0,1.0,,,,,,,,,,,,,,,,,,
45,DP-GEN,,ml-iap,LGPL-3.0,https://github.com/deepmodeling/dpgen,The deep potential generator to generate a deep-learning based model of interatomic potential energy and force field.,22,True,['workflows'],deepmodeling/dpgen,https://github.com/deepmodeling/dpgen,2019-06-13 11:43:56,2024-06-11 02:54:15.000,2024-04-10 06:31:36,2083.0,8.0,167.0,13.0,812.0,26.0,258.0,284.0,2024-04-10 06:37:07,0.12.1,18.0,64.0,dpgen,deepmodeling/dpgen,5.0,5.0,https://pypi.org/project/dpgen,385.0,421.0,https://anaconda.org/deepmodeling/dpgen,2023-06-16 19:27:03.566,199.0,1.0,,,,,,1712.0,,,,,,,,,,,,
46,CHGNet,,ml-iap,https://github.com/CederGroupHub/chgnet/blob/main/LICENSE,https://github.com/CederGroupHub/chgnet,Pretrained universal neural network potential for charge-informed atomistic modeling https://chgnet.lbl.gov.,22,True,"['md', 'pre-trained', 'electrostatics', 'magnetism', 'structure-relaxation']",CederGroupHub/chgnet,https://github.com/CederGroupHub/chgnet,2023-02-24 23:44:24,2024-06-13 17:34:03.000,2024-06-13 17:34:03,400.0,20.0,51.0,4.0,85.0,2.0,44.0,206.0,2024-06-05 16:28:25,0.3.8,16.0,7.0,chgnet,,20.0,20.0,https://pypi.org/project/chgnet,28388.0,28388.0,,,,1.0,,,,,,,,,,,,,,,,,,
47,DIG: Dive into Graphs,,rep-learn,GPL-3.0,https://github.com/divelab/DIG,A library for graph deep learning research.,21,True,,divelab/DIG,https://github.com/divelab/DIG,2020-10-30 03:51:15,2024-04-22 13:05:03.000,2024-02-04 20:37:53,1083.0,,273.0,30.0,40.0,28.0,176.0,1803.0,2023-04-07 20:33:15,1.1.0,10.0,50.0,dive-into-graphs,,,,https://pypi.org/project/dive-into-graphs,672.0,672.0,,,,1.0,,,,,,,,,,,,,,,,,,
48,TorchMD-NET,,ml-iap,MIT,https://github.com/torchmd/torchmd-net,Training neural network potentials.,21,True,"['md', 'rep-learn', 'transformer', 'pre-trained']",torchmd/torchmd-net,https://github.com/torchmd/torchmd-net,2021-04-09 16:16:32,2024-06-10 17:03:29.000,2024-06-10 17:03:29,1190.0,40.0,65.0,11.0,222.0,20.0,83.0,290.0,2024-05-14 09:06:35,2.2.0,24.0,16.0,,conda-forge/torchmd-net,,,,,6605.0,https://anaconda.org/conda-forge/torchmd-net,2024-06-03 08:35:42.168,52844.0,1.0,,,,,,,,,,,,,,,,,,
49,MatGL (Materials Graph Library),,rep-learn,BSD-3-Clause,https://github.com/materialsvirtuallab/matgl,Graph deep learning library for materials.,21,True,,materialsvirtuallab/matgl,https://github.com/materialsvirtuallab/matgl,2022-08-29 18:36:05,2024-06-07 15:17:06.000,2024-06-07 15:13:54,973.0,35.0,55.0,11.0,181.0,2.0,73.0,226.0,2024-06-07 15:17:06,1.1.2,30.0,16.0,m3gnet,,36.0,36.0,https://pypi.org/project/m3gnet,975.0,975.0,,,,1.0,,,,,,,,,,,,,,,,,,
50,ALIGNN,,rep-learn,https://github.com/usnistgov/alignn/blob/main/LICENSE.rst,https://github.com/usnistgov/alignn,Atomistic Line Graph Neural Network https://scholar.google.com/citations?user=9Q-tNnwAAAAJ&hl=en.,21,True,,usnistgov/alignn,https://github.com/usnistgov/alignn,2021-04-19 20:08:09,2024-06-03 20:37:55.000,2024-06-03 20:36:37,697.0,65.0,75.0,10.0,103.0,28.0,24.0,191.0,2024-06-03 20:37:55,2024.4.20,45.0,7.0,alignn,,10.0,10.0,https://pypi.org/project/alignn,610.0,610.0,,,,1.0,,,,,,,,,,,,,,,,,,
51,DM21,,ml-dft,Apache-2.0,https://github.com/deepmind/deepmind-research/tree/master/density_functional_approximation_dm21,This package provides a PySCF interface to the DM21 (DeepMind 21) family of exchange-correlation functionals described..,20,True,,deepmind/deepmind-research,https://github.com/google-deepmind/deepmind-research,2019-01-15 09:54:13,2024-05-20 22:05:45.000,2023-06-02 17:04:50,369.0,,2511.0,330.0,217.0,174.0,136.0,12915.0,,,,92.0,,,,,,,,,,,1.0,,,,,,,google-deepmind/deepmind-research,,,,,,,,,,,
52,NVIDIA Deep Learning Examples for Tensor Cores,,rep-learn,https://github.com/NVIDIA/DeepLearningExamples/blob/master/DGLPyTorch/DrugDiscovery/SE3Transformer/LICENSE,https://github.com/NVIDIA/DeepLearningExamples#graph-neural-networks,State-of-the-Art Deep Learning scripts organized by models - easy to train and deploy with reproducible accuracy and..,20,True,"['educational', 'drug-discovery']",NVIDIA/DeepLearningExamples,https://github.com/NVIDIA/DeepLearningExamples,2018-05-02 17:04:05,2024-06-01 14:16:54.000,2024-04-04 13:37:56,1437.0,1.0,2967.0,297.0,537.0,254.0,566.0,12828.0,,,,115.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,
53,Open Catalyst datasets,,datasets,CC-BY-4.0,https://github.com/Open-Catalyst-Project/ocp/blob/main/DATASET.md,"The datasets of the Open Catalyst project, OC20, OC22.",20,True,,Open-Catalyst-Project/ocp,https://github.com/FAIR-Chem/fairchem,2019-09-26 04:47:27,2024-06-13 14:33:02.000,2024-06-13 14:32:45,775.0,54.0,219.0,23.0,544.0,6.0,177.0,696.0,2024-05-16 17:04:22,fairchem_core-1.0.0,6.0,37.0,,,,,,,,,,,1.0,,,,,,,FAIR-Chem/fairchem,,,,,,,,,,,
54,MACE,,ml-iap,MIT,https://github.com/ACEsuit/mace,MACE - Fast and accurate machine learning interatomic potentials with higher order equivariant message passing.,20,True,,ACEsuit/mace,https://github.com/ACEsuit/mace,2022-06-21 18:44:34,2024-06-12 16:58:44.000,2024-05-17 09:05:12,638.0,86.0,144.0,24.0,184.0,41.0,144.0,402.0,2024-06-10 10:20:51,0.3.5,6.0,27.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,
55,GPUMD,,ml-iap,GPL-3.0,https://github.com/brucefan1983/GPUMD,GPUMD is a highly efficient general-purpose molecular dynamic (MD) package and enables machine-learned potentials..,20,True,"['md', 'lang-cpp', 'electrostatics']",brucefan1983/GPUMD,https://github.com/brucefan1983/GPUMD,2017-07-14 15:32:56,2024-06-13 21:29:25.000,2024-06-13 21:27:43,3767.0,162.0,108.0,28.0,468.0,19.0,147.0,402.0,2024-05-15 13:24:38,3.9.4,41.0,29.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,
