,name,resource,category,homepage,description,projectrank,show,labels,docs_url,github_id,pypi_id,conda_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,github_release_downloads,trending,gitlab_id,npm_id,npm_url,npm_monthly_downloads,label,gitlab_url
20,Catalysis Hub,True,datasets,https://www.catalysis-hub.org/,A web-platform for sharing data and software for computational catalysis research!.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,matterverse.ai,True,datasets,https://matterverse.ai/,Database of yet-to-be-sythesized materials predicted using state-of-the-art machine learning algorithms.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,RuNNer,True,mlp,https://www.uni-goettingen.de/de/560580.html,The RuNNer Neural Network Energy Representation is a Fortran-based framework for the construction of Behler-..,0,True,['Fortran'],https://theochemgoettingen.gitlab.io/RuNNer/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,DeepChem Models,True,datasets,https://huggingface.co/DeepChem,,0,True,"['pretrained', 'nlp']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,PyG Models,True,representation-learning,https://github.com/pyg-team/pytorch_geometric/tree/master/torch_geometric/nn/models,Representation learning models implemented in PyTorch Geometric.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Quantum Chemistry in the Age of Machine Learning,True,educational,https://www.elsevier.com/books-and-journals/book-companion/9780323900492,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Deep Graph Library (DGL),,representation-learning,https://www.dgl.ai/,"Python package built to ease deep learning on graph, on top of existing DL frameworks.",37,True,,https://docs.dgl.ai/,dmlc/dgl,dgl,dglteam/dgl,https://github.com/dmlc/dgl,Apache-2.0,2018-04-20 14:49:09,2023-06-12 18:57:22.000000,2023-06-12 17:55:33,3112.0,182.0,2747.0,169.0,3601.0,321.0,1935.0,11858.0,2023-05-05 08:50:34,1.1.0,59.0,98.0,98.0,267.0,https://pypi.org/project/dgl,60386.0,65170.0,https://anaconda.org/dglteam/dgl,2023-05-09 09:54:35.673,258346.0,1.0,,,,,,,,,,,,,
27,DeepChem,,general-tools,https://deepchem.io/,"Democratizing Deep-Learning for Drug Discovery, Quantum Chemistry, Materials Science and Biology.",36,True,,https://deepchem.readthedocs.io/,deepchem/deepchem,deepchem,conda-forge/deepchem,https://github.com/deepchem/deepchem,MIT,2015-09-24 23:20:28,2023-06-12 17:47:57.000000,2023-06-09 15:32:13,8880.0,703.0,1438.0,147.0,1845.0,387.0,1194.0,4376.0,2022-12-01 13:22:37,2.7.1,18.0,209.0,209.0,216.0,https://pypi.org/project/deepchem,22286.0,24872.0,https://anaconda.org/conda-forge/deepchem,2022-12-02 15:08:43.839,100486.0,1.0,deepchemio/deepchem,https://hub.docker.com/r/deepchemio/deepchem,2022-03-11 05:24:00.723691,4.0,6893.0,,,,,,,,
28,RDKit,,general-tools,https://www.rdkit.org/,,30,True,['C++'],https://www.rdkit.org/docs/,rdkit/rdkit,rdkit,rdkit/rdkit,https://github.com/rdkit/rdkit,BSD-3-Clause,2013-05-12 06:19:15,2023-06-12 13:24:17.000000,2023-06-12 13:24:17,7400.0,84.0,741.0,85.0,2725.0,814.0,1992.0,2074.0,2023-04-30 12:47:35,Release_2023_03_1,93.0,,,199.0,https://pypi.org/project/rdkit,134143.0,157411.0,https://anaconda.org/rdkit/rdkit,2022-03-18 12:24:42.882,2511847.0,1.0,,,,,,1395.0,,,,,,,
29,DeePMD-kit,,mlp,https://github.com/deepmodeling/deepmd-kit,A deep learning package for many-body potential energy representation and molecular dynamics.,28,True,['C++'],https://docs.deepmodeling.com/projects/deepmd/,deepmodeling/deepmd-kit,deepmd-kit,deepmodeling/deepmd-kit,https://github.com/deepmodeling/deepmd-kit,LGPL-3.0,2017-12-12 15:23:44,2023-06-12 21:59:21.000000,2023-05-24 05:45:03,2138.0,83.0,413.0,49.0,1155.0,41.0,378.0,1142.0,2023-05-24 05:58:32,2.2.2,36.0,11.0,11.0,57.0,https://pypi.org/project/deepmd-kit,1039.0,1614.0,https://anaconda.org/deepmodeling/deepmd-kit,2023-05-24 15:20:15.726,835.0,1.0,deepmodeling/deepmd-kit,https://hub.docker.com/r/deepmodeling/deepmd-kit,2023-05-24 20:29:23.164960,1.0,1850.0,22774.0,,,,,,,
30,Matminer,,general-tools,https://hackingmaterials.github.io/matminer/,Data mining for materials science.,27,True,,,hackingmaterials/matminer,matminer,conda-forge/matminer,https://github.com/hackingmaterials/matminer,,2015-09-24 20:37:00,2023-06-12 08:06:18.000000,2023-05-30 13:02:19,4106.0,18.0,174.0,27.0,695.0,24.0,186.0,386.0,2022-11-11 00:12:35,0.8.0,65.0,202.0,202.0,48.0,https://pypi.org/project/matminer,8874.0,9817.0,https://anaconda.org/conda-forge/matminer,2022-11-11 05:26:58.487,41515.0,1.0,,,,,,,,,,,,,
31,SchNetPack,,representation-learning,https://github.com/atomistic-machine-learning/schnetpack,SchNetPack - Deep Neural Networks for Atomistic Systems.,25,True,,https://schnetpack.readthedocs.io/,atomistic-machine-learning/schnetpack,schnetpack,,https://github.com/atomistic-machine-learning/schnetpack,,2018-09-03 15:44:35,2023-06-11 10:01:24.000000,2023-06-07 14:17:32,1546.0,28.0,168.0,30.0,349.0,2.0,196.0,601.0,2023-04-25 11:23:00,2.0.3,7.0,53.0,53.0,31.0,https://pypi.org/project/schnetpack,439.0,439.0,,,,1.0,,,,,,,,,,,,,
32,DScribe,,representations,https://github.com/SINGROUP/dscribe,DScribe is a python package for creating machine learning descriptors for atomistic systems.,25,True,,https://singroup.github.io/dscribe/,SINGROUP/dscribe,dscribe,conda-forge/dscribe,https://github.com/SINGROUP/dscribe,Apache-2.0,2017-05-08 08:29:51,2023-05-26 07:05:46.000000,2023-05-17 06:22:40,1275.0,58.0,73.0,21.0,17.0,6.0,74.0,324.0,,,12.0,140.0,140.0,18.0,https://pypi.org/project/dscribe,13453.0,14994.0,https://anaconda.org/conda-forge/dscribe,2023-05-17 00:51:44.635,70900.0,1.0,,,,,,,,,,,,,
33,QUIP,,general-tools,https://libatoms.github.io/,libAtoms/QUIP molecular dynamics framework: https://libatoms.github.io.,25,True,,http://libatoms.github.io/QUIP/,libAtoms/QUIP,quippy-ase,,https://github.com/libAtoms/QUIP,,2013-07-02 15:21:59,2023-06-12 10:15:36.000000,2023-06-12 10:01:09,10825.0,80.0,114.0,25.0,160.0,81.0,330.0,290.0,2023-06-08 08:21:38,0.9.13,14.0,18.0,18.0,79.0,https://pypi.org/project/quippy-ase,885.0,973.0,,,,2.0,libatomsquip/quip,https://hub.docker.com/r/libatomsquip/quip,2023-04-24 21:25:17.345957,4.0,9824.0,294.0,,,,,,,
34,paper-qa,,nlp,https://github.com/whitead/paper-qa,LLM Chain for answering questions from documents with citations.,24,True,,,whitead/paper-qa,paper-qa,,https://github.com/whitead/paper-qa,Apache-2.0,2023-02-05 01:07:25,2023-06-12 20:27:09.000000,2023-06-10 11:17:54,135.0,45.0,222.0,38.0,52.0,24.0,54.0,2623.0,2023-06-07 03:16:15,2.1.1,45.0,12.0,12.0,9.0,https://pypi.org/project/paper-qa,6697.0,6697.0,,,,1.0,,,,,,,,,,,,,
35,e3nn,,representation-learning,https://e3nn.org/,A modular framework for neural networks with Euclidean symmetry.,23,True,,https://docs.e3nn.org/,e3nn/e3nn,e3nn,conda-forge/e3nn,https://github.com/e3nn/e3nn,,2020-01-31 13:06:42,2023-06-04 03:37:43.000000,2023-06-04 03:37:43,2153.0,18.0,99.0,18.0,198.0,15.0,128.0,682.0,2022-12-12 21:42:03,0.5.1,28.0,81.0,81.0,27.0,https://pypi.org/project/e3nn,24047.0,24597.0,https://anaconda.org/conda-forge/e3nn,2022-12-13 05:59:54.340,7157.0,1.0,,,,,,,,,,,,,
36,dgl-lifesci,,representation-learning,https://github.com/awslabs/dgl-lifesci,Python package for graph neural networks in chemistry and biology.,23,True,,https://lifesci.dgl.ai,awslabs/dgl-lifesci,dgllife,,https://github.com/awslabs/dgl-lifesci,Apache-2.0,2020-04-23 07:14:21,2023-06-12 18:56:16.000000,2023-04-16 03:55:52,236.0,1.0,128.0,17.0,139.0,23.0,53.0,580.0,2023-02-13 08:45:17,0.3.2,8.0,91.0,91.0,22.0,https://pypi.org/project/dgllife,10793.0,10793.0,,,,1.0,,,,,,,,,,,,,
37,JAX-MD,,md,https://github.com/jax-md/jax-md,"Differentiable, Hardware Accelerated, Molecular Dynamics.",22,True,,,jax-md/jax-md,jax-md,,https://github.com/jax-md/jax-md,Apache-2.0,2019-05-13 21:03:37,2023-06-05 13:32:29.000000,2023-05-25 02:07:13,793.0,7.0,150.0,49.0,143.0,51.0,71.0,941.0,2022-11-27 12:42:00,jax-md-v0.2.24,7.0,24.0,24.0,21.0,https://pypi.org/project/jax-md,1416.0,1416.0,,,,1.0,,,,,,,19.0,,,,,,
38,MEGNet,,mlp,https://github.com/materialsvirtuallab/megnet,Graph Networks as a Universal Machine Learning Framework for Molecules and Crystals.,22,True,,,materialsvirtuallab/megnet,megnet,,https://github.com/materialsvirtuallab/megnet,BSD-3-Clause,2018-12-12 21:31:28,2023-04-27 02:39:17.000000,2023-04-27 02:39:17,1146.0,9.0,137.0,24.0,314.0,17.0,57.0,447.0,2022-11-16 21:24:36,1.3.2,34.0,64.0,64.0,13.0,https://pypi.org/project/megnet,325.0,325.0,,,,1.0,,,,,,,,,,,,,
39,DP-GEN,,mlp,https://github.com/deepmodeling/dpgen,The deep potential generator to generate a deep-learning based model of interatomic potential energy and force field.,22,True,['workflows'],https://docs.deepmodeling.com/projects/dpgen/,deepmodeling/dpgen,dpgen,deepmodeling/dpgen,https://github.com/deepmodeling/dpgen,LGPL-3.0,2019-06-13 11:43:56,2023-06-12 00:30:44.000000,2023-03-21 14:37:04,1958.0,6.0,151.0,13.0,691.0,35.0,184.0,220.0,2023-03-22 17:49:22,0.11.1,16.0,4.0,4.0,59.0,https://pypi.org/project/dpgen,263.0,299.0,https://anaconda.org/deepmodeling/dpgen,2022-07-11 16:29:14.529,145.0,1.0,,,,,,1310.0,,,,,,,
40,dpdata,,data-structures,https://github.com/deepmodeling/dpdata,"Manipulating multiple atomic simulation data formats, including DeePMD-kit, VASP, LAMMPS, ABACUS, etc.",22,True,,https://docs.deepmodeling.com/projects/dpdata/,deepmodeling/dpdata,dpdata,deepmodeling/dpdata,https://github.com/deepmodeling/dpdata,LGPL-3.0,2019-04-12 13:24:23,2023-06-08 05:18:11.000000,2023-05-04 01:19:46,604.0,13.0,93.0,8.0,341.0,19.0,42.0,134.0,2023-05-04 01:23:26,0.2.15,22.0,93.0,93.0,45.0,https://pypi.org/project/dpdata,2978.0,2997.0,https://anaconda.org/deepmodeling/dpdata,2023-05-24 14:54:37.302,434.0,1.0,,,,,,,,,,,,,
41,kgcnn,,representation-learning,https://github.com/aimat-lab/gcnn_keras,Graph convolution with tf.keras.,22,True,,https://kgcnn.readthedocs.io/,aimat-lab/gcnn_keras,kgcnn,,https://github.com/aimat-lab/gcnn_keras,MIT,2020-07-17 11:12:46,2023-05-30 12:03:21.000000,2023-05-30 12:00:15,2683.0,137.0,23.0,7.0,30.0,4.0,72.0,75.0,2023-05-22 14:09:41,3.0.1,22.0,14.0,14.0,7.0,https://pypi.org/project/kgcnn,368.0,368.0,,,,2.0,,,,,,,,,,,,,
42,NVIDIA Deep Learning Examples for Tensor Cores,,educational,https://github.com/NVIDIA/DeepLearningExamples,State-of-the-Art Deep Learning scripts organized by models - easy to train and deploy with reproducible accuracy and..,21,True,['drug-discovery'],,NVIDIA/DeepLearningExamples,,,https://github.com/NVIDIA/DeepLearningExamples,,2018-05-02 17:04:05,2023-06-02 09:10:44.000000,2023-05-29 18:39:01,1416.0,25.0,2704.0,289.0,522.0,185.0,553.0,11064.0,,,,,,116.0,,,,,,,1.0,,,,,,,,,,,,,
43,TorchANI,,mlp,https://github.com/aiqm/torchani,Accurate Neural Network Potential on PyTorch.,21,True,,https://aiqm.github.io/torchani/,aiqm/torchani,torchani,conda-forge/torchani,https://github.com/aiqm/torchani,MIT,2018-04-02 15:43:04,2023-04-13 20:44:43.403000,2023-03-21 14:30:59,433.0,1.0,107.0,27.0,478.0,16.0,137.0,390.0,2023-04-13 18:10:53,2.2.3,23.0,24.0,24.0,16.0,https://pypi.org/project/torchani,1529.0,6935.0,https://anaconda.org/conda-forge/torchani,2023-04-13 20:44:43.403,183827.0,1.0,,,,,,,,,,,,,
44,MAML,,general-tools,https://materialsvirtuallab.github.io/maml/,"Python for Materials Machine Learning, Materials Descriptors, Machine Learning Force Fields, Deep Learning, etc.",21,True,,,materialsvirtuallab/maml,maml,,https://github.com/materialsvirtuallab/maml,BSD-3-Clause,2020-01-25 15:04:21,2023-06-12 13:59:21.000000,2023-05-30 17:38:58,1425.0,38.0,55.0,20.0,469.0,5.0,54.0,243.0,2022-09-20 18:44:37,2022.9.20,12.0,4.0,4.0,24.0,https://pypi.org/project/maml,156.0,156.0,,,,2.0,,,,,,,,,,,,,
45,NequIP,,mlp,https://github.com/mir-group/nequip,NequIP is a code for building E(3)-equivariant interatomic potentials.,20,True,,,mir-group/nequip,nequip,conda-forge/nequip,https://github.com/mir-group/nequip,MIT,2021-03-15 23:44:39,2023-06-05 20:02:19.000000,2023-03-26 21:37:08,1670.0,3.0,82.0,18.0,149.0,9.0,46.0,386.0,2022-12-20 18:52:46,0.5.6,14.0,11.0,11.0,8.0,https://pypi.org/project/nequip,345.0,562.0,https://anaconda.org/conda-forge/nequip,2022-12-21 09:24:53.446,2824.0,1.0,,,,,,,,,,,,,
46,JARVIS-Tools,,general-tools,https://github.com/usnistgov/jarvis,JARVIS-Tools: an open-source software package for data-driven atomistic materials design. Publications:..,20,True,,https://jarvis-tools.readthedocs.io/,usnistgov/jarvis,jarvis-tools,conda-forge/jarvis-tools,https://github.com/usnistgov/jarvis,,2017-06-22 19:34:02,2023-05-29 14:32:15.483000,2023-05-29 13:56:02,2088.0,2.0,103.0,26.0,210.0,36.0,42.0,223.0,2023-05-29 14:28:38,2023.05.26,68.0,55.0,55.0,15.0,https://pypi.org/project/jarvis-tools,3630.0,5168.0,https://anaconda.org/conda-forge/jarvis-tools,2023-05-29 14:32:15.483,49240.0,2.0,,,,,,,,,,,,,
47,ocp,,representation-learning,https://github.com/Open-Catalyst-Project/ocp,ocp is the Open Catalyst Projects library of state-of-the-art machine learning algorithms for catalysis.,19,True,,,Open-Catalyst-Project/ocp,,,https://github.com/Open-Catalyst-Project/ocp,MIT,2019-09-26 04:47:27,2023-06-09 18:36:40.000000,2023-06-06 17:16:41,677.0,11.0,156.0,24.0,408.0,13.0,93.0,411.0,2022-10-01 03:00:41,0.1.0,4.0,,,30.0,,,,,,,2.0,,,,,,,,,,,,,
48,exmol,,xai,https://github.com/ur-whitelab/exmol,Explainer for black box models that predict molecule properties.,19,True,,,ur-whitelab/exmol,exmol,,https://github.com/ur-whitelab/exmol,MIT,2021-08-03 17:56:06,2023-03-13 11:01:44.000000,2023-03-10 03:47:01,187.0,,35.0,8.0,72.0,8.0,57.0,235.0,2023-03-13 11:01:44,3.0.2,26.0,10.0,10.0,7.0,https://pypi.org/project/exmol,854.0,854.0,,,,1.0,,,,,,,,,,,,,
49,FitSNAP,,mlp,https://github.com/FitSNAP/FitSNAP,Software for generating SNAP machine-learning interatomic potentials.,19,True,,https://fitsnap.github.io/,FitSNAP/FitSNAP,,conda-forge/fitsnap3,https://github.com/FitSNAP/FitSNAP,GPL-2.0,2019-09-12 14:46:18,2023-06-07 00:00:19.000000,2023-06-07 00:00:18,1242.0,159.0,41.0,8.0,155.0,9.0,48.0,105.0,2023-04-05 15:49:44,3.0.1,6.0,,,24.0,,,107.0,https://anaconda.org/conda-forge/fitsnap3,2023-05-23 21:35:23.722,3311.0,2.0,,,,,,2.0,,,,,,,
50,FLARE,,general-tools,https://github.com/mir-group/flare,An open-source Python package for creating fast and accurate interatomic potentials.,18,True,,https://mir-group.github.io/flare/,mir-group/flare,,,https://github.com/mir-group/flare,MIT,2018-08-30 23:40:56,2023-06-12 13:09:39.000000,2023-05-26 02:06:09,4382.0,8.0,48.0,17.0,180.0,12.0,155.0,216.0,2022-04-21 18:33:10,0.2.4,5.0,9.0,9.0,36.0,,,0.0,,,,2.0,,,,,,1.0,,,,,,,
51,e3nn-jax,,representation-learning,https://github.com/e3nn/e3nn-jax,jax library for E3 Equivariant Neural Networks.,18,True,,https://e3nn-jax.readthedocs.io/,e3nn/e3nn-jax,e3nn-jax,,https://github.com/e3nn/e3nn-jax,Apache-2.0,2021-06-08 13:21:51,2023-06-10 17:50:25.000000,2023-06-10 17:50:23,836.0,81.0,10.0,8.0,20.0,,7.0,110.0,2023-05-10 22:45:20,0.17.5,30.0,,,4.0,https://pypi.org/project/e3nn-jax,1771.0,1771.0,,,,2.0,,,,,,,,,,,,,
52,MatGL (Materials Graph Library),,representation-learning,https://github.com/materialsvirtuallab/matgl,Graph deep learning library for materials.,18,True,,,materialsvirtuallab/matgl,m3gnet,,https://github.com/materialsvirtuallab/matgl,BSD-3-Clause,2022-08-29 18:36:05,2023-06-12 19:40:23.000000,2023-06-12 19:40:10,533.0,360.0,14.0,5.0,60.0,4.0,13.0,70.0,2023-06-11 15:35:19,0.5.3,9.0,1.0,1.0,9.0,https://pypi.org/project/m3gnet,424.0,424.0,,,,2.0,,,,,,,,,,,,,
53,Scikit-Matter,,general-tools,https://github.com/scikit-learn-contrib/scikit-matter,,18,True,['scikit-learn'],https://scikit-matter.readthedocs.io,scikit-learn-contrib/scikit-matter,skmatter,conda-forge/skmatter,https://github.com/scikit-learn-contrib/scikit-matter,BSD-3-Clause,2020-10-12 19:23:26,2023-06-01 19:55:13.000000,2023-06-01 19:55:12,329.0,25.0,14.0,16.0,131.0,11.0,54.0,58.0,2023-03-14 17:41:48,0.1.4,6.0,5.0,5.0,11.0,https://pypi.org/project/skmatter,438.0,518.0,https://anaconda.org/conda-forge/skmatter,2023-03-28 22:23:04.774,241.0,2.0,,,,,,,,,,,,,
54,MALA,,ml-dft,https://github.com/mala-project/mala,Materials Learning Algorithms. A framework for machine learning materials properties from first-principles data.,18,True,,https://mala-project.github.io/mala/,mala-project/mala,,,https://github.com/mala-project/mala,BSD-3-Clause,2021-03-31 11:40:38,2023-06-07 18:44:14.000000,2023-06-07 18:43:07,2014.0,122.0,17.0,8.0,239.0,22.0,200.0,33.0,2022-10-18 07:04:37,1.1.0,7.0,,,41.0,,,,,,,1.0,,,,,,,,,,,,,
55,M3GNet,,mlp,https://github.com/materialsvirtuallab/m3gnet,Materials graph network with 3-body interactions featuring a DFT surrogate crystal relaxer and a state-of-the-art..,17,True,,,materialsvirtuallab/m3gnet,m3gnet,,https://github.com/materialsvirtuallab/m3gnet,BSD-3-Clause,2022-01-18 18:10:58,2023-06-06 23:56:08.000000,2023-06-06 23:56:03,261.0,7.0,46.0,10.0,33.0,15.0,20.0,163.0,2022-11-17 23:25:35,0.2.4,16.0,9.0,9.0,14.0,https://pypi.org/project/m3gnet,424.0,424.0,,,,2.0,,,,,,,,,,,,,
56,XenonPy,,general-tools,https://github.com/yoshida-lab/XenonPy,XenonPy is a Python Software for Materials Informatics.,17,True,,https://xenonpy.readthedocs.io/,yoshida-lab/XenonPy,xenonpy,,https://github.com/yoshida-lab/XenonPy,BSD-3-Clause,2018-01-17 10:13:29,2023-05-21 15:54:32.000000,2023-05-21 15:53:00,682.0,4.0,58.0,12.0,182.0,16.0,66.0,107.0,2023-05-21 15:54:32,0.6.8,45.0,,,10.0,https://pypi.org/project/xenonpy,331.0,348.0,,,,2.0,,,,,,1088.0,,,,,,,
57,Chemiscope,,visualization,https://chemiscope.org/,An interactive structure/property explorer for materials and molecules.,17,True,['JavaScript'],https://chemiscope.org/docs/,lab-cosmo/chemiscope,,,https://github.com/lab-cosmo/chemiscope,BSD-3-Clause,2019-10-03 09:59:42,2023-06-08 17:47:33.000000,2023-05-24 10:17:20,645.0,17.0,26.0,15.0,181.0,38.0,66.0,86.0,2023-03-15 15:39:40,0.5.2,12.0,4.0,4.0,17.0,,,13.0,,,,1.0,,,,,,121.0,,,chemiscope,https://www.npmjs.com/package/chemiscope,10.0,,
58,MAST-ML,,general-tools,https://github.com/uw-cmg/MAST-ML,MAterials Simulation Toolkit for Machine Learning (MAST-ML).,17,True,,,uw-cmg/MAST-ML,,,https://github.com/uw-cmg/MAST-ML,MIT,2017-02-16 17:03:57,2023-06-02 21:48:00.000000,2023-05-01 21:24:38,3159.0,8.0,49.0,13.0,35.0,23.0,190.0,82.0,2023-05-01 21:32:25,3.1.7,6.0,3.0,3.0,19.0,,,2.0,,,,2.0,,,,,,76.0,,,,,,,
59,DADApy,,unsupervised,https://github.com/sissa-data-science/DADApy,Distance-based Analysis of DAta-manifolds in python.,17,True,,https://dadapy.readthedocs.io/,sissa-data-science/DADApy,dadapy,,https://github.com/sissa-data-science/DADApy,Apache-2.0,2021-02-16 17:45:23,2023-06-05 11:06:44.000000,2023-06-05 11:06:36,633.0,60.0,8.0,8.0,71.0,8.0,15.0,63.0,2023-05-25 16:37:17,0.2.0,3.0,,,15.0,https://pypi.org/project/dadapy,175.0,175.0,,,,1.0,,,,,,,,,,,,,
60,Uni-Fold,,biomolecules,https://github.com/dptech-corp/Uni-Fold,An open-source platform for developing protein models beyond AlphaFold.,16,True,,,dptech-corp/Uni-Fold,,,https://github.com/dptech-corp/Uni-Fold,Apache-2.0,2022-07-30 03:37:29,2023-06-12 10:12:27.000000,2023-06-12 10:12:23,94.0,6.0,44.0,7.0,70.0,7.0,47.0,258.0,2022-10-19 12:44:31,2.2.0,3.0,,,7.0,,,195.0,,,,1.0,,,,,,1564.0,,,,,,,
